,Approaches_from__200_yards_RANK THIS WEEK,Approaches_from__200_yards_RANK LAST WEEK,Approaches_from__200_yards_PLAYER NAME,Approaches_from__200_yards_ROUNDS,Approaches_from__200_yards_AVG,Approaches_from__200_yards_TOTAL DISTANCE (FEET),Approaches_from__200_yards_# OF ATTEMPTS,Approaches_from__200_yards_RELATIVE TO PAR
143,T144,T151,Stephan Jaeger,59,"53' 3""",6069.4169999999995,114,-31
144,T144,T133,Kelly Kraft,67,"53' 3""",7454.0,140,-3
145,T144,136,Denny McCarthy,63,"53' 3""",7136.9169999999995,134,-34
146,147,T156,Sebastián Muñoz,58,"53' 6""",6683.5,125,-19
147,148,T165,David Hearn,41,"53' 7""",3912.833,73,+1
148,T149,T156,Brice Garnett,63,"53' 8""",6335.3330000000005,118,-9
149,T149,T133,Kevin Streelman,63,"53' 8""",8848.917,165,-33
150,151,T168,Roberto Castro,54,"53' 9""",7042.0830000000005,131,-14
151,152,T153,Jimmy Walker,61,"53' 10""",7155.0,133,-12
152,153,T158,Brandt Snedeker,68,"53' 11""",8955.667,166,-37
153,154,T137,Satoshi Kodaira,51,"54' 1""",6004.4169999999995,111,-3
154,T155,T139,Ryan Blaum,67,"54' 2""",9536.25,176,-49
155,T155,142,Brian Gay,79,"54' 2""",9427.25,174,-15
156,T155,T192,José de Jesús Rodríguez,51,"54' 2""",5310.5830000000005,98,-9
157,T155,T170,Kevin Tway,62,"54' 2""",6882.4169999999995,127,-22
158,T159,163,Alex Cejka,41,"54' 3""",4451.75,82,+4
159,T159,T158,Chris Stroud,54,"54' 3""",6457.1669999999995,119,-4
160,T161,162,Julián Etulain,55,"54' 5""",5988.5830000000005,110,-16
161,T161,144,James Hahn,34,"54' 5""",2668.333,49,-10
162,T163,T145,Ernie Els,43,"54' 6""",4030.5,74,-4
163,T163,T145,Charles Howell III,64,"54' 6""",7903.75,145,-27
164,T163,T145,Matt Jones,67,"54' 6""",7517.0,138,-32
165,T163,T145,Andrew Landry,56,"54' 6""",6700.5830000000005,123,-19
166,167,150,Kevin Na,54,"54' 7""",5511.4169999999995,101,-11
167,168,T174,Harris English,72,"54' 11""",9063.083,165,-27
168,T169,T158,Rafa Cabrera Bello,57,"55' 0""",7647.8330000000005,139,-16
169,T169,173,Scott Stallings,63,"55' 0""",7978.5830000000005,145,-29
170,T169,T158,Jhonattan Vegas,60,"55' 0""",7146.5830000000005,130,-23
171,T172,T197,Jonathan Byrd,43,"55' 5""",4653.25,84,E
172,T172,T165,Stewart Cink,33,"55' 5""",3159.583,57,-8
173,T174,182,Cameron Davis,54,"55' 7""",5777.1669999999995,104,+3
174,T174,167,Ryan Moore,54,"55' 7""",8004.25,144,-24
175,176,T168,D.A. Points,33,"55' 8""",3174.833,57,-3
176,T177,T170,Billy Horschel,73,"55' 9""",8418.0,151,-15
177,T177,176,Sungjae Im,88,"55' 9""",12373.5,222,-48
178,T177,T170,Anirban Lahiri,54,"55' 9""",6579.4169999999995,118,-13
179,T177,185,Johnson Wagner,45,"55' 9""",6304.25,113,-11
180,181,T197,John Chin,38,"55' 10""",4245.083,76,-8
181,T182,T174,Beau Hossler,66,"55' 11""",8889.917,159,-18
182,T182,T180,Adam Schenk,80,"55' 11""",9787.667,175,-33
183,T182,T201,Ben Silverman,54,"55' 11""",6712.5,120,-20
184,T185,T192,Jim Herman,37,"56' 1""",4596.167,82,-5
185,T185,184,J.J. Spaun,68,"56' 1""",8409.0,150,-6
186,T185,177,Martin Trainer,51,"56' 1""",6448.0,115,-1
187,T188,T199,Joey Garber,44,"56' 3""",4613.333,82,+2
188,T188,T178,Curtis Luck,51,"56' 3""",5119.833,91,-6
189,190,T178,Kiradech Aphibarnrat,49,"56' 5""",6767.4169999999995,120,-16
190,T191,T192,Tyler Duncan,66,"56' 6""",7235.0830000000005,128,-16
191,T191,T180,Chris Kirk,47,"56' 6""",5650.9169999999995,100,-19
192,T193,189,Dominic Bozzelli,53,"56' 7""",6391.0,113,-14
193,T193,T187,Scott Piercy,70,"56' 7""",8886.167,157,-23
194,195,191,Nick Taylor,70,"56' 8""",9690.083,171,-38
195,T196,186,Brady Schnell,38,"56' 9""",4201.5,74,+3
196,T196,183,John Senden,39,"56' 9""",4820.417,85,-2
197,198,T195,Roberto Díaz,51,"57' 2""",5831.0830000000005,102,-11
198,199,203,Wes Roach,45,"57' 4""",5331.3330000000005,93,-25
199,200,T187,"Ted Potter, Jr.",56,"57' 6""",6841.0830000000005,119,E
200,201,T201,J.J. Henry,42,"57' 7""",4661.083,81,+5
201,202,190,Hunter Mahan,45,"57' 8""",5826.6669999999995,101,-21
202,203,T195,Charl Schwartzel,34,"58' 1""",1973.6670000000001,34,-2
203,204,206,Chris Thompson,34,"58' 11""",4656.583,79,E
204,205,T199,Justin Harding,31,"59' 1""",3307.333,56,E
205,206,204,Aaron Baddeley,51,"60' 3""",6025.9169999999995,100,-25
206,207,205,Rod Pampling,40,"60' 8""",5094.25,84,-6
207,208,999,Martin Piller,30,"62' 0""",3225.5,52,-5
208,209,207,Kyoung-Hoon Lee,72,"63' 4""",7921.3330000000005,125,-16
