,Approaches_from__200_yards_Rgh_RANK THIS WEEK,Approaches_from__200_yards_Rgh_RANK LAST WEEK,Approaches_from__200_yards_Rgh_PLAYER NAME,Approaches_from__200_yards_Rgh_ROUNDS,Approaches_from__200_yards_Rgh_AVG,Approaches_from__200_yards_Rgh_TOTAL DISTANCE (FEET),Approaches_from__200_yards_Rgh_# OF ATTEMPTS,Approaches_from__200_yards_Rgh_RELATIVE TO PAR
49,50,50,Paul Casey,51,"67' 7""",1283.667,19,-1
50,51,999,Tyrone Van Aswegen,30,"67' 8""",541.1669999999999,8,-1
51,52,53,Gary Woodland,63,"68' 4""",1980.5,29,-11
52,53,54,Tony Finau,61,"68' 5""",2256.75,33,-4
53,T54,T56,Russell Henley,56,"68' 7""",1783.3329999999999,26,+8
54,T54,T56,Si Woo Kim,65,"68' 7""",2126.833,31,-9
55,T54,T56,Jordan Spieth,57,"68' 7""",2263.083,33,+10
56,T57,61,Vaughn Taylor,69,"68' 9""",1923.9170000000001,28,+1
57,T57,T37,Josh Teater,47,"68' 9""",1443.5829999999999,21,-2
58,59,T56,Justin Thomas,49,"68' 11""",1998.6670000000001,29,-8
59,T60,T62,J.T. Poston,76,"69' 0""",3587.75,52,-8
60,T60,111,Brady Schnell,38,"69' 0""",1035.5,15,E
61,T60,T62,Matt Wallace,31,"69' 0""",897.1669999999999,13,+1
62,63,67,Bryson DeChambeau,45,"69' 5""",2152.667,31,-5
63,64,69,James Hahn,34,"69' 7""",487.333,7,E
64,T65,66,Corey Conners,62,"69' 8""",1949.5,28,-2
65,T65,T70,D.A. Points,33,"69' 8""",626.9169999999999,9,+2
66,T65,T70,Sam Saunders,53,"69' 8""",2298.417,33,+3
67,68,72,Adam Long,52,"69' 10""",1396.8329999999999,20,+1
68,69,73,Emiliano Grillo,65,"69' 11""",1957.6670000000001,28,E
69,70,T74,Ryan Moore,54,"70' 0""",1820.75,26,+1
70,71,T77,Jhonattan Vegas,60,"70' 4""",2250.25,32,-14
71,72,T79,Jonas Blixt,66,"70' 5""",2041.3329999999999,29,E
72,T73,39,Nate Lashley,44,"70' 6""",1197.833,17,+2
73,T73,T86,Danny Willett,47,"70' 6""",1763.25,25,-1
74,75,T86,Bud Cauley,61,"70' 8""",2262.417,32,-2
75,T76,T74,Dylan Frittelli,55,"70' 9""",2828.583,40,-16
76,T76,81,Carlos Ortiz,60,"70' 9""",2758.333,39,-4
77,78,T94,Sepp Straka,48,"70' 10""",2338.333,33,-3
78,T79,82,Chris Kirk,47,"70' 11""",2128.25,30,-2
79,T79,83,Chase Wright,53,"70' 11""",1205.333,17,-5
80,81,55,Alex Noren,49,"71' 0""",1561.25,22,+3
81,T82,T77,Hank Lebioda,55,"71' 1""",1706.25,24,+1
82,T82,84,Brandt Snedeker,68,"71' 1""",2772.833,39,-1
83,T84,T96,Adam Hadwin,66,"71' 2""",1707.5829999999999,24,-9
84,T84,85,Andrew Putnam,57,"71' 2""",1708.3329999999999,24,-3
85,86,T79,Kelly Kraft,67,"71' 3""",2564.667,36,+1
86,87,T86,Marc Leishman,52,"71' 4""",1498.0,21,-5
87,T88,68,Roberto Díaz,51,"71' 5""",1071.333,15,-3
88,T88,90,Michael Thompson,56,"71' 5""",1857.5829999999999,26,+7
89,T90,91,Charl Schwartzel,34,"71' 8""",716.3330000000001,10,-3
90,T90,64,Jimmy Walker,61,"71' 8""",2507.25,35,-1
91,92,92,Martin Trainer,51,"71' 9""",1936.75,27,-2
92,93,T102,Rory McIlroy,50,"71' 10""",1508.1670000000001,21,-5
93,94,52,Lucas Bjerregaard,37,"71' 11""",1078.417,15,-4
94,T95,93,Hideki Matsuyama,59,"72' 0""",1871.4170000000001,26,-3
95,T95,60,Cameron Tringale,52,"72' 0""",2087.917,29,-10
96,T97,T98,Cody Gribble,52,"72' 2""",2093.25,29,+4
97,T97,T94,J.J. Spaun,68,"72' 2""",2452.833,34,-5
98,99,T119,José de Jesús Rodríguez,51,"72' 3""",1661.1670000000001,23,-4
99,T100,T98,Martin Kaymer,38,"72' 6""",1450.25,20,+2
100,T100,T98,C.T. Pan,64,"72' 6""",2609.417,36,E
101,T102,T104,Kiradech Aphibarnrat,49,"72' 10""",1675.5829999999999,23,+3
102,T102,T104,Kevin Kisner,65,"72' 10""",1894.5829999999999,26,+1
103,T102,T104,Anirban Lahiri,54,"72' 10""",2329.917,32,+1
104,105,107,Nick Watney,67,"72' 11""",1822.9170000000001,25,+1
105,106,T86,Sebastián Muñoz,58,"73' 0""",2409.667,33,-2
106,107,109,Chesson Hadley,58,"73' 1""",1607.5,22,-3
107,T108,T96,J.J. Henry,42,"73' 2""",804.6669999999999,11,-1
108,T108,101,Roger Sloan,62,"73' 2""",2268.833,31,-4
109,110,110,Alex Cejka,41,"73' 4""",880.3330000000001,12,+2
110,111,113,Martin Laird,60,"73' 6""",2351.417,32,-1
111,T112,112,Scott Brown,66,"73' 7""",2206.833,30,E
112,T112,115,Bill Haas,58,"73' 7""",2649.333,36,+3
113,T114,114,Julián Etulain,55,"74' 1""",1629.5829999999999,22,-7
114,T114,T102,Brooks Koepka,49,"74' 1""",1555.0,21,-9
115,116,149,Kevin Tway,62,"74' 3""",2597.333,35,-6
116,117,125,Peter Malnati,64,"74' 4""",3048.417,41,+7
117,T118,116,Luke List,52,"74' 5""",2530.167,34,-7
118,T118,163,Ollie Schniederjans,63,"74' 5""",1859.5829999999999,25,-5
119,120,117,Justin Rose,42,"74' 6""",1266.167,17,-1
120,T121,108,Anders Albertson,48,"74' 9""",1794.1670000000001,24,+5
121,T121,T121,Grayson Murray,36,"74' 9""",1943.25,26,-8
122,123,124,Chez Reavie,67,"74' 10""",1645.5,22,+3
123,T124,T121,Harris English,72,"75' 0""",3600.833,48,-12
124,T124,T129,Peter Uihlein,65,"75' 0""",2623.833,35,+4
125,T126,154,Daniel Berger,48,"75' 1""",1876.8329999999999,25,-4
126,T126,126,Shawn Stefani,57,"75' 1""",1952.3329999999999,26,+4
127,128,127,Tyrrell Hatton,46,"75' 3""",827.6669999999999,11,E
128,129,128,"Ted Potter, Jr.",56,"75' 4""",1959.6670000000001,26,+10
129,130,T142,Richy Werenski,63,"75' 5""",2337.667,31,-4
130,131,T129,Kevin Na,54,"75' 7""",2115.917,28,E
131,132,131,Zach Johnson,50,"75' 8""",1514.0,20,+4
132,T133,T132,Wyndham Clark,61,"75' 9""",3334.083,44,-23
133,T133,T132,Satoshi Kodaira,51,"75' 9""",1894.6670000000001,25,+1
134,T135,T146,Trey Mullinax,67,"75' 10""",2958.833,39,-14
135,T135,134,Tiger Woods,31,"75' 10""",1440.9170000000001,19,+3
136,137,T121,Jonathan Byrd,43,"75' 11""",1669.3329999999999,22,E
137,T138,135,John Senden,39,"76' 1""",1141.167,15,-2
138,T138,T119,Robert Streb,60,"76' 1""",1902.1670000000001,25,-2
139,T140,T136,Brandon Harkins,67,"76' 4""",2746.583,36,-8
140,T140,T136,Freddie Jacobson,37,"76' 4""",1831.5,24,+7
141,T140,T136,Jon Rahm,51,"76' 4""",1373.9170000000001,18,-1
142,T143,T142,Charles Howell III,64,"76' 6""",1759.75,23,-1
143,T143,T142,Phil Mickelson,41,"76' 6""",1988.8329999999999,26,-3
144,T145,T140,John Chin,38,"76' 7""",1531.3329999999999,20,+6
145,T145,145,Brice Garnett,63,"76' 7""",1532.3329999999999,20,+2
146,147,T146,Sam Burns,66,"76' 8""",2376.833,31,-9
147,T148,162,Curtis Luck,51,"76' 10""",2304.833,30,+9
148,T148,148,Rory Sabbatini,71,"76' 10""",2920.25,38,-11
149,T150,T150,Patton Kizzire,58,"77' 0""",1771.4170000000001,23,-4
150,T150,T150,Hunter Mahan,45,"77' 0""",1771.9170000000001,23,-1
151,152,153,Seth Reeves,52,"77' 2""",2315.5,30,-9
152,153,156,Bronson Burgoon,37,"77' 8""",1397.3329999999999,18,-2
153,154,118,Dominic Bozzelli,53,"77' 10""",1479.5,19,-3
154,T155,T157,Brendan Steele,50,"77' 11""",1091.0,14,-7
155,T155,T157,Brian Stuard,76,"77' 11""",2337.0,30,+3
156,T157,160,Matt Jones,67,"78' 1""",3201.417,41,-5
157,T157,152,Wes Roach,45,"78' 1""",1171.583,15,-2
158,159,161,Branden Grace,62,"78' 2""",1563.6670000000001,20,-4
159,160,T157,Ben Crane,41,"78' 8""",1101.667,14,E
160,T161,155,Mackenzie Hughes,58,"78' 11""",3393.083,43,-10
161,T161,T140,Kyle Jones,49,"78' 11""",1499.6670000000001,19,+6
162,163,165,David Hearn,41,"79' 3""",1346.6670000000001,17,+1
163,164,T136,Scott Langley,60,"79' 5""",2222.667,28,+4
164,165,164,Stephan Jaeger,59,"79' 6""",3736.083,47,+1
165,166,166,Beau Hossler,66,"79' 7""",3024.0,38,+8
166,167,187,Joaquin Niemann,68,"79' 8""",1514.3329999999999,19,-7
167,T168,T167,Jason Kokrak,68,"79' 9""",2312.083,29,-3
168,T168,T167,Patrick Rodgers,44,"79' 9""",1994.5829999999999,25,-4
169,170,T180,Jim Knous,55,"79' 11""",2798.5,35,E
170,171,T169,John Huh,35,"80' 0""",1360.5,17,+2
171,172,172,Ryan Armour,66,"80' 2""",2405.417,30,+10
172,173,173,Charley Hoffman,58,"80' 4""",1767.6670000000001,22,-1
173,174,T174,Haotong Li,32,"80' 6""",1127.083,14,+4
174,175,185,Graeme McDowell,61,"80' 7""",1289.5,16,-2
175,T176,999,Shane Lowry,30,"80' 8""",1290.667,16,-6
176,T176,T176,Ian Poulter,49,"80' 8""",1128.917,14,-2
177,178,T174,Scott Stallings,63,"80' 9""",2261.667,28,-3
178,179,T169,Bubba Watson,47,"80' 11""",1942.0,24,-7
179,180,178,Fabián Gómez,44,"81' 0""",1295.5,16,-4
180,181,T176,Adam Schenk,80,"81' 1""",3323.167,41,-6
181,182,179,Matt Every,38,"81' 4""",650.8330000000001,8,E
182,T183,189,Brian Harman,67,"81' 8""",2205.167,27,+2
183,T183,T180,Sam Ryder,52,"81' 8""",2286.833,28,-8
184,T185,T183,Ryan Blaum,67,"82' 0""",2624.333,32,+14
185,T185,T183,Andrew Landry,56,"82' 0""",1558.0829999999999,19,+1
186,187,186,Patrick Reed,53,"82' 4""",3209.667,39,-2
187,188,188,Byeong Hun An,54,"82' 8""",2480.083,30,-9
188,189,190,Rickie Fowler,54,"83' 0""",2489.0,30,-4
189,190,191,Tommy Fleetwood,43,"83' 3""",1165.75,14,-4
190,191,192,Jason Day,45,"83' 5""",1751.75,21,+2
191,T192,T169,Rod Pampling,40,"83' 8""",1338.0829999999999,16,+7
192,T192,182,D.J. Trahan,33,"83' 8""",836.5830000000001,10,-2
193,194,193,Brian Gay,79,"83' 11""",2517.25,30,+6
194,195,199,Denny McCarthy,63,"84' 0""",2940.833,35,-9
195,196,194,Francesco Molinari,41,"84' 2""",589.1669999999999,7,E
196,T197,T195,Sangmoon Bae,42,"84' 3""",758.0,9,-1
197,T197,T195,Xander Schauffele,55,"84' 3""",2021.9170000000001,24,-5
198,199,202,Kramer Hickok,59,"84' 6""",1858.4170000000001,22,+3
199,200,200,Ben Silverman,54,"85' 10""",1459.0,17,+4
200,201,201,Seamus Power,58,"86' 2""",2068.833,24,+2
201,202,198,Roberto Castro,54,"86' 3""",1121.583,13,+1
202,203,197,Tom Hoge,70,"86' 9""",3989.5,46,-8
203,204,204,Joey Garber,44,"88' 9""",1686.0,19,-3
204,205,203,Jim Herman,37,"89' 10""",1167.333,13,+10
205,206,205,Johnson Wagner,45,"90' 1""",1982.6670000000001,22,+1
206,207,999,Martin Piller,30,"91' 8""",1008.1669999999999,11,-3
207,208,206,Chris Thompson,34,"96' 10""",1259.333,13,E
208,209,207,Billy Horschel,73,"97' 5""",1752.9170000000001,18,+3
