,Approach_100-125_yards_RTP_Score_RANK THIS WEEK,Approach_100-125_yards_RTP_Score_RANK LAST WEEK,Approach_100-125_yards_RTP_Score_PLAYER NAME,Approach_100-125_yards_RTP_Score_ROUNDS,Approach_100-125_yards_RTP_Score_AVG RTP
58,T57,65,Brandt Snedeker,68,-.179
59,60,T67,Cameron Davis,54,-.176
60,T61,T58,Carlos Ortiz,60,-.175
61,T61,66,Chez Reavie,67,-.175
62,T63,T123,Jonathan Byrd,43,-.171
63,T63,T58,Roger Sloan,62,-.171
64,T63,69,Brian Stuard,76,-.171
65,66,T67,Ryan Armour,66,-.170
66,67,T70,Ryan Moore,54,-.169
67,T68,T91,Roberto Castro,54,-.167
68,T68,T72,Chris Kirk,47,-.167
69,T68,T72,Hank Lebioda,55,-.167
70,T68,T91,Ben Silverman,54,-.167
71,T72,T78,Fabián Gómez,44,-.163
72,T72,101,Sebastián Muñoz,58,-.163
73,74,T70,Denny McCarthy,63,-.162
74,T75,T76,Cody Gribble,52,-.161
75,T75,75,John Huh,35,-.161
76,T77,T78,Kyoung-Hoon Lee,72,-.159
77,T77,T76,Joaquin Niemann,68,-.159
78,79,80,Adam Scott,41,-.158
79,80,T81,Jason Kokrak,68,-.156
80,T81,84,Rickie Fowler,54,-.154
81,T81,T95,J.B. Holmes,54,-.154
82,T83,85,Corey Conners,62,-.152
83,T83,T89,Dylan Frittelli,55,-.152
84,T83,74,Rory McIlroy,50,-.152
85,86,T104,Russell Henley,56,-.150
86,T87,T86,Beau Hossler,66,-.149
87,T87,T86,Michael Thompson,56,-.149
88,89,88,John Senden,39,-.147
89,T90,T89,Kevin Na,54,-.146
90,T90,T117,Danny Willett,47,-.146
91,92,T112,Jimmy Walker,61,-.145
92,T93,T104,Anders Albertson,48,-.143
93,T93,83,Alex Prugh,54,-.143
94,T93,64,Brady Schnell,38,-.143
95,T96,61,Talor Gooch,37,-.140
96,T96,T51,Scott Stallings,63,-.140
97,T96,T120,Adam Svensson,51,-.140
98,99,T95,Rory Sabbatini,71,-.139
99,T100,T97,Tony Finau,61,-.137
100,T100,T97,Gary Woodland,63,-.137
101,T102,99,Max Homa,61,-.136
102,T102,T93,Kyle Jones,49,-.136
103,104,999,Shane Lowry,30,-.135
104,105,T93,Daniel Berger,48,-.133
105,106,102,Cameron Champ,58,-.131
106,107,100,Alex Noren,49,-.130
107,108,116,Sam Saunders,53,-.129
108,109,103,Sam Burns,66,-.127
109,T110,T58,Bud Cauley,61,-.125
110,T110,T104,Louis Oosthuizen,43,-.125
111,T110,T153,José de Jesús Rodríguez,51,-.125
112,T110,T104,Jordan Spieth,57,-.125
113,T114,110,Kevin Streelman,63,-.122
114,T114,T117,Nick Watney,67,-.122
115,T116,111,Aaron Baddeley,51,-.120
116,T116,T142,Harris English,72,-.120
117,T118,115,Freddie Jacobson,37,-.118
118,T118,T144,Webb Simpson,53,-.118
119,T118,T104,Robert Streb,60,-.118
120,121,133,Tyler Duncan,66,-.115
121,T122,T112,Bill Haas,58,-.111
122,T122,128,Adam Hadwin,66,-.111
123,T122,T104,Martin Laird,60,-.111
124,T122,119,C.T. Pan,64,-.111
125,126,T120,Patton Kizzire,58,-.109
126,127,122,Russell Knox,65,-.108
127,128,T123,Pat Perez,52,-.107
128,T129,T126,Michael Kim,51,-.104
129,T129,130,Harold Varner III,62,-.104
130,131,T126,Tom Hoge,70,-.103
131,132,129,Joel Dahmen,78,-.100
132,T133,T131,Patrick Rodgers,44,-.098
133,T133,T131,Kyle Stanley,53,-.098
134,135,134,Hunter Mahan,45,-.096
135,136,T135,Ryan Blaum,67,-.095
136,T137,T137,Lucas Glover,62,-.094
137,T137,T137,Luke List,52,-.094
138,T139,T150,Jim Knous,55,-.093
139,T139,T139,Marc Leishman,52,-.093
140,T139,148,Hudson Swafford,59,-.093
141,T142,T142,Charley Hoffman,58,-.091
142,T142,T112,Scott Langley,60,-.091
143,T142,999,Martin Piller,30,-.091
144,T142,175,Chris Thompson,34,-.091
145,T146,T144,Billy Horschel,73,-.089
146,T146,T139,Aaron Wise,52,-.089
147,148,147,Troy Merritt,42,-.088
148,149,T135,Seth Reeves,52,-.087
149,150,149,Adam Long,52,-.085
150,T151,T144,J.J. Henry,42,-.083
151,T151,T150,Andrew Putnam,57,-.083
152,153,T153,Byeong Hun An,54,-.081
153,154,152,Josh Teater,47,-.080
154,155,T139,Danny Lee,66,-.079
155,T156,162,Scott Brown,66,-.077
156,T156,155,Emiliano Grillo,65,-.077
157,T156,125,David Hearn,41,-.077
158,T159,T156,Francesco Molinari,41,-.075
159,T159,T156,Cameron Smith,55,-.075
160,161,T163,Nick Taylor,70,-.073
161,162,159,Rafa Cabrera Bello,57,-.070
162,T163,160,D.A. Points,33,-.069
163,T163,174,Henrik Stenson,46,-.069
164,T165,161,Bronson Burgoon,37,-.067
165,T165,169,Curtis Luck,51,-.067
166,167,T163,Bryson DeChambeau,45,-.064
167,T168,166,Sung Kang,67,-.063
168,T168,T185,Martin Trainer,51,-.063
169,T170,167,Branden Grace,62,-.060
170,T170,158,Sepp Straka,48,-.060
171,172,T163,Ollie Schniederjans,63,-.059
172,173,172,Kevin Tway,62,-.052
173,174,168,Jason Dufner,56,-.050
174,175,170,Xander Schauffele,55,-.047
175,176,T185,Whee Kim,57,-.043
176,177,171,Satoshi Kodaira,51,-.042
177,T178,184,Brian Harman,67,-.038
178,T178,173,Chris Stroud,54,-.038
179,180,T176,Tommy Fleetwood,43,-.029
180,181,T176,Brice Garnett,63,-.028
181,182,178,Graeme McDowell,61,-.023
182,T183,T185,Dominic Bozzelli,53,-.022
183,T183,T179,Roberto Díaz,51,-.022
184,T185,T185,Austin Cook,50,-.020
185,T185,181,Brendan Steele,50,-.020
186,T185,T179,Cameron Tringale,52,-.020
187,188,182,Kramer Hickok,59,-.018
188,189,183,Chase Wright,53,-.015
189,T190,T185,Sangmoon Bae,42,E
190,T190,T185,Ernie Els,43,E
191,T190,201,Mackenzie Hughes,58,E
192,T190,T185,Ian Poulter,49,E
193,T190,198,Seamus Power,58,E
194,T190,T185,Jon Rahm,51,E
195,T190,T185,Shawn Stefani,57,E
196,197,195,Alex Cejka,41,+.026
197,198,196,"Ted Potter, Jr.",56,+.031
198,199,199,Martin Kaymer,38,+.045
199,200,200,Dustin Johnson,47,+.054
200,201,T185,Lucas Bjerregaard,37,+.056
201,202,202,Charl Schwartzel,34,+.071
202,203,203,Grayson Murray,36,+.091
203,204,197,John Chin,38,+.094
204,205,204,Keegan Bradley,65,+.098
205,206,999,Tyrone Van Aswegen,30,+.107
206,207,205,Tyrrell Hatton,46,+.154
207,208,206,Keith Mitchell,64,+.163
208,209,207,Matt Wallace,31,+.200
