,Approaches_from_250-275_yards_Rgh_RANK THIS WEEK,Approaches_from_250-275_yards_Rgh_RANK LAST WEEK,Approaches_from_250-275_yards_Rgh_PLAYER NAME,Approaches_from_250-275_yards_Rgh_ROUNDS,Approaches_from_250-275_yards_Rgh_AVG,Approaches_from_250-275_yards_Rgh_TOTAL DISTANCE (FEET),Approaches_from_250-275_yards_Rgh_# OF ATTEMPTS,Approaches_from_250-275_yards_Rgh_RELATIVE TO PAR
87,88,86,Martin Kaymer,38,"80' 5""",321.5,4,-1
88,89,T87,Sepp Straka,48,"80' 7""",644.5,8,+1
89,90,89,Billy Horschel,73,"80' 8""",80.667,1,-1
90,91,90,Hank Lebioda,55,"81' 0""",243.083,3,E
91,92,91,Rory Sabbatini,71,"81' 1""",891.75,11,-4
92,93,92,Ryan Armour,66,"81' 5""",244.333,3,E
93,T94,T93,Paul Casey,51,"81' 8""",245.083,3,-2
94,T94,T93,Cameron Champ,58,"81' 8""",245.083,3,-2
95,T94,T93,Adam Long,52,"81' 8""",163.25,2,E
96,97,96,Sungjae Im,88,"82' 4""",823.0830000000001,10,-8
97,T98,T97,Sebastián Muñoz,58,"82' 5""",329.667,4,-1
98,T98,T97,Brandt Snedeker,68,"82' 5""",577.0830000000001,7,-4
99,100,99,Jhonattan Vegas,60,"83' 2""",582.3330000000001,7,-4
100,T101,T100,Wyndham Clark,61,"83' 3""",749.0,9,-8
101,T101,T100,Cody Gribble,52,"83' 3""",416.25,5,E
102,T101,T100,Patrick Reed,53,"83' 3""",749.1669999999999,9,-1
103,104,103,Jason Kokrak,68,"83' 6""",584.6669999999999,7,-2
104,105,104,Peter Malnati,64,"84' 0""",756.25,9,-1
105,106,105,Tyler Duncan,66,"84' 9""",169.5,2,-1
106,T107,136,Kramer Hickok,59,"85' 4""",426.5,5,-1
107,T107,108,Anirban Lahiri,54,"85' 4""",511.75,6,-1
108,109,109,Richy Werenski,63,"85' 5""",598.0830000000001,7,-5
109,110,110,Harold Varner III,62,"85' 7""",342.417,4,-1
110,111,111,Mackenzie Hughes,58,"85' 9""",686.1669999999999,8,-3
111,112,112,Rod Pampling,40,"86' 2""",344.75,4,+2
112,113,113,Andrew Landry,56,"86' 5""",172.75,2,E
113,114,114,D.J. Trahan,33,"87' 0""",87.0,1,E
114,T115,T115,Vaughn Taylor,69,"87' 1""",435.25,5,-4
115,T115,T115,Michael Thompson,56,"87' 1""",609.5830000000001,7,-1
116,T117,T117,Jim Knous,55,"87' 2""",261.58299999999997,3,-3
117,T117,T117,Jimmy Walker,61,"87' 2""",261.5,3,-1
118,119,119,Keegan Bradley,65,"87' 4""",174.667,2,E
119,120,120,Graeme McDowell,61,"87' 5""",524.4169999999999,6,-4
120,T121,T121,Tommy Fleetwood,43,"87' 7""",262.83299999999997,3,-2
121,T121,T121,Peter Uihlein,65,"87' 7""",525.5,6,-2
122,123,123,Chris Stroud,54,"87' 11""",615.1669999999999,7,-3
123,124,124,Chase Wright,53,"88' 11""",444.5,5,-1
124,125,125,Rory McIlroy,50,"89' 1""",356.417,4,E
125,126,126,Matt Jones,67,"89' 3""",624.9169999999999,7,-2
126,127,127,Kiradech Aphibarnrat,49,"89' 4""",446.833,5,-2
127,128,128,Kevin Na,54,"89' 8""",538.1669999999999,6,-1
128,129,129,Rafa Cabrera Bello,57,"90' 4""",271.0,3,-2
129,T130,T130,Alex Cejka,41,"90' 6""",180.917,2,-1
130,T130,T130,Chris Kirk,47,"90' 6""",542.8330000000001,6,-4
131,132,132,Beau Hossler,66,"91' 1""",546.4169999999999,6,-3
132,133,133,Adam Scott,41,"91' 2""",182.333,2,E
133,T134,T134,Harris English,72,"91' 7""",183.083,2,E
134,T134,T134,Scott Piercy,70,"91' 7""",457.75,5,-1
135,136,137,Charley Hoffman,58,"92' 8""",185.25,2,E
136,137,138,Seamus Power,58,"92' 9""",556.25,6,-3
137,138,139,Brice Garnett,63,"93' 0""",464.833,5,-1
138,139,140,David Hearn,41,"93' 4""",373.167,4,E
139,140,141,Ian Poulter,49,"93' 5""",186.75,2,-1
140,141,142,J.J. Henry,42,"93' 8""",187.25,2,E
141,142,143,John Chin,38,"94' 2""",376.667,4,+2
142,143,144,Byeong Hun An,54,"94' 3""",565.4169999999999,6,-2
143,144,145,Cameron Smith,55,"94' 5""",377.5,4,E
144,145,146,Sam Burns,66,"95' 2""",285.41700000000003,3,E
145,146,147,Whee Kim,57,"95' 11""",383.5,4,+3
146,147,148,Scott Stallings,63,"96' 0""",768.0,8,-5
147,T148,T149,Ernie Els,43,"96' 10""",387.167,4,-3
148,T148,T149,Grayson Murray,36,"96' 10""",387.417,4,E
149,150,151,Martin Laird,60,"97' 1""",776.8330000000001,8,+1
150,151,152,Keith Mitchell,64,"97' 2""",388.667,4,E
151,152,153,Matt Every,38,"97' 10""",293.5,3,-2
152,153,154,Kevin Kisner,65,"98' 2""",392.5,4,-1
153,154,155,Patrick Rodgers,44,"98' 4""",294.91700000000003,3,E
154,155,156,J.T. Poston,76,"98' 8""",1183.5,12,-7
155,156,157,Kevin Tway,62,"98' 9""",592.3330000000001,6,-3
156,157,158,Bronson Burgoon,37,"98' 10""",494.0,5,-3
157,158,160,Xander Schauffele,55,"99' 1""",594.5,6,-1
158,159,177,Jonathan Byrd,43,"99' 5""",497.0,5,-4
159,160,161,Michael Kim,51,"99' 8""",398.75,4,+1
160,161,162,Trey Mullinax,67,"100' 1""",800.5830000000001,8,-2
161,T162,T164,Austin Cook,50,"100' 10""",201.583,2,+1
162,T162,T164,Andrew Putnam,57,"100' 10""",302.5,3,-2
163,164,173,Kelly Kraft,67,"101' 10""",611.0830000000001,6,-1
164,165,166,Jon Rahm,51,"102' 0""",408.0,4,-1
165,T166,159,Tom Hoge,70,"102' 3""",1124.833,11,-7
166,T166,167,Chez Reavie,67,"102' 3""",613.3330000000001,6,-3
167,168,168,James Hahn,34,"102' 4""",102.333,1,E
168,169,169,Sangmoon Bae,42,"102' 5""",102.417,1,E
169,170,170,Phil Mickelson,41,"102' 9""",616.25,6,E
170,171,171,Patton Kizzire,58,"103' 3""",516.25,5,-2
171,172,172,Brandon Harkins,67,"104' 8""",523.5,5,+1
172,173,174,Roberto Castro,54,"106' 5""",319.33299999999997,3,E
173,174,175,Luke List,52,"106' 9""",640.25,6,-1
174,175,191,Kyle Jones,49,"107' 0""",320.91700000000003,3,E
175,T176,T181,Joey Garber,44,"107' 5""",429.583,4,-1
176,T176,176,Shawn Stefani,57,"107' 5""",107.417,1,E
177,178,178,Brady Schnell,38,"107' 9""",107.75,1,-1
178,179,163,Dominic Bozzelli,53,"108' 8""",325.91700000000003,3,E
179,180,180,Chesson Hadley,58,"109' 5""",218.833,2,-2
180,181,T181,Francesco Molinari,41,"110' 0""",330.0,3,+1
181,182,183,Jason Day,45,"111' 6""",557.5,5,-2
182,183,184,Justin Thomas,49,"112' 11""",338.667,3,-2
183,184,185,Louis Oosthuizen,43,"113' 7""",113.583,1,-1
184,185,186,Charles Howell III,64,"114' 4""",342.917,3,+1
185,186,179,Brian Gay,79,"116' 3""",697.25,6,-1
186,187,187,John Senden,39,"116' 10""",467.417,4,-1
187,188,T106,Chris Thompson,34,"117' 5""",234.833,2,-1
188,189,188,Tyrrell Hatton,46,"118' 3""",118.25,1,E
189,190,189,Robert Streb,60,"119' 4""",238.583,2,E
190,191,192,Ben Crane,41,"124' 1""",248.167,2,-1
191,192,193,Danny Lee,66,"126' 9""",380.25,3,-2
192,193,194,Jim Herman,37,"127' 5""",127.417,1,+1
193,194,190,Scott Langley,60,"128' 3""",641.1669999999999,5,-2
194,195,195,Brendan Steele,50,"128' 10""",386.417,3,E
195,196,196,Ryan Blaum,67,"129' 2""",387.417,3,+3
196,197,197,Ben Silverman,54,"134' 5""",268.83299999999997,2,+1
197,198,999,Martin Piller,30,"152' 9""",305.5,2,-1
198,199,198,Johnson Wagner,45,"158' 11""",158.917,1,E
