,Average_Going_for_it_Shot_Distance_in_Yards_RANK THIS WEEK,Average_Going_for_it_Shot_Distance_in_Yards_RANK LAST WEEK,Average_Going_for_it_Shot_Distance_in_Yards_PLAYER NAME,Average_Going_for_it_Shot_Distance_in_Yards_EVENTS,Average_Going_for_it_Shot_Distance_in_Yards_AVG,Average_Going_for_it_Shot_Distance_in_Yards_DISTANCE (IN INCHES),Average_Going_for_it_Shot_Distance_in_Yards_ATTEMPTS
44,T45,T50,Jhonattan Vegas,18,257.1,1240396.0,134
45,T45,T46,Nick Watney,20,257.1,925656.0,100
46,47,T52,Kevin Kisner,17,257.2,814921.0,88
47,T48,T41,Harris English,21,257.3,1287619.0,139
48,T48,54,Charles Howell III,19,257.3,1009693.0,109
49,50,T55,J.T. Poston,22,257.4,1251088.0,135
50,51,58,Andrew Landry,18,257.6,778974.0,84
51,T52,T41,Brice Garnett,21,257.8,723853.0,78
52,T52,60,J.B. Holmes,18,257.8,705228.0,76
53,T54,T52,Seth Reeves,18,258.3,929843.0,100
54,T54,61,Brendan Steele,17,258.3,827522.0,89
55,56,57,Ryan Armour,21,258.4,455858.0,49
56,57,63,Charley Hoffman,18,258.6,651599.0,70
57,58,T50,Keegan Bradley,18,258.7,996641.0,107
58,T59,T65,Adam Long,19,258.8,801372.0,86
59,T59,T31,Martin Trainer,19,258.8,903736.0,97
60,T61,T68,Jason Dufner,19,258.9,615108.0,66
61,T61,T68,C.T. Pan,19,258.9,745677.0,80
62,T61,59,Roger Sloan,20,258.9,745530.0,80
63,T64,72,J.J. Spaun,20,259.1,998176.0,107
64,T64,73,Bubba Watson,13,259.1,1137983.0,122
65,66,T55,Matt Kuchar,16,259.2,970382.0,104
66,67,64,Nate Lashley,13,259.3,466784.0,50
67,T68,49,Dominic Bozzelli,17,259.5,681900.0,73
68,T68,T74,Gary Woodland,17,259.5,1223600.0,131
69,T70,T76,Chris Kirk,17,259.6,691545.0,74
70,T70,T76,Brian Stuard,22,259.6,635489.0,68
71,72,T65,Ben Silverman,17,259.7,532803.0,57
72,T73,80,Hideki Matsuyama,15,259.8,1094161.0,117
73,T73,62,Harold Varner III,20,259.8,1103796.0,118
74,T75,T68,Graeme McDowell,16,259.9,655030.0,70
75,T75,81,Tiger Woods,8,259.9,524021.0,56
76,77,82,James Hahn,10,260.0,336947.0,36
77,78,T85,Paul Casey,15,260.2,824179.0,88
78,T79,91,Matthew Fitzpatrick,11,260.5,543925.0,58
79,T79,T89,Carlos Ortiz,21,260.5,1088020.0,116
80,81,T92,Patrick Reed,15,260.6,1022459.0,109
81,T82,T94,Kevin Streelman,20,260.7,1126297.0,120
82,T82,999,Tyrone Van Aswegen,11,260.7,225222.0,24
83,84,T85,Cameron Tringale,15,260.8,628958.0,67
84,T85,T65,Talor Gooch,12,260.9,676124.0,72
85,T85,T97,D.A. Points,13,260.9,216019.0,23
86,T87,T76,Zach Johnson,15,261.0,629477.0,67
87,T87,T97,Peter Malnati,19,261.0,911329.0,97
88,T87,T74,Rory McIlroy,13,261.0,1212283.0,129
89,T90,T89,Fabián Gómez,14,261.1,563976.0,60
90,T90,T92,Sam Saunders,18,261.1,996438.0,106
91,T90,88,Richy Werenski,20,261.1,1099751.0,117
92,T93,T105,Anders Albertson,18,261.2,714605.0,76
93,T93,103,Joel Dahmen,22,261.2,1062701.0,113
94,95,79,Joaquin Niemann,20,261.3,968839.0,103
95,T96,T110,John Chin,14,261.4,489324.0,52
96,T96,T83,Chase Wright,19,261.4,734001.0,78
97,T98,999,Shane Lowry,10,261.5,433100.0,46
98,T98,T94,Scott Stallings,20,261.5,1120084.0,119
99,100,T105,Ryan Moore,16,261.6,847508.0,90
100,T101,T85,Julián Etulain,17,261.7,621713.0,66
101,T101,T100,Cody Gribble,18,261.7,791503.0,84
102,T101,108,Billy Horschel,19,261.7,800929.0,85
