,GIR_Percentage_-_175-200_yards_RANK THIS WEEK,GIR_Percentage_-_175-200_yards_RANK LAST WEEK,GIR_Percentage_-_175-200_yards_PLAYER NAME,GIR_Percentage_-_175-200_yards_ROUNDS,GIR_Percentage_-_175-200_yards_%,GIR_Percentage_-_175-200_yards_GREENS HIT,GIR_Percentage_-_175-200_yards_TOTAL HOLES,GIR_Percentage_-_175-200_yards_RELATIVE TO PAR
50,51,50,Ryan Moore,54,57.67,94,163,-0.17
51,52,51,Patrick Rodgers,44,57.63,68,118,-0.19
52,53,53,Gary Woodland,63,57.46,77,134,-0.06
53,T54,54,Ernie Els,43,57.43,58,101,-0.16
54,T54,34,Webb Simpson,53,57.43,85,148,-0.13
55,56,55,Russell Knox,65,57.4,97,169,-0.06
56,57,58,C.T. Pan,64,57.14,92,161,-0.07
57,58,45,Graeme McDowell,61,57.04,81,142,-0.19
58,59,59,Beau Hossler,66,56.88,91,160,-0.16
59,T60,T60,Luke List,52,56.82,75,132,-0.11
60,T60,T60,Phil Mickelson,41,56.82,50,88,-0.04
61,T60,T60,Jon Rahm,51,56.82,50,88,-0.22
62,63,57,Henrik Stenson,46,56.59,73,129,-0.08
63,64,64,Martin Kaymer,38,56.56,69,122,-0.10
64,65,65,John Senden,39,56.52,52,92,-0.10
65,66,66,Cameron Champ,58,56.45,70,124,-0.10
66,67,T60,Brady Schnell,38,56.38,53,94,-0.08
67,68,56,Tom Hoge,70,56.32,98,174,-0.12
68,69,67,Scott Brown,66,56.25,99,176,-0.11
69,70,72,Patton Kizzire,58,56.15,73,130,-0.14
70,71,T68,Sergio Garcia,39,56.12,55,98,-0.13
71,72,73,Justin Harding,31,56.1,23,41,-0.22
72,73,89,Mackenzie Hughes,58,56.08,83,148,-0.02
73,74,74,Billy Horschel,73,55.92,85,152,-0.24
74,75,75,Paul Casey,51,55.86,62,111,-0.18
75,76,77,Jim Knous,55,55.83,67,120,-0.09
76,T77,83,Carlos Ortiz,60,55.7,83,149,-0.08
77,T77,95,J.J. Spaun,68,55.7,83,149,-0.05
78,T77,92,Robert Streb,60,55.7,88,158,-0.20
79,T77,78,Jhonattan Vegas,60,55.7,83,149,-0.10
80,81,79,Patrick Cantlay,49,55.68,49,88,-0.10
81,82,76,Tyler Duncan,66,55.62,94,169,-0.04
82,83,T80,Byeong Hun An,54,55.56,65,117,-0.11
83,84,91,Peter Malnati,64,55.43,102,184,-0.25
84,85,84,Michael Thompson,56,55.38,108,195,-0.18
85,86,85,Josh Teater,47,55.34,57,103,-0.09
86,87,T106,Ben Crane,41,55.24,58,105,-0.16
87,88,T80,Ryan Armour,66,55.19,101,183,-0.10
88,89,96,Scott Stallings,63,55.1,81,147,-0.15
89,90,T80,Nick Watney,67,55.06,87,158,-0.13
90,T91,T93,Sam Burns,66,54.76,92,168,-0.11
91,T91,88,Sam Saunders,53,54.76,69,126,-0.19
92,T91,T93,Cameron Smith,55,54.76,69,126,-0.14
93,94,87,Jimmy Walker,61,54.6,89,163,-0.10
94,95,71,Bubba Watson,47,54.55,54,99,-0.11
95,96,97,Cameron Tringale,52,54.46,61,112,-0.11
96,97,86,J.B. Holmes,54,54.43,43,79,-0.02
97,T98,T99,Tony Finau,61,54.33,69,127,-0.16
98,T98,T99,Andrew Putnam,57,54.33,69,127,-0.14
99,100,102,Matthew Fitzpatrick,42,54.26,51,94,-0.20
100,101,105,Roger Sloan,62,54.25,83,153,-0.05
101,102,103,Charles Howell III,64,54.2,71,131,-0.18
102,103,108,Danny Lee,66,54.07,93,172,-0.17
103,104,T111,Lucas Bjerregaard,37,53.95,41,76,-0.05
104,105,104,Martin Laird,60,53.94,89,165,-0.13
105,106,126,Roberto Castro,54,53.79,78,145,-0.03
106,107,T123,Nick Taylor,70,53.77,107,199,-0.12
107,108,98,Fabián Gómez,44,53.76,50,93,-0.08
108,109,116,Bud Cauley,61,53.68,102,190,-0.12
109,T110,109,J.T. Poston,76,53.64,118,220,-0.13
110,T110,T111,Ollie Schniederjans,63,53.64,81,151,-0.14
111,112,T118,Harold Varner III,62,53.5,84,157,-0.17
112,113,110,Sung Kang,67,53.48,100,187,-0.17
113,114,T123,Danny Willett,47,53.44,70,131,-0.04
114,115,T114,Charl Schwartzel,34,53.33,32,60,-0.16
115,116,145,D.J. Trahan,33,53.19,25,47,-0.36
116,117,101,Sangmoon Bae,42,53.16,42,79,-0.07
117,118,117,Brian Stuard,76,53.07,121,228,-0.11
118,119,T118,Andrew Landry,56,53.06,78,147,-0.13
119,120,122,Stewart Cink,33,52.86,37,70,-0.08
120,121,127,Curtis Luck,51,52.85,65,123,-0.12
121,122,T106,Seth Reeves,52,52.78,57,108,-0.07
122,123,125,Keith Mitchell,64,52.76,67,127,-0.10
123,124,113,Dustin Johnson,47,52.69,49,93,-0.24
124,125,121,Brandon Harkins,67,52.56,82,156,-0.11
125,126,129,Vaughn Taylor,69,52.47,117,223,-0.16
126,T127,T114,Adam Svensson,51,52.42,65,124,-0.12
127,T127,120,Peter Uihlein,65,52.42,65,124,-0.11
128,129,130,Jordan Spieth,57,52.41,87,166,-0.13
129,130,131,Tommy Fleetwood,43,52.38,44,84,-0.11
130,131,151,Jonas Blixt,66,52.36,100,191,-0.13
131,132,132,Si Woo Kim,65,52.31,68,130,-0.18
132,133,133,Patrick Reed,53,52.29,57,109,-0.18
133,134,134,Chez Reavie,67,52.14,73,140,-0.15
134,135,128,Joaquin Niemann,68,52.1,87,167,-0.17
135,136,146,Cameron Davis,54,52.03,64,123,-0.23
136,137,T183,Rod Pampling,40,52.0,52,100,+0.06
137,138,141,Cody Gribble,52,51.85,70,135,-0.06
138,139,136,Joel Dahmen,78,51.79,101,195,-0.15
139,140,159,Joey Garber,44,51.76,44,85,-0.16
140,141,138,Matt Jones,67,51.66,78,151,-0.18
141,T142,T139,Branden Grace,62,51.61,64,124,-0.13
142,T142,157,Chase Wright,53,51.61,64,124,-0.20
143,144,T139,Julián Etulain,55,51.56,66,128,-0.09
144,145,999,Tyrone Van Aswegen,30,51.52,34,66,+0.06
145,146,135,Anders Albertson,48,51.49,52,101,-0.08
146,147,163,Stephan Jaeger,59,51.47,70,136,-0.11
147,T148,T142,Kiradech Aphibarnrat,49,51.43,54,105,-0.06
148,T148,T142,Kevin Kisner,65,51.43,72,140,-0.13
149,150,T165,Brian Harman,67,51.34,96,187,-0.06
150,151,182,Brandt Snedeker,68,51.33,77,150,-0.08
151,152,147,Kevin Na,54,51.22,63,123,-0.05
152,153,148,Ian Poulter,49,51.19,43,84,-0.07
153,154,149,Rafa Cabrera Bello,57,51.13,68,133,-0.10
154,155,150,Brendan Steele,50,51.11,69,135,-0.03
155,156,90,Dominic Bozzelli,53,51.09,47,92,-0.09
156,157,137,Kelly Kraft,67,51.08,95,186,-0.08
157,158,158,Brice Garnett,63,51.01,76,149,-0.05
158,159,154,John Huh,35,50.98,52,102,-0.10
159,160,155,Tyrrell Hatton,46,50.96,53,104,-0.11
160,161,156,Brian Gay,79,50.89,114,224,-0.07
161,162,161,Ryan Blaum,67,50.53,96,190,-0.13
162,163,153,Harris English,72,50.49,103,204,-0.06
163,164,162,Michael Kim,51,50.4,63,125,-0.10
164,165,164,Chesson Hadley,58,50.37,68,135,-0.15
165,T166,T165,Aaron Baddeley,51,50.0,68,136,-0.22
166,T166,152,Alex Cejka,41,50.0,50,100,-0.06
167,T166,177,Adam Hadwin,66,50.0,76,152,-0.03
168,T166,T165,Chris Kirk,47,50.0,63,126,-0.02
169,T166,T165,Anirban Lahiri,54,50.0,73,146,-0.05
170,T166,T165,Pat Perez,52,50.0,57,114,-0.11
171,T166,194,Chris Thompson,34,50.0,34,68,-0.06
172,T166,T165,Matt Wallace,31,50.0,36,72,-0.08
173,174,173,Rory Sabbatini,71,49.75,100,201,-0.17
174,175,175,Denny McCarthy,63,49.7,84,169,-0.20
175,176,176,Abraham Ancer,69,49.67,76,153,-0.09
176,177,200,José de Jesús Rodríguez,51,49.52,52,105,-0.21
177,178,T165,Jim Herman,37,49.46,46,93,-0.07
178,179,174,Bill Haas,58,49.41,84,170,+0.01
179,180,144,Zach Johnson,50,49.35,76,154,-0.16
180,181,T178,Matt Every,38,49.32,36,73,-0.19
181,182,T178,Jason Day,45,49.3,35,71,-0.14
182,183,T165,Whee Kim,57,49.21,62,126,-0.11
183,184,189,John Chin,38,49.18,30,61,-0.07
184,185,180,Charley Hoffman,58,49.11,55,112,-0.20
185,186,188,Dylan Frittelli,55,48.95,70,143,-0.06
186,187,T183,Adam Scott,41,48.89,44,90,-0.07
187,188,187,Ben Silverman,54,48.63,71,146,-0.10
188,189,185,Kyle Jones,49,48.18,66,137,-0.02
189,190,160,Jonathan Byrd,43,47.92,46,96,-0.13
190,191,186,Richy Werenski,63,47.62,80,168,-0.13
191,192,181,J.J. Henry,42,47.57,49,103,+0.02
192,193,190,Chris Stroud,54,46.98,70,149,-0.11
193,194,191,Freddie Jacobson,37,46.94,46,98,-0.15
194,195,193,Satoshi Kodaira,51,46.72,57,122,-0.11
195,196,192,Martin Trainer,51,46.61,55,118,E
196,197,195,Austin Cook,50,46.55,54,116,-0.20
197,198,197,David Hearn,41,46.15,42,91,-0.05
198,199,199,Wyndham Clark,61,45.65,63,138,-0.11
199,200,196,Seamus Power,58,45.22,71,157,-0.11
200,201,201,Bronson Burgoon,37,44.76,47,105,-0.11
201,202,202,"Ted Potter, Jr.",56,44.44,64,144,-0.20
202,203,999,Martin Piller,30,43.86,25,57,-0.04
203,T204,203,D.A. Points,33,43.02,37,86,-0.14
204,T204,198,Wes Roach,45,43.02,37,86,-0.08
205,206,204,Kyle Stanley,53,42.86,51,119,-0.10
206,207,205,Scott Langley,60,42.05,74,176,-0.09
207,208,206,Francesco Molinari,41,39.47,30,76,-0.10
208,209,207,Louis Oosthuizen,43,39.24,31,79,-0.06
