,Left_Rough_Proximity_RANK THIS WEEK,Left_Rough_Proximity_RANK LAST WEEK,Left_Rough_Proximity_PLAYER NAME,Left_Rough_Proximity_ROUNDS,Left_Rough_Proximity_AVG,Left_Rough_Proximity_ATTEMPTS,Left_Rough_Proximity_TOTAL DISTANCE (FEET),Left_Rough_Proximity_RELATIVE TO PAR
164,T165,T157,Brian Gay,79,"48' 5""",78,3775.167,+5.00
165,T165,T164,Grayson Murray,36,"48' 5""",59,2855.75,E
166,T165,T164,J.T. Poston,76,"48' 5""",87,4211.333,+9.00
167,T168,T179,Denny McCarthy,63,"48' 6""",62,3005.75,+7.00
168,T168,147,Kevin Tway,62,"48' 6""",72,3492.583,+6.00
169,T170,T167,Jason Day,45,"48' 7""",49,2381.583,+6.00
170,T170,T167,Matt Jones,67,"48' 7""",78,3787.0,-2.00
171,T172,T171,Rickie Fowler,54,"48' 8""",65,3164.917,+3.00
172,T172,187,Josh Teater,47,"48' 8""",46,2239.583,+2.00
173,T174,174,Charles Howell III,64,"48' 9""",53,2585.0,+12.00
174,T174,188,Wes Roach,45,"48' 9""",39,1902.6670000000001,+6.00
175,176,184,Graeme McDowell,61,"48' 11""",78,3812.917,+16.00
176,177,176,Billy Horschel,73,"49' 1""",86,4222.0,+17.00
177,178,T164,Seth Reeves,52,"49' 3""",66,3251.667,+9.00
178,T179,T179,Jason Kokrak,68,"49' 7""",100,4959.0,+20.00
179,T179,T179,Adam Schenk,80,"49' 7""",96,4760.917,+7.00
180,T181,182,Sam Burns,66,"49' 9""",79,3927.0,+14.00
181,T181,T171,Tom Hoge,70,"49' 9""",72,3582.833,+14.00
182,T181,T157,Jim Knous,55,"49' 9""",84,4178.75,+13.00
183,T184,T177,Brian Harman,67,"49' 10""",73,3639.417,+17.00
184,T184,T177,Whee Kim,57,"49' 10""",58,2888.25,+15.00
185,186,183,Mackenzie Hughes,58,"50' 0""",93,4648.667,+15.00
186,187,T152,Sepp Straka,48,"50' 5""",66,3325.583,+15.00
187,188,189,Stephan Jaeger,59,"50' 6""",85,4289.083,+15.00
188,189,T157,Julián Etulain,55,"50' 8""",78,3949.25,+10.00
189,190,186,John Chin,38,"50' 10""",40,2033.6670000000001,+14.00
190,191,T134,Daniel Berger,48,"51' 0""",47,2398.833,+10.00
191,192,192,Kelly Kraft,67,"51' 4""",96,4924.083,+21.00
192,193,185,Kyle Jones,49,"51' 8""",49,2532.667,+17.00
193,194,191,Troy Merritt,42,"51' 10""",29,1503.8329999999999,+9.00
194,T195,T194,Joel Dahmen,78,"52' 2""",69,3599.75,+6.00
195,T195,T194,Patrick Reed,53,"52' 2""",64,3339.25,+10.00
196,197,197,Hideki Matsuyama,59,"52' 7""",42,2208.5,+6.00
197,198,198,Adam Scott,41,"53' 4""",45,2401.167,-1.00
198,199,199,Matthew Fitzpatrick,42,"53' 6""",42,2248.167,+3.00
199,200,200,Patrick Cantlay,49,"53' 11""",51,2749.167,-10.00
200,201,201,Kevin Na,54,"54' 1""",48,2594.0,+3.00
201,202,203,Lucas Bjerregaard,37,"54' 7""",38,2074.833,+2.00
202,203,193,Hank Lebioda,55,"55' 2""",66,3640.0,+25.00
203,204,202,Tommy Fleetwood,43,"55' 3""",32,1768.25,+1.00
204,T205,196,Scott Langley,60,"55' 8""",61,3398.083,+15.00
205,T205,204,Haotong Li,32,"55' 8""",35,1947.8329999999999,+12.00
206,207,205,Bubba Watson,47,"56' 4""",71,4001.083,+8.00
207,208,206,Kramer Hickok,59,"57' 7""",48,2764.583,+11.00
208,209,207,Freddie Jacobson,37,"58' 7""",34,1991.5,+8.00
