,Fairway_Proximity_RANK THIS WEEK,Fairway_Proximity_RANK LAST WEEK,Fairway_Proximity_PLAYER NAME,Fairway_Proximity_ROUNDS,Fairway_Proximity_AVG,Fairway_Proximity_ATTEMPTS,Fairway_Proximity_TOTAL DISTANCE (FEET),Fairway_Proximity_RELATIVE TO PAR
187,T186,T185,J.J. Spaun,68,"34' 11""",594,20734.917,-36.00
188,T186,T180,Matt Wallace,31,"34' 11""",261,9119.583,-15.00
189,190,184,Aaron Baddeley,51,"35' 0""",465,16278.083,-55.00
190,191,187,Hunter Mahan,45,"35' 3""",438,15448.75,-25.00
191,192,189,Martin Trainer,51,"35' 5""",449,15903.75,-7.00
192,193,T198,Brandt Snedeker,68,"35' 6""",602,21367.833,-71.00
193,T194,T196,Dominic Bozzelli,53,"35' 7""",404,14368.0,-34.00
194,T194,T190,Beau Hossler,66,"35' 7""",630,22391.667,-35.00
195,T194,194,Curtis Luck,51,"35' 7""",386,13721.5,-22.00
196,T194,T190,Patrick Reed,53,"35' 7""",444,15800.5,-33.00
197,198,T198,Bill Haas,58,"35' 8""",588,20973.0,-19.00
198,T199,195,Rafa Cabrera Bello,57,"35' 9""",477,17037.5,-33.00
199,T199,203,Harris English,72,"35' 9""",728,26054.083,-36.00
200,T201,T196,John Senden,39,"35' 10""",317,11350.167,-8.00
201,T201,T198,Johnson Wagner,45,"35' 10""",436,15632.333,-31.00
202,T203,205,John Chin,38,"35' 11""",267,9581.417,-8.00
203,T203,204,Alex Noren,49,"35' 11""",416,14950.917,-13.00
204,T205,T201,Rod Pampling,40,"36' 0""",346,12468.5,E
205,T205,206,Chris Thompson,34,"36' 0""",255,9178.583,-6.00
206,207,T201,Charl Schwartzel,34,"36' 1""",163,5883.4169999999995,-2.00
207,208,999,Martin Piller,30,"36' 8""",218,7998.9169999999995,-10.00
208,209,207,Justin Harding,31,"40' 6""",175,7087.5,-5.00
