,Approach_225-250_yards_RTP_RANK THIS WEEK,Approach_225-250_yards_RTP_RANK LAST WEEK,Approach_225-250_yards_RTP_PLAYER NAME,Approach_225-250_yards_RTP_ROUNDS,Approach_225-250_yards_RTP_AVG RTP
75,T76,T77,Xander Schauffele,55,-.270
76,T76,74,Kevin Tway,62,-.270
77,T78,103,Mackenzie Hughes,58,-.269
78,T78,79,Brendan Steele,50,-.269
79,80,71,Sungjae Im,88,-.268
80,T81,62,Peter Uihlein,65,-.267
81,T81,999,Tyrone Van Aswegen,30,-.267
82,T81,T84,Richy Werenski,63,-.267
83,84,64,Chris Stroud,54,-.259
84,85,83,Chez Reavie,67,-.257
85,86,T95,Scott Stallings,63,-.256
86,T87,T84,Jason Day,45,-.250
87,T87,T77,Adam Hadwin,66,-.250
88,T87,T84,James Hahn,34,-.250
89,T87,T95,Scott Piercy,70,-.250
90,T87,82,Martin Trainer,51,-.250
91,92,89,Kevin Kisner,65,-.244
92,93,90,Emiliano Grillo,65,-.243
93,T94,T91,Hudson Swafford,59,-.240
94,T94,T91,Johnson Wagner,45,-.240
95,T96,T93,Grayson Murray,36,-.238
96,T96,181,Wes Roach,45,-.238
97,T98,T97,Luke List,52,-.235
98,T98,T97,C.T. Pan,64,-.235
99,T98,T65,Sam Saunders,53,-.235
100,T101,T105,Daniel Berger,48,-.233
101,T101,T161,Hank Lebioda,55,-.233
102,T101,T99,Jordan Spieth,57,-.233
103,T101,T121,Jimmy Walker,61,-.233
104,T101,T99,Gary Woodland,63,-.233
105,106,101,Francesco Molinari,41,-.231
106,107,102,Adam Long,52,-.229
107,T108,T144,Roberto Castro,54,-.226
108,T108,T132,Robert Streb,60,-.226
109,110,T105,Rickie Fowler,54,-.225
110,111,T107,Branden Grace,62,-.222
111,112,109,Charles Howell III,64,-.220
112,113,104,Rory McIlroy,50,-.219
113,T114,T93,Alex Prugh,54,-.217
114,T114,111,Rory Sabbatini,71,-.217
115,T116,T107,Tom Hoge,70,-.214
116,T116,T112,Michael Kim,51,-.214
117,T116,T144,Martin Laird,60,-.214
118,T116,T112,Brady Schnell,38,-.214
119,120,110,Russell Henley,56,-.212
120,121,114,Russell Knox,65,-.209
121,122,115,Marc Leishman,52,-.207
122,123,116,Sung Kang,67,-.205
123,T124,T117,Alex Cejka,41,-.200
124,T124,T144,Tyler Duncan,66,-.200
125,T124,T117,Ryan Moore,54,-.200
126,T124,T117,Andrew Putnam,57,-.200
127,T124,T117,Jhonattan Vegas,60,-.200
128,129,T121,Martin Kaymer,38,-.192
129,130,148,Anders Albertson,48,-.190
130,T131,T155,John Chin,38,-.188
131,T131,125,Kyle Jones,49,-.188
132,T133,T126,Cameron Champ,58,-.185
133,T133,T126,Chase Wright,53,-.185
134,T135,T129,Patrick Cantlay,49,-.182
135,T135,T129,Chesson Hadley,58,-.182
136,T135,T129,Charl Schwartzel,34,-.182
137,T138,T132,Bill Haas,58,-.179
138,T138,T126,Nate Lashley,44,-.179
139,140,170,Webb Simpson,53,-.178
140,141,T138,Brian Gay,79,-.176
141,142,124,Adam Schenk,80,-.175
142,143,137,J.T. Poston,76,-.174
143,144,T132,Sergio Garcia,39,-.172
144,T145,136,Harris English,72,-.163
145,T145,141,Jason Kokrak,68,-.163
146,147,T138,Harold Varner III,62,-.162
147,148,T158,Julián Etulain,55,-.160
148,149,T138,Lucas Bjerregaard,37,-.158
149,150,T142,Matt Jones,67,-.156
150,T151,T152,Dylan Frittelli,55,-.152
151,T151,147,Brian Stuard,76,-.152
152,153,154,Henrik Stenson,46,-.149
153,154,149,Max Homa,61,-.148
154,155,T142,Kelly Kraft,67,-.147
155,T156,T150,Charley Hoffman,58,-.143
156,T156,T150,Shawn Stefani,57,-.143
157,T156,T121,Danny Willett,47,-.143
158,159,T152,Brice Garnett,63,-.138
159,160,171,Seth Reeves,52,-.136
160,161,T155,Matthew Fitzpatrick,42,-.133
161,162,T176,Scott Langley,60,-.129
162,T163,T179,Jonas Blixt,66,-.125
163,T163,T158,Beau Hossler,66,-.125
164,165,163,Abraham Ancer,69,-.119
165,166,164,Kyle Stanley,53,-.118
166,T167,T158,Dominic Bozzelli,53,-.115
167,T167,165,Tyrrell Hatton,46,-.115
168,T167,T172,Peter Malnati,64,-.115
169,170,T179,Graeme McDowell,61,-.114
170,T171,T191,Cameron Tringale,52,-.111
171,T171,178,Aaron Wise,52,-.111
172,173,166,Kyoung-Hoon Lee,72,-.107
173,T174,T167,Louis Oosthuizen,43,-.105
174,T174,135,José de Jesús Rodríguez,51,-.105
175,T174,T167,Tiger Woods,31,-.105
176,177,169,Rafa Cabrera Bello,57,-.103
177,178,186,Sebastián Muñoz,58,-.100
178,179,T191,Joey Garber,44,-.095
179,T180,T172,Billy Horschel,73,-.091
180,T180,183,Dustin Johnson,47,-.091
181,T180,157,Ryan Palmer,56,-.091
182,183,174,Joaquin Niemann,68,-.083
183,184,184,Jim Knous,55,-.080
184,185,T161,Roger Sloan,62,-.069
185,186,T191,Curtis Luck,51,-.067
186,187,T187,J.J. Spaun,68,-.065
187,188,T202,Rod Pampling,40,-.059
188,189,182,Vaughn Taylor,69,-.054
189,190,185,Cameron Smith,55,-.042
190,191,T187,"Ted Potter, Jr.",56,-.034
191,192,189,Ryan Armour,66,-.033
192,193,190,Kramer Hickok,59,-.031
193,T194,T176,Ben Crane,41,E
194,T194,198,J.J. Henry,42,E
195,T194,175,Josh Teater,47,E
196,T197,T194,Stewart Cink,33,+.067
197,T197,T194,Pat Perez,52,+.067
198,199,196,Justin Harding,31,+.071
199,200,197,Freddie Jacobson,37,+.083
200,201,199,D.A. Points,33,+.091
201,T202,T200,Bronson Burgoon,37,+.100
202,T202,T200,Cameron Davis,54,+.100
203,204,999,Shane Lowry,30,+.118
204,205,T202,Satoshi Kodaira,51,+.167
205,206,204,John Senden,39,+.176
206,207,205,John Huh,35,+.190
207,208,206,David Hearn,41,+.300
208,209,207,Chris Thompson,34,+.313
