,Approaches__200_yards-Rgh_RTP_RANK THIS WEEK,Approaches__200_yards-Rgh_RTP_RANK LAST WEEK,Approaches__200_yards-Rgh_RTP_PLAYER NAME,Approaches__200_yards-Rgh_RTP_ROUNDS,Approaches__200_yards-Rgh_RTP_AVG RTP
131,T124,T115,Jim Furyk,53,E
132,T124,T115,Emiliano Grillo,65,E
133,T124,T115,James Hahn,34,E
134,T124,T115,Tyrrell Hatton,46,E
135,T124,167,Jim Knous,55,E
136,T124,T115,Francesco Molinari,41,E
137,T124,T115,Kevin Na,54,E
138,T124,T115,Louis Oosthuizen,43,E
139,T124,T115,C.T. Pan,64,E
140,T124,T115,Brady Schnell,38,E
141,T124,T115,Chris Stroud,54,E
142,T124,T185,Chris Thompson,34,E
143,144,T153,Stephan Jaeger,59,+.021
144,145,T150,Kelly Kraft,67,+.028
145,146,140,Anirban Lahiri,54,+.031
146,147,141,Vaughn Taylor,69,+.036
147,T148,T142,Kevin Kisner,65,+.038
148,T148,T142,Ryan Moore,54,+.038
149,T150,T144,Satoshi Kodaira,51,+.040
150,T150,T144,Nick Watney,67,+.040
151,152,T115,Hank Lebioda,55,+.042
152,153,T165,Johnson Wagner,45,+.045
153,T154,T146,Adam Long,52,+.050
154,T154,T146,Alex Prugh,54,+.050
155,156,T148,Andrew Landry,56,+.053
156,157,T150,David Hearn,41,+.059
157,T158,T153,Pat Perez,52,+.067
158,T158,T153,Kyle Stanley,53,+.067
159,160,182,Brian Harman,67,+.074
160,T161,T158,Roberto Castro,54,+.077
161,T161,157,Matt Wallace,31,+.077
162,T163,T150,Bill Haas,58,+.083
163,T163,T158,Michael Kim,51,+.083
164,T163,T158,Seamus Power,58,+.083
165,166,161,Scott Piercy,70,+.086
166,167,162,Kevin Streelman,63,+.087
167,168,T163,Sam Saunders,53,+.091
168,T169,T165,Jason Day,45,+.095
169,T169,178,Whee Kim,57,+.095
170,T171,T168,Brice Garnett,63,+.100
171,T171,T168,Martin Kaymer,38,+.100
172,T171,T168,Brian Stuard,76,+.100
173,174,T163,Peter Uihlein,65,+.114
174,T175,172,John Huh,35,+.118
175,T175,T153,Nate Lashley,44,+.118
176,177,174,Kiradech Aphibarnrat,49,+.130
177,T178,T148,Kramer Hickok,59,+.136
178,T178,193,Alex Noren,49,+.136
179,T178,175,Chez Reavie,67,+.136
180,181,187,Cody Gribble,52,+.138
181,182,177,Scott Langley,60,+.143
182,183,179,Shawn Stefani,57,+.154
183,T184,T180,Jason Dufner,56,+.158
184,T184,T180,Tiger Woods,31,+.158
185,T186,T183,Alex Cejka,41,+.167
186,T186,T183,Billy Horschel,73,+.167
187,188,173,Peter Malnati,64,+.171
188,189,T185,Cameron Smith,55,+.182
189,T190,176,Brian Gay,79,+.200
190,T190,188,Zach Johnson,50,+.200
191,192,190,Anders Albertson,48,+.208
192,193,189,Beau Hossler,66,+.211
193,194,191,D.A. Points,33,+.222
194,195,192,Ben Silverman,54,+.235
195,196,194,Michael Thompson,56,+.269
196,197,T195,Haotong Li,32,+.286
197,198,197,Freddie Jacobson,37,+.292
198,T199,202,John Chin,38,+.300
199,T199,200,Curtis Luck,51,+.300
200,201,198,Jordan Spieth,57,+.303
201,202,199,Russell Henley,56,+.308
202,203,204,Kyle Jones,49,+.316
203,204,201,Ryan Armour,66,+.333
204,205,203,"Ted Potter, Jr.",56,+.385
205,T206,205,Ryan Blaum,67,+.438
206,T206,T195,Rod Pampling,40,+.438
207,208,206,Henrik Stenson,46,+.500
208,209,207,Jim Herman,37,+.769
