,Average_Approach_Distance_-_Bogey_or_Worse_RANK THIS WEEK,Average_Approach_Distance_-_Bogey_or_Worse_RANK LAST WEEK,Average_Approach_Distance_-_Bogey_or_Worse_PLAYER NAME,Average_Approach_Distance_-_Bogey_or_Worse_ROUNDS,Average_Approach_Distance_-_Bogey_or_Worse_AVG (YARDS),Average_Approach_Distance_-_Bogey_or_Worse_TOTAL DISTANCE (INCHES),Average_Approach_Distance_-_Bogey_or_Worse_NUMBER OF APPROACH SHOTS
196,T197,194,Rafa Cabrera Bello,57,172.0,65034100.0,105
197,T197,193,Alex Cejka,41,172.0,53872900.0,87
198,199,199,Scott Langley,60,172.3,93636100.0,151
199,200,195,Denny McCarthy,63,172.7,73974900.0,119
200,201,198,Jim Herman,37,173.3,58021100.0,93
201,202,200,Kevin Na,54,173.8,58804300.0,94
202,203,201,Emiliano Grillo,65,174.2,79657300.0,127
203,204,202,Freddie Jacobson,37,174.9,58565500.0,93
204,205,203,Brian Stuard,76,175.5,83408400.0,132
205,206,T204,Henrik Stenson,46,175.8,54414500.0,86
206,207,T204,Sergio Garcia,39,176.5,47650200.0,75
207,208,206,Louis Oosthuizen,43,176.7,48990900.0,77
208,209,207,Paul Casey,51,180.4,52615200.0,81
