,Average_Approach_Distance_-_Birdie_or_Better_RANK THIS WEEK,Average_Approach_Distance_-_Birdie_or_Better_RANK LAST WEEK,Average_Approach_Distance_-_Birdie_or_Better_PLAYER NAME,Average_Approach_Distance_-_Birdie_or_Better_ROUNDS,Average_Approach_Distance_-_Birdie_or_Better_AVG (YARDS),Average_Approach_Distance_-_Birdie_or_Better_TOTAL DISTANCE (INCHES),Average_Approach_Distance_-_Birdie_or_Better_NUMBER OF APPROACH SHOTS
194,195,188,Lucas Bjerregaard,37,193.7,49500200.0,71
195,T196,T192,Paul Casey,51,194.3,84645500.0,121
196,T196,T192,Si Woo Kim,65,194.3,114725900.0,164
197,198,200,Henrik Stenson,46,194.4,79088100.0,113
198,199,T194,Gary Woodland,63,194.5,135825200.0,194
199,200,196,Louis Oosthuizen,43,195.0,56146600.0,80
200,201,197,Tiger Woods,31,195.1,67431000.0,96
201,202,T198,Tony Finau,61,195.3,108270100.0,154
202,203,201,Xander Schauffele,55,196.6,99785700.0,141
203,204,203,Tyrrell Hatton,46,198.2,78503500.0,110
204,205,202,Aaron Wise,52,198.4,112148000.0,157
205,T206,205,Brooks Koepka,49,198.5,95743100.0,134
206,T206,204,Rory McIlroy,50,198.5,125031100.0,175
207,208,206,Byeong Hun An,54,201.1,111474300.0,154
208,209,207,Tommy Fleetwood,43,208.1,68173900.0,91
