,Approaches_125-150_yards-Rgh_RTP_RANK THIS WEEK,Approaches_125-150_yards-Rgh_RTP_RANK LAST WEEK,Approaches_125-150_yards-Rgh_RTP_PLAYER NAME,Approaches_125-150_yards-Rgh_RTP_ROUNDS,Approaches_125-150_yards-Rgh_RTP_AVG RTP
133,134,T140,Ollie Schniederjans,63,+.163
134,T135,T127,Ernie Els,43,+.167
135,T135,T127,C.T. Pan,64,+.167
136,T135,T127,Justin Thomas,49,+.167
137,138,T147,Alex Prugh,54,+.171
138,T139,T130,Luke List,52,+.172
139,T139,T130,Vaughn Taylor,69,+.172
140,141,T132,Andrew Landry,56,+.174
141,T142,T116,Daniel Berger,48,+.176
142,T142,T134,Rafa Cabrera Bello,57,+.176
143,T142,T134,Jason Kokrak,68,+.176
144,T142,161,Kelly Kraft,67,+.176
145,146,T176,Nick Taylor,70,+.178
146,147,T138,Billy Horschel,73,+.179
147,T148,T153,Adam Hadwin,66,+.182
148,T148,T140,Max Homa,61,+.182
149,T148,T140,Patton Kizzire,58,+.182
150,151,T145,Beau Hossler,66,+.185
151,152,T147,Kevin Streelman,63,+.188
152,153,T153,Jimmy Walker,61,+.190
153,154,152,Aaron Baddeley,51,+.194
154,T155,T153,John Huh,35,+.200
155,T155,T153,Martin Kaymer,38,+.200
156,T155,173,Hank Lebioda,55,+.200
157,T155,T153,Louis Oosthuizen,43,+.200
158,T155,T184,Wes Roach,45,+.200
159,160,160,J.T. Poston,76,+.205
160,161,T132,Graeme McDowell,61,+.207
161,T162,T162,Hunter Mahan,45,+.208
162,T162,137,Adam Schenk,80,+.208
163,164,T164,Chez Reavie,67,+.211
164,165,166,Cameron Champ,58,+.212
165,166,T170,Trey Mullinax,67,+.213
166,T167,124,Dominic Bozzelli,53,+.214
167,T167,T93,Fabián Gómez,44,+.214
168,T169,168,Sung Kang,67,+.216
169,T169,T153,Peter Malnati,64,+.216
170,T171,T162,Dylan Frittelli,55,+.222
171,T171,T170,Grayson Murray,36,+.222
172,T173,T176,Austin Cook,50,+.227
173,T173,T199,Sergio Garcia,39,+.227
174,T173,T149,Johnson Wagner,45,+.227
175,176,172,Kiradech Aphibarnrat,49,+.231
176,177,175,Nick Watney,67,+.233
177,178,T134,Cameron Davis,54,+.237
178,179,T164,Bubba Watson,47,+.238
179,180,174,Jason Dufner,56,+.240
180,T181,T176,Ben Crane,41,+.250
181,T181,T176,Matthew Fitzpatrick,42,+.250
182,T181,T176,Justin Harding,31,+.250
183,184,T181,Seamus Power,58,+.256
184,T185,T184,Kramer Hickok,59,+.261
185,T185,T153,Chase Wright,53,+.261
186,187,T181,Xander Schauffele,55,+.263
187,188,183,Branden Grace,62,+.267
188,189,190,Sungjae Im,88,+.280
189,190,T184,D.A. Points,33,+.286
190,T191,T188,Troy Merritt,42,+.294
191,T191,T188,Justin Rose,42,+.294
192,T193,T191,Charles Howell III,64,+.313
193,T193,T191,Francesco Molinari,41,+.313
194,T195,T201,Brooks Koepka,49,+.333
195,T195,193,Charl Schwartzel,34,+.333
196,T195,T199,Martin Trainer,51,+.333
197,198,187,Julián Etulain,55,+.343
198,199,194,Scott Stallings,63,+.344
199,200,195,Tom Hoge,70,+.345
200,T201,T196,Michael Kim,51,+.348
201,T201,T196,Kyle Stanley,53,+.348
202,203,198,Aaron Wise,52,+.364
203,204,T201,Sam Ryder,52,+.375
204,205,204,Scott Brown,66,+.400
205,206,203,Pat Perez,52,+.417
206,207,205,Shawn Stefani,57,+.480
207,T208,T206,Paul Casey,51,+.750
208,T208,T206,Haotong Li,32,+.750
