,GIR_Percentage_-__75_yards_RANK THIS WEEK,GIR_Percentage_-__75_yards_RANK LAST WEEK,GIR_Percentage_-__75_yards_PLAYER NAME,GIR_Percentage_-__75_yards_ROUNDS,GIR_Percentage_-__75_yards_%,GIR_Percentage_-__75_yards_GREENS HIT,GIR_Percentage_-__75_yards_TOTAL HOLES,GIR_Percentage_-__75_yards_RELATIVE TO PAR
69,70,72,Charley Hoffman,58,89.47,68,76,-0.63
70,71,T73,Rickie Fowler,54,89.43,110,123,-0.74
71,72,75,Patrick Rodgers,44,89.42,93,104,-0.72
72,73,94,Stephan Jaeger,59,89.38,101,113,-0.57
73,T74,82,Scott Stallings,63,89.36,126,141,-0.64
74,T74,86,Adam Svensson,51,89.36,84,94,-0.64
75,76,110,Wes Roach,45,89.33,67,75,-0.61
76,77,77,Brendan Steele,50,89.32,92,103,-0.57
77,78,78,Jonas Blixt,66,89.26,108,121,-0.62
78,79,999,Martin Piller,30,89.19,33,37,-0.58
79,T80,T54,Cameron Davis,54,89.15,115,129,-0.52
80,T80,T73,Scott Piercy,70,89.15,115,129,-0.58
81,82,T102,Tyler Duncan,66,89.09,98,110,-0.58
82,83,T80,Pat Perez,52,89.06,57,64,-0.67
83,T84,T83,Matthew Fitzpatrick,42,89.04,65,73,-0.58
84,T84,T83,Luke List,52,89.04,130,146,-0.71
85,T86,79,Anders Albertson,48,88.89,80,90,-0.49
86,T86,85,Russell Knox,65,88.89,96,108,-0.56
87,T88,T111,Sangmoon Bae,42,88.71,55,62,-0.44
88,T88,T111,John Chin,38,88.71,55,62,-0.58
89,90,95,Tom Hoge,70,88.7,102,115,-0.55
90,91,T102,D.J. Trahan,33,88.52,54,61,-0.52
91,92,89,Sam Ryder,52,88.5,100,113,-0.68
92,93,90,Joel Dahmen,78,88.49,123,139,-0.61
93,94,T61,Ben Silverman,54,88.41,61,69,-0.64
94,95,T91,Martin Kaymer,38,88.37,76,86,-0.7
95,96,93,Hideki Matsuyama,59,88.32,121,137,-0.61
96,97,98,Byeong Hun An,54,88.15,119,135,-0.63
97,98,99,Tiger Woods,31,88.14,52,59,-0.69
98,99,101,Rory McIlroy,50,88.13,141,160,-0.69
99,100,100,C.T. Pan,64,88.12,89,101,-0.56
100,101,87,Trey Mullinax,67,88.11,163,185,-0.58
101,102,104,Charles Howell III,64,87.97,117,133,-0.56
102,103,105,Paul Casey,51,87.96,95,108,-0.73
103,104,106,Sung Kang,67,87.92,131,149,-0.63
104,105,97,Wyndham Clark,61,87.9,138,157,-0.67
105,106,88,Robert Streb,60,87.85,94,107,-0.56
106,T107,107,Kiradech Aphibarnrat,49,87.8,72,82,-0.6
107,T107,T61,David Hearn,41,87.8,36,41,-0.47
108,109,125,Corey Conners,62,87.76,86,98,-0.57
109,110,108,Billy Horschel,73,87.72,100,114,-0.48
110,111,T80,Jonathan Byrd,43,87.67,64,73,-0.5
111,112,118,Shawn Stefani,57,87.64,78,89,-0.56
112,113,96,Danny Willett,47,87.62,92,105,-0.55
113,T114,T111,Charl Schwartzel,34,87.5,28,32,-0.64
114,T114,T111,Brian Stuard,76,87.5,70,80,-0.51
115,116,119,Grayson Murray,36,87.34,69,79,-0.7
116,T117,120,John Huh,35,87.32,62,71,-0.45
117,T117,109,Dustin Johnson,47,87.32,124,142,-0.6
118,119,121,Kevin Streelman,63,87.31,117,134,-0.62
119,120,141,Scott Brown,66,87.27,96,110,-0.63
120,121,T111,Ben Crane,41,87.23,41,47,-0.56
121,T122,T129,Curtis Luck,51,87.18,68,78,-0.51
122,T122,126,Peter Uihlein,65,87.18,102,117,-0.63
123,124,123,Sam Burns,66,87.16,129,148,-0.68
124,125,124,Justin Rose,42,87.01,67,77,-0.63
125,126,134,Hudson Swafford,59,86.99,107,123,-0.7
126,127,117,Kevin Tway,62,86.93,133,153,-0.56
127,128,128,Martin Trainer,51,86.9,126,145,-0.57
128,T129,127,Emiliano Grillo,65,86.87,86,99,-0.6
129,T129,T111,Henrik Stenson,46,86.87,86,99,-0.56
130,131,T129,Kyle Stanley,53,86.84,66,76,-0.62
131,132,131,Tommy Fleetwood,43,86.81,79,91,-0.68
132,133,132,"Ted Potter, Jr.",56,86.79,92,106,-0.4
133,T134,167,Mackenzie Hughes,58,86.54,90,104,-0.58
134,T134,136,Andrew Landry,56,86.54,90,104,-0.5
135,T136,148,Joey Garber,44,86.44,51,59,-0.49
136,T136,138,Louis Oosthuizen,43,86.44,51,59,-0.75
137,138,T163,Julián Etulain,55,86.36,76,88,-0.59
138,139,135,Matt Every,38,86.3,63,73,-0.67
139,T140,139,Brandon Harkins,67,86.21,125,145,-0.63
140,T140,140,Ian Poulter,49,86.21,75,87,-0.72
141,142,158,Ryan Armour,66,86.15,56,65,-0.48
142,143,133,Jim Knous,55,86.11,93,108,-0.54
143,144,142,Cameron Champ,58,86.1,161,187,-0.61
144,145,144,Andrew Putnam,57,86.08,68,79,-0.49
145,146,146,Ryan Blaum,67,86.03,117,136,-0.62
146,147,147,Troy Merritt,42,86.02,80,93,-0.79
147,148,149,Bronson Burgoon,37,85.96,49,57,-0.61
148,149,157,Carlos Ortiz,60,85.93,116,135,-0.66
149,150,T155,Nick Taylor,70,85.9,134,156,-0.65
150,T151,122,Alex Prugh,54,85.87,79,92,-0.56
151,T151,162,Chase Wright,53,85.87,79,92,-0.66
152,153,151,Michael Thompson,56,85.84,97,113,-0.61
153,T154,143,Seamus Power,58,85.83,103,120,-0.65
154,T154,152,Jon Rahm,51,85.83,109,127,-0.65
155,T156,T153,Marc Leishman,52,85.71,96,112,-0.65
156,T156,T153,Francesco Molinari,41,85.71,66,77,-0.47
157,158,150,Seth Reeves,52,85.48,106,124,-0.63
158,T159,T160,Rafa Cabrera Bello,57,85.44,88,103,-0.69
159,T159,T160,J.T. Poston,76,85.44,135,158,-0.58
160,T161,T173,Keegan Bradley,65,85.37,105,123,-0.61
161,T161,T163,Chesson Hadley,58,85.37,70,82,-0.61
162,T161,T163,Chez Reavie,67,85.37,70,82,-0.66
163,164,172,Brian Harman,67,85.34,99,116,-0.64
164,165,T155,Harris English,72,85.16,132,155,-0.69
165,166,137,Roger Sloan,62,85.15,86,101,-0.65
166,167,168,Si Woo Kim,65,85.04,108,127,-0.7
167,168,188,Roberto Castro,54,84.88,73,86,-0.41
168,169,T183,Jimmy Walker,61,84.82,95,112,-0.64
169,170,177,Ollie Schniederjans,63,84.77,128,151,-0.66
170,171,180,Alex Cejka,41,84.75,50,59,-0.56
171,T172,176,Lucas Bjerregaard,37,84.72,61,72,-0.52
172,T172,169,Tony Finau,61,84.72,122,144,-0.62
173,174,170,Branden Grace,62,84.68,94,111,-0.66
174,175,171,Jason Kokrak,68,84.67,127,150,-0.6
175,176,175,Joaquin Niemann,68,84.62,99,117,-0.55
176,177,T173,Freddie Jacobson,37,84.48,49,58,-0.55
177,178,159,J.J. Spaun,68,84.43,103,122,-0.55
178,179,182,Bill Haas,58,84.3,102,121,-0.69
179,180,178,Daniel Berger,48,83.93,94,112,-0.63
180,181,166,Sepp Straka,48,83.84,83,99,-0.58
181,182,181,Cameron Smith,55,83.75,67,80,-0.6
182,183,179,Russell Henley,56,83.7,77,92,-0.58
183,184,145,Cody Gribble,52,83.51,81,97,-0.78
184,185,T183,Phil Mickelson,41,83.5,86,103,-0.52
185,186,185,Sam Saunders,53,83.46,111,133,-0.59
186,T187,187,J.B. Holmes,54,83.33,75,90,-0.49
187,T187,999,Shane Lowry,30,83.33,45,54,-0.58
188,T187,190,Adam Schenk,80,83.33,120,144,-0.57
189,190,186,Aaron Baddeley,51,83.16,79,95,-0.61
190,191,189,Adam Long,52,82.98,78,94,-0.68
191,192,192,Matt Wallace,31,82.81,53,64,-0.72
192,193,193,Dominic Bozzelli,53,82.76,72,87,-0.67
193,194,191,Zach Johnson,50,82.5,66,80,-0.65
194,195,197,Kyle Jones,49,82.43,61,74,-0.66
195,196,194,Satoshi Kodaira,51,82.22,74,90,-0.5
196,T197,T195,Kevin Kisner,65,81.82,81,99,-0.59
197,T197,T195,D.A. Points,33,81.82,27,33,-0.52
198,199,202,Brooks Koepka,49,81.75,103,126,-0.68
199,200,198,Hunter Mahan,45,81.61,71,87,-0.59
200,201,199,Justin Harding,31,81.48,22,27,-0.68
201,202,201,Beau Hossler,66,81.12,116,143,-0.58
202,203,200,Chris Stroud,54,81.05,77,95,-0.51
203,204,204,Josh Teater,47,80.72,67,83,-0.51
204,205,203,Anirban Lahiri,54,79.75,63,79,-0.65
205,206,207,Chris Thompson,34,79.69,51,64,-0.53
206,207,206,Jim Herman,37,78.57,44,56,-0.45
207,208,205,J.J. Henry,42,78.43,40,51,-0.45
208,209,999,Tyrone Van Aswegen,30,77.78,28,36,-0.57
