,Average_Distance_after_Going_for_it_Shot_RANK THIS WEEK,Average_Distance_after_Going_for_it_Shot_RANK LAST WEEK,Average_Distance_after_Going_for_it_Shot_PLAYER NAME,Average_Distance_after_Going_for_it_Shot_ROUNDS,Average_Distance_after_Going_for_it_Shot_AVG,Average_Distance_after_Going_for_it_Shot_TOTAL DIST AFTER GFG SHOT,Average_Distance_after_Going_for_it_Shot_TOTAL GFG SHOTS
180,T180,T177,Kelly Kraft,67,28.1,90124.0,89
181,182,176,J.J. Henry,42,28.2,44591.0,44
182,183,180,Stephan Jaeger,59,28.3,96813.0,95
183,T184,T187,Austin Cook,50,28.4,75682.0,74
184,T184,T181,Chris Kirk,47,28.4,75688.0,74
185,T184,999,Martin Piller,30,28.4,31726.0,31
186,T187,T184,Ryan Blaum,67,28.7,127036.0,123
187,T187,T187,Tom Hoge,70,28.7,109559.0,106
188,T187,T184,Kyoung-Hoon Lee,72,28.7,94003.0,91
189,T187,T184,Vaughn Taylor,69,28.7,89759.0,87
190,T191,194,Ben Crane,41,28.8,33184.0,32
191,T191,T187,Pat Perez,52,28.8,50822.0,49
192,193,T190,Matt Wallace,31,29.0,59530.0,57
193,194,192,Freddie Jacobson,37,29.1,41914.0,40
194,195,193,Bronson Burgoon,37,29.2,53587.0,51
195,196,196,Chris Stroud,54,29.8,76089.0,71
196,197,195,Chris Thompson,34,30.0,52963.0,49
197,T198,198,Tyler Duncan,66,30.3,104722.0,96
198,T198,197,José de Jesús Rodríguez,51,30.3,75252.0,69
199,200,999,Shane Lowry,30,30.4,50328.0,46
200,201,199,Justin Harding,31,30.9,23379.0,21
201,202,202,Rod Pampling,40,31.0,63678.0,57
202,203,206,Joey Garber,44,31.2,59604.0,53
203,204,200,Louis Oosthuizen,43,31.9,56233.0,49
204,205,201,Charl Schwartzel,34,32.3,32515.0,28
205,T206,203,Aaron Baddeley,51,32.9,92306.0,78
206,T206,204,Alex Cejka,41,32.9,54555.0,46
207,208,205,Kiradech Aphibarnrat,49,33.3,91148.0,76
208,209,207,Stewart Cink,33,34.2,50433.0,41
