,Approaches_from_inside_100_yards_RANK THIS WEEK,Approaches_from_inside_100_yards_RANK LAST WEEK,Approaches_from_inside_100_yards_PLAYER NAME,Approaches_from_inside_100_yards_ROUNDS,Approaches_from_inside_100_yards_AVG,Approaches_from_inside_100_yards_TOTAL DISTANCE (FEET),Approaches_from_inside_100_yards_# OF ATTEMPTS,Approaches_from_inside_100_yards_RELATIVE TO PAR
146,147,T143,Ryan Blaum,67,"18' 5""",865.9169999999999,47,-0.21
147,T148,T152,Tom Hoge,70,"18' 6""",665.1669999999999,36,E
148,T148,T154,Mackenzie Hughes,58,"18' 6""",760.0,41,-0.15
149,T148,147,Jon Rahm,51,"18' 6""",905.25,49,-0.22
150,T151,T130,Sangmoon Bae,42,"18' 7""",558.3330000000001,30,-0.13
151,T151,T100,David Hearn,41,"18' 7""",371.25,20,+0.20
152,T151,T157,Rory McIlroy,50,"18' 7""",723.1669999999999,39,-0.21
153,T151,T148,Tiger Woods,31,"18' 7""",335.083,18,+0.06
154,155,T150,Martin Kaymer,38,"18' 8""",598.5830000000001,32,-0.16
155,156,T143,Ryan Palmer,56,"18' 9""",711.1669999999999,38,-0.18
156,T157,T154,Ryan Moore,54,"18' 10""",753.5830000000001,40,-0.20
157,T157,T157,Chase Wright,53,"18' 10""",752.5,40,-0.15
158,T159,T166,Seth Reeves,52,"18' 11""",736.8330000000001,39,-0.05
159,T159,T162,Brady Schnell,38,"18' 11""",605.1669999999999,32,-0.13
160,T159,156,J.J. Spaun,68,"18' 11""",814.3330000000001,43,-0.23
161,T159,204,D.J. Trahan,33,"18' 11""",170.5,9,E
162,163,T162,Graeme McDowell,61,"19' 0""",740.1669999999999,39,-0.15
163,164,T177,J.B. Holmes,54,"19' 1""",648.25,34,-0.21
164,165,T166,Adam Schenk,80,"19' 2""",1111.417,58,-0.05
165,T166,T157,Kiradech Aphibarnrat,49,"19' 3""",634.75,33,-0.09
166,T166,T157,Kyoung-Hoon Lee,72,"19' 3""",867.6669999999999,45,+0.13
167,T166,T166,Adam Svensson,51,"19' 3""",867.8330000000001,45,-0.24
168,169,184,Kelly Kraft,67,"19' 4""",1004.5,52,-0.02
169,T170,T173,Dominic Bozzelli,53,"19' 5""",660.1669999999999,34,-0.18
170,T170,T157,Sepp Straka,48,"19' 5""",739.3330000000001,38,-0.05
171,172,T164,Hunter Mahan,45,"19' 6""",564.9169999999999,29,+0.07
172,173,T166,James Hahn,34,"19' 7""",429.917,22,+0.14
173,T174,T164,Lucas Bjerregaard,37,"19' 8""",472.0,24,-0.04
174,T174,T170,Satoshi Kodaira,51,"19' 8""",866.9169999999999,44,+0.07
175,T174,T170,Andrew Landry,56,"19' 8""",1160.167,59,-0.12
176,177,T173,Joel Dahmen,78,"19' 9""",1048.417,53,-0.08
177,178,T175,Michael Kim,51,"19' 10""",694.5,35,-0.03
178,T179,T177,Anirban Lahiri,54,"19' 11""",878.0830000000001,44,-0.02
179,T179,999,Martin Piller,30,"19' 11""",498.917,25,E
180,T181,T179,Tommy Fleetwood,43,"20' 0""",519.0830000000001,26,-0.15
181,T181,T179,Matt Jones,67,"20' 0""",539.75,27,-0.07
182,T183,T185,Brian Harman,67,"20' 1""",1044.0,52,-0.02
183,T183,181,Kyle Stanley,53,"20' 1""",501.25,25,+0.32
184,185,182,Ernie Els,43,"20' 2""",565.5830000000001,28,+0.04
185,186,183,D.A. Points,33,"20' 3""",404.583,20,-0.20
186,187,T185,Russell Henley,56,"20' 5""",899.5,44,-0.07
187,T188,189,Fabián Gómez,44,"20' 6""",757.3330000000001,37,-0.03
188,T188,187,Patrick Reed,53,"20' 6""",738.5,36,E
189,190,188,Abraham Ancer,69,"20' 7""",1421.3329999999999,69,+0.06
190,T191,T130,Joey Garber,44,"20' 10""",458.333,22,E
191,T191,194,Stephan Jaeger,59,"20' 10""",666.4169999999999,32,-0.06
192,T191,191,Carlos Ortiz,60,"20' 10""",1022.0830000000001,49,-0.12
193,T191,193,Nick Taylor,70,"20' 10""",1397.6670000000001,67,-0.13
194,T191,T175,Johnson Wagner,45,"20' 10""",479.083,23,-0.17
195,196,197,Wes Roach,45,"20' 11""",481.333,23,-0.04
196,197,T195,Cody Gribble,52,"21' 0""",482.667,23,-0.13
197,198,203,Jonas Blixt,66,"21' 1""",992.0830000000001,47,+0.02
198,199,192,Kevin Kisner,65,"21' 4""",896.1669999999999,42,-0.12
199,200,205,Alex Noren,49,"21' 5""",513.1669999999999,24,E
200,T201,200,Anders Albertson,48,"21' 10""",809.3330000000001,37,+0.05
201,T201,T198,Patton Kizzire,58,"21' 10""",784.5,36,-0.03
202,T201,T198,Marc Leishman,52,"21' 10""",872.0830000000001,40,+0.15
203,T201,190,Henrik Stenson,46,"21' 10""",612.3330000000001,28,-0.04
204,205,201,Bubba Watson,47,"22' 2""",840.8330000000001,38,E
205,206,T195,Harris English,72,"22' 6""",833.9169999999999,37,+0.08
206,207,202,Grayson Murray,36,"22' 8""",521.5830000000001,23,+0.09
207,208,206,Tyler Duncan,66,"24' 4""",1287.5,53,+0.02
208,209,207,Haotong Li,32,"25' 2""",755.5830000000001,30,+0.23
