,Approaches_Left_Rough_RTP_Score_RANK THIS WEEK,Approaches_Left_Rough_RTP_Score_RANK LAST WEEK,Approaches_Left_Rough_RTP_Score_PLAYER NAME,Approaches_Left_Rough_RTP_Score_ROUNDS,Approaches_Left_Rough_RTP_Score_AVG RTP
98,T96,78,D.J. Trahan,33,+.122
99,T100,T104,Ryan Armour,66,+.123
100,T100,T102,Corey Conners,62,+.123
101,T100,101,Alex Prugh,54,+.123
102,103,100,Danny Lee,66,+.125
103,104,T116,Trey Mullinax,67,+.126
104,105,T89,Julián Etulain,55,+.128
105,106,T104,Patton Kizzire,58,+.130
106,107,121,Shawn Stefani,57,+.132
107,T108,T107,Justin Harding,31,+.133
108,T108,T107,Jordan Spieth,57,+.133
109,T110,T109,Scott Piercy,70,+.135
110,T110,T109,Sam Ryder,52,+.135
111,T110,T125,Robert Streb,60,+.135
112,113,T94,Seth Reeves,52,+.136
113,T114,T111,Kevin Kisner,65,+.138
114,T114,T111,Kyoung-Hoon Lee,72,+.138
115,116,115,Martin Kaymer,38,+.140
116,117,76,Roberto Castro,54,+.141
117,T118,T116,Tyrrell Hatton,46,+.143
118,T118,T116,Hideki Matsuyama,59,+.143
119,T118,T116,John Senden,39,+.143
120,T121,132,Peter Uihlein,65,+.146
121,T121,T140,Nick Watney,67,+.146
122,T121,130,Richy Werenski,63,+.146
123,T124,T123,Francesco Molinari,41,+.147
124,T124,T123,Michael Thompson,56,+.147
125,126,T125,Si Woo Kim,65,+.148
126,127,127,Vaughn Taylor,69,+.151
127,128,128,"Ted Potter, Jr.",56,+.152
128,T129,129,Stewart Cink,33,+.154
129,T129,T140,Wes Roach,45,+.154
130,T131,139,Jim Knous,55,+.155
131,T131,T111,Jimmy Walker,61,+.155
132,133,131,Patrick Reed,53,+.156
133,T134,133,Branden Grace,62,+.159
134,T134,138,Sam Saunders,53,+.159
135,T136,T136,Mackenzie Hughes,58,+.161
136,T136,134,John Huh,35,+.161
137,138,114,Jim Herman,37,+.162
138,139,T152,J.J. Henry,42,+.163
139,140,T136,Phil Mickelson,41,+.165
140,141,T162,Sangmoon Bae,42,+.167
141,142,T116,Keegan Bradley,65,+.169
142,143,T172,Alex Noren,49,+.170
143,144,T157,Webb Simpson,53,+.172
144,145,159,Sebastián Muñoz,58,+.174
145,146,142,Chesson Hadley,58,+.175
146,147,T152,Stephan Jaeger,59,+.176
147,148,T143,Sam Burns,66,+.177
148,149,145,Rafa Cabrera Bello,57,+.178
149,150,146,Charl Schwartzel,34,+.179
150,151,T147,Anirban Lahiri,54,+.180
151,T152,154,Martin Laird,60,+.182
152,T152,T149,Brendan Steele,50,+.182
153,154,122,Talor Gooch,37,+.185
154,155,151,Kiradech Aphibarnrat,49,+.186
155,156,135,Ben Crane,41,+.188
156,157,155,Tom Hoge,70,+.194
157,158,156,Billy Horschel,73,+.198
158,T159,T164,Fabián Gómez,44,+.200
159,T159,T157,Jason Kokrak,68,+.200
160,T159,999,Martin Piller,30,+.200
161,162,169,Brandon Harkins,67,+.204
162,T163,T160,Michael Kim,51,+.205
163,T163,T170,Graeme McDowell,61,+.205
164,165,T143,Anders Albertson,48,+.206
165,166,179,Henrik Stenson,46,+.208
166,167,T164,Beau Hossler,66,+.209
167,168,167,Jonas Blixt,66,+.211
168,169,999,Tyrone Van Aswegen,30,+.212
169,T170,T160,Daniel Berger,48,+.213
170,T170,168,Gary Woodland,63,+.213
171,172,T162,Chase Wright,53,+.215
172,173,175,Russell Henley,56,+.218
173,174,T172,Kelly Kraft,67,+.219
174,175,182,Brady Schnell,38,+.220
175,176,174,Charles Howell III,64,+.226
176,177,181,Sepp Straka,48,+.227
177,178,T164,Kramer Hickok,59,+.229
178,179,176,Jason Dufner,56,+.232
179,T180,T147,Brian Harman,67,+.233
180,T180,177,Satoshi Kodaira,51,+.233
181,182,178,Freddie Jacobson,37,+.235
182,183,180,Brice Garnett,63,+.245
183,184,183,Scott Langley,60,+.246
184,185,T170,Tyler Duncan,66,+.250
185,186,184,Adam Long,52,+.253
186,187,186,Alex Cejka,41,+.256
187,188,194,Whee Kim,57,+.259
188,189,185,D.A. Points,33,+.261
189,190,T191,Curtis Luck,51,+.264
190,191,195,Cody Gribble,52,+.267
191,192,188,Scott Stallings,63,+.268
192,193,189,Pat Perez,52,+.275
193,194,190,Kyle Stanley,53,+.279
194,195,T191,James Hahn,34,+.286
195,196,187,Joey Garber,44,+.300
196,197,196,Troy Merritt,42,+.310
197,198,193,Matt Every,38,+.318
198,199,198,Bronson Burgoon,37,+.326
199,200,197,Sergio Garcia,39,+.327
200,201,199,Haotong Li,32,+.343
201,202,201,Kyle Jones,49,+.347
202,203,202,John Chin,38,+.350
203,204,T204,Seamus Power,58,+.358
204,205,203,Ryan Blaum,67,+.374
205,206,200,Hank Lebioda,55,+.379
206,207,T204,Louis Oosthuizen,43,+.382
207,208,206,Andrew Landry,56,+.386
208,209,207,Rod Pampling,40,+.537
