,Approaches_from_125-150_yards_Rgh_RANK THIS WEEK,Approaches_from_125-150_yards_Rgh_RANK LAST WEEK,Approaches_from_125-150_yards_Rgh_PLAYER NAME,Approaches_from_125-150_yards_Rgh_ROUNDS,Approaches_from_125-150_yards_Rgh_AVG,Approaches_from_125-150_yards_Rgh_TOTAL DISTANCE (FEET),Approaches_from_125-150_yards_Rgh_# OF ATTEMPTS,Approaches_from_125-150_yards_Rgh_RELATIVE TO PAR
191,192,193,Nick Watney,67,"43' 3""",1859.4170000000001,43,+10
192,193,194,Branden Grace,62,"43' 7""",653.8330000000001,15,+4
193,194,195,Kiradech Aphibarnrat,49,"43' 10""",569.3330000000001,13,+3
194,195,T164,Daniel Berger,48,"44' 2""",750.5830000000001,17,+3
195,196,206,Wes Roach,45,"44' 4""",886.0,20,+4
196,197,T145,Joey Garber,44,"44' 6""",801.5,18,+2
197,198,189,Seamus Power,58,"45' 4""",1948.0829999999999,43,+11
198,T199,T198,Si Woo Kim,65,"45' 11""",735.0830000000001,16,+2
199,T199,T198,Troy Merritt,42,"45' 11""",780.4169999999999,17,+5
200,201,147,Whee Kim,57,"46' 6""",976.25,21,+3
201,T202,T201,Michael Kim,51,"47' 3""",1085.833,23,+8
202,T202,T201,Pat Perez,52,"47' 3""",566.5,12,+5
203,204,200,Scott Brown,66,"47' 8""",1191.75,25,+10
204,205,197,Julián Etulain,55,"48' 3""",1688.5829999999999,35,+12
205,206,205,Martin Trainer,51,"48' 6""",1018.9169999999999,21,+7
206,207,203,Haotong Li,32,"48' 9""",779.4169999999999,16,+12
207,208,204,Paul Casey,51,"50' 6""",606.1669999999999,12,+9
208,209,207,Kramer Hickok,59,"56' 2""",1291.917,23,+6
