,Approaches_from_75-100_yards_Rgh_RANK THIS WEEK,Approaches_from_75-100_yards_Rgh_RANK LAST WEEK,Approaches_from_75-100_yards_Rgh_PLAYER NAME,Approaches_from_75-100_yards_Rgh_ROUNDS,Approaches_from_75-100_yards_Rgh_AVG,Approaches_from_75-100_yards_Rgh_TOTAL DISTANCE (FEET),Approaches_from_75-100_yards_Rgh_# OF ATTEMPTS,Approaches_from_75-100_yards_Rgh_RELATIVE TO PAR
99,T99,119,Stephan Jaeger,59,"25' 6""",203.833,8,+1
100,101,94,Sebastián Muñoz,58,"25' 7""",306.91700000000003,12,+1
101,T102,T139,Martin Laird,60,"25' 10""",258.66700000000003,10,+2
102,T102,T161,Chris Thompson,34,"25' 10""",206.75,8,E
103,104,103,Chris Kirk,47,"25' 11""",129.583,5,-1
104,105,T116,Nick Watney,67,"26' 0""",181.917,7,-1
105,T106,104,Abraham Ancer,69,"26' 2""",288.0,11,-2
106,T106,T110,José de Jesús Rodríguez,51,"26' 2""",314.33299999999997,12,-4
107,T108,T135,Russell Henley,56,"26' 6""",211.75,8,+1
108,T108,106,Xander Schauffele,55,"26' 6""",212.167,8,E
109,110,T107,Jimmy Walker,61,"26' 8""",373.417,14,+1
110,T111,T113,Harris English,72,"26' 9""",267.25,10,+1
111,T111,109,Jordan Spieth,57,"26' 9""",348.0,13,-2
112,113,178,Whee Kim,57,"27' 0""",188.833,7,+1
113,T114,T125,Jonathan Byrd,43,"27' 2""",352.917,13,E
114,T114,112,Tyrrell Hatton,46,"27' 2""",190.417,7,+1
115,T114,T95,Jim Knous,55,"27' 2""",326.0,12,+1
116,T117,T113,Sam Burns,66,"27' 3""",381.25,14,-1
117,T117,T113,Billy Horschel,73,"27' 3""",272.75,10,+1
118,119,190,Henrik Stenson,46,"27' 5""",82.167,3,E
119,T120,T116,Bud Cauley,61,"27' 6""",302.33299999999997,11,+3
120,T120,T116,Marc Leishman,52,"27' 6""",165.0,6,E
121,T120,T165,Danny Willett,47,"27' 6""",495.667,18,-4
122,123,T135,Dustin Johnson,47,"27' 7""",303.33299999999997,11,E
123,124,146,Tyler Duncan,66,"27' 8""",359.167,13,+6
124,T125,121,Kramer Hickok,59,"27' 10""",194.833,7,+4
125,T125,T59,Ryan Palmer,56,"27' 10""",333.583,12,+4
126,127,T107,Sergio Garcia,39,"28' 1""",337.417,12,+2
127,128,151,Jonas Blixt,66,"28' 2""",422.083,15,-1
128,T129,102,Scott Brown,66,"28' 5""",227.167,8,+2
129,T129,T125,Tony Finau,61,"28' 5""",340.75,12,+1
130,T129,T125,Phil Mickelson,41,"28' 5""",454.417,16,-1
131,T129,T148,Harold Varner III,62,"28' 5""",284.5,10,-1
132,T133,T128,Andrew Putnam,57,"28' 6""",313.5,11,-2
133,T133,T128,Patrick Reed,53,"28' 6""",370.75,13,+2
134,T135,T130,Aaron Baddeley,51,"28' 7""",228.75,8,+2
135,T135,T130,Justin Harding,31,"28' 7""",142.833,5,-1
136,T135,T130,Brandon Harkins,67,"28' 7""",543.0,19,+2
137,T138,T110,Carlos Ortiz,60,"28' 8""",602.25,21,-2
138,T138,T142,Peter Uihlein,65,"28' 8""",516.0,18,+1
139,T138,120,Bubba Watson,47,"28' 8""",602.0830000000001,21,+1
140,T141,T133,Charles Howell III,64,"28' 9""",230.25,8,+1
141,T141,T133,Scott Piercy,70,"28' 9""",345.167,12,+4
142,143,T137,Chris Stroud,54,"29' 2""",204.0,7,E
143,144,T139,Jhonattan Vegas,60,"29' 5""",441.083,15,-1
144,145,T144,Ollie Schniederjans,63,"29' 8""",237.167,8,+2
145,146,147,Curtis Luck,51,"29' 11""",179.333,6,+2
146,T147,999,Martin Piller,30,"30' 0""",149.917,5,+1
147,T147,T142,Seth Reeves,52,"30' 0""",179.833,6,E
148,T149,T148,Cameron Champ,58,"30' 1""",812.8330000000001,27,+5
149,T149,T99,Chase Wright,53,"30' 1""",180.333,6,E
150,151,150,Patton Kizzire,58,"30' 2""",150.833,5,-1
151,152,T137,Richy Werenski,63,"30' 4""",333.667,11,+1
152,153,T139,J.J. Henry,42,"30' 5""",152.25,5,+1
153,T154,T152,Wes Roach,45,"30' 6""",182.917,6,E
154,T154,T152,Matt Wallace,31,"30' 6""",213.583,7,+2
155,156,154,Hideki Matsuyama,59,"30' 7""",213.833,7,+2
156,157,123,Zach Johnson,50,"30' 8""",214.5,7,+1
157,158,155,Rory Sabbatini,71,"30' 10""",401.083,13,-1
158,T159,156,Rickie Fowler,54,"31' 0""",247.75,8,E
159,T159,T158,Alex Prugh,54,"31' 0""",371.833,12,+1
160,161,T165,Sungjae Im,88,"31' 2""",685.5830000000001,22,+2
161,T162,164,Lucas Bjerregaard,37,"31' 5""",376.5,12,+2
162,T162,T158,Vaughn Taylor,69,"31' 5""",314.08299999999997,10,+1
163,164,160,Cameron Smith,55,"31' 7""",284.58299999999997,9,+1
164,165,T144,Sangmoon Bae,42,"31' 9""",222.417,7,+1
165,166,179,Rod Pampling,40,"31' 10""",222.833,7,+3
166,T167,163,John Chin,38,"32' 0""",224.0,7,+2
167,T167,T161,Max Homa,61,"32' 0""",479.5,15,+1
168,T167,T172,Hank Lebioda,55,"32' 0""",224.25,7,E
169,170,T165,Beau Hossler,66,"32' 10""",460.083,14,+7
170,T171,91,Alex Noren,49,"33' 1""",231.583,7,+2
171,T171,168,Tiger Woods,31,"33' 1""",33.083,1,E
172,173,T175,Corey Conners,62,"33' 4""",266.5,8,E
173,174,169,Martin Kaymer,38,"33' 7""",201.25,6,+1
174,175,170,Paul Casey,51,"33' 9""",168.583,5,E
175,176,157,D.J. Trahan,33,"34' 2""",239.417,7,+2
176,T177,T172,Adam Long,52,"34' 3""",513.6669999999999,15,+7
177,T177,T172,Michael Thompson,56,"34' 3""",205.667,6,+1
178,179,191,Aaron Wise,52,"34' 4""",274.58299999999997,8,+1
179,180,T175,Pat Perez,52,"34' 5""",137.583,4,+6
180,181,177,Branden Grace,62,"34' 6""",241.25,7,+1
181,182,181,Graeme McDowell,61,"34' 8""",415.917,12,-2
182,T183,183,Wyndham Clark,61,"35' 1""",526.8330000000001,15,+2
183,T183,171,Danny Lee,66,"35' 1""",561.25,16,-1
184,185,180,Sam Saunders,53,"35' 9""",393.667,11,+1
185,186,182,Joel Dahmen,78,"36' 7""",438.583,12,+3
186,187,T193,Dylan Frittelli,55,"37' 1""",259.41700000000003,7,E
187,188,184,Charley Hoffman,58,"37' 5""",187.25,5,-1
188,189,185,Brendan Steele,50,"37' 8""",301.41700000000003,8,+4
189,190,186,Russell Knox,65,"38' 1""",304.5,8,+3
190,191,187,Matthew Fitzpatrick,42,"38' 3""",305.91700000000003,8,+3
191,T192,T193,Roberto Castro,54,"38' 9""",426.0,11,+1
192,T192,188,Adam Schenk,80,"38' 9""",426.167,11,+4
193,194,206,Justin Thomas,49,"39' 5""",236.5,6,-1
194,195,192,Dominic Bozzelli,53,"39' 6""",79.0,2,E
195,196,T197,Martin Trainer,51,"39' 7""",870.75,22,+5
196,197,189,Kelly Kraft,67,"39' 9""",556.5830000000001,14,+6
197,198,195,Jon Rahm,51,"41' 0""",615.5,15,+1
198,199,196,Patrick Cantlay,49,"41' 7""",374.083,9,-1
199,200,203,Johnson Wagner,45,"41' 9""",250.333,6,+2
200,201,T197,Austin Cook,50,"41' 10""",250.75,6,+2
201,202,199,Michael Kim,51,"42' 9""",555.5,13,+8
202,203,200,Bryson DeChambeau,45,"43' 6""",261.0,6,+1
203,204,201,Haotong Li,32,"43' 7""",261.25,6,+3
204,205,202,John Huh,35,"44' 5""",88.833,2,+3
205,206,999,Shane Lowry,30,"44' 7""",490.75,11,+4
206,207,204,Troy Merritt,42,"52' 9""",263.83299999999997,5,+2
207,208,205,Adam Scott,41,"52' 10""",317.0,6,+1
