,GIR_Percentage_-__100_yards_RANK THIS WEEK,GIR_Percentage_-__100_yards_RANK LAST WEEK,GIR_Percentage_-__100_yards_PLAYER NAME,GIR_Percentage_-__100_yards_ROUNDS,GIR_Percentage_-__100_yards_%,GIR_Percentage_-__100_yards_GREENS HIT,GIR_Percentage_-__100_yards_TOTAL HOLES,GIR_Percentage_-__100_yards_RELATIVE TO PAR
46,T47,T47,Abraham Ancer,69,88.0,154,175,-0.56
47,T47,T47,Brian Stuard,76,88.0,132,150,-0.45
48,49,51,Corey Conners,62,87.92,131,149,-0.47
49,T50,50,Bryson DeChambeau,45,87.88,145,165,-0.63
50,T50,29,Bubba Watson,47,87.88,174,198,-0.44
51,52,T43,Hudson Swafford,59,87.82,137,156,-0.61
52,53,64,Fabián Gómez,44,87.74,93,106,-0.54
53,54,52,Sam Ryder,52,87.67,128,146,-0.63
54,55,71,Keegan Bradley,65,87.66,135,154,-0.57
55,T56,T53,Jason Dufner,56,87.61,99,113,-0.61
56,T56,T53,Ian Poulter,49,87.61,99,113,-0.62
57,58,55,Hideki Matsuyama,59,87.58,141,161,-0.56
58,59,56,Jhonattan Vegas,60,87.56,169,193,-0.58
59,60,T57,Charles Howell III,64,87.5,154,176,-0.5
60,61,T41,Jim Furyk,53,87.36,76,87,-0.54
61,62,24,Sebastián Muñoz,58,87.32,124,142,-0.61
62,63,62,Charley Hoffman,58,87.16,95,109,-0.55
63,64,77,Alex Noren,49,87.07,101,116,-0.52
64,65,65,Patrick Rodgers,44,87.05,121,139,-0.6
65,66,30,Ryan Palmer,56,86.9,126,145,-0.52
66,67,T68,Luke List,52,86.81,158,182,-0.62
67,68,T92,Austin Cook,50,86.79,92,106,-0.53
68,69,70,Rafa Cabrera Bello,57,86.72,111,128,-0.59
69,T70,72,Sung Kang,67,86.7,176,203,-0.57
70,T70,T57,Aaron Wise,52,86.7,163,188,-0.55
71,T72,T73,Stewart Cink,33,86.67,52,60,-0.48
72,T72,106,Adam Hadwin,66,86.67,156,180,-0.64
73,T72,T73,Justin Harding,31,86.67,39,45,-0.51
74,75,107,Mackenzie Hughes,58,86.62,123,142,-0.5
75,76,75,Scott Stallings,63,86.56,161,186,-0.55
76,77,76,Kevin Na,54,86.54,90,104,-0.63
77,78,T98,Johnson Wagner,45,86.52,77,89,-0.56
78,79,T90,Shawn Stefani,57,86.44,102,118,-0.5
79,80,78,Pat Perez,52,86.42,70,81,-0.57
80,81,T103,Sangmoon Bae,42,86.36,76,88,-0.39
81,82,79,Dustin Johnson,47,86.29,151,175,-0.56
82,83,T57,Ben Silverman,54,86.27,88,102,-0.5
83,84,T92,Rory McIlroy,50,86.26,157,182,-0.63
84,85,81,Jonas Blixt,66,86.25,138,160,-0.53
85,86,82,Patton Kizzire,58,86.18,106,123,-0.5
86,87,83,Byeong Hun An,54,86.08,136,158,-0.57
87,88,84,Jordan Spieth,57,86.03,154,179,-0.56
88,89,T92,Robert Streb,60,86.01,123,143,-0.45
89,90,85,Michael Kim,51,85.98,92,107,-0.45
90,91,110,Brice Garnett,63,85.94,110,128,-0.55
91,92,87,Ryan Moore,54,85.92,122,142,-0.57
92,93,88,Francesco Molinari,41,85.86,85,99,-0.45
93,94,89,J.T. Poston,76,85.85,182,212,-0.5
94,95,T139,Tyler Duncan,66,85.81,127,148,-0.53
95,T96,T92,Kiradech Aphibarnrat,49,85.71,96,112,-0.6
96,T96,144,Wes Roach,45,85.71,78,91,-0.56
97,T96,T92,Justin Rose,42,85.71,84,98,-0.57
98,99,T112,José de Jesús Rodríguez,51,85.61,113,132,-0.49
99,100,86,Trey Mullinax,67,85.6,208,243,-0.5
100,101,T98,Patrick Reed,53,85.54,142,166,-0.5
101,T102,T122,Brady Schnell,38,85.53,65,76,-0.46
102,T102,T112,D.J. Trahan,33,85.53,65,76,-0.48
103,104,100,Tiger Woods,31,85.51,59,69,-0.66
104,105,109,Ollie Schniederjans,63,85.5,171,200,-0.58
105,106,101,Martin Kaymer,38,85.45,94,110,-0.66
106,T107,T122,Tom Hoge,70,85.43,129,151,-0.5
107,T107,102,Andrew Landry,56,85.43,129,151,-0.4
108,T107,63,Alex Prugh,54,85.43,129,151,-0.49
109,T110,T103,Joel Dahmen,78,85.33,157,184,-0.55
110,T110,T103,Michael Thompson,56,85.33,128,150,-0.56
111,112,129,Scott Brown,66,85.31,122,143,-0.56
112,T113,T92,Matt Every,38,85.29,87,102,-0.59
113,T113,T90,Danny Willett,47,85.29,116,136,-0.52
114,115,115,Nick Taylor,70,85.2,190,223,-0.54
115,116,T132,Ryan Armour,66,85.15,86,101,-0.38
116,117,120,Kelly Kraft,67,85.06,131,154,-0.47
117,118,111,Sam Burns,66,85.05,165,194,-0.59
118,119,T112,Kevin Streelman,63,85.0,153,180,-0.56
119,120,80,Cody Gribble,52,84.96,113,133,-0.61
120,121,116,Paul Casey,51,84.85,112,132,-0.63
121,122,117,"Ted Potter, Jr.",56,84.83,123,145,-0.37
122,123,T118,Vaughn Taylor,69,84.82,162,191,-0.53
123,124,121,Brian Gay,79,84.75,150,177,-0.52
124,125,124,Tommy Fleetwood,43,84.68,94,111,-0.61
125,126,125,Kyoung-Hoon Lee,72,84.67,127,150,-0.49
126,T127,126,Max Homa,61,84.66,138,163,-0.57
127,T127,146,Peter Uihlein,65,84.66,149,176,-0.5
128,129,130,Brandon Harkins,67,84.65,171,202,-0.57
129,130,128,Aaron Baddeley,51,84.55,104,123,-0.5
130,131,135,Wyndham Clark,61,84.5,169,200,-0.6
131,132,127,Jonathan Byrd,43,84.47,87,103,-0.46
132,133,131,Charl Schwartzel,34,84.44,38,45,-0.61
133,134,145,Danny Lee,66,84.42,168,199,-0.55
134,135,T132,Troy Merritt,42,84.38,108,128,-0.63
135,136,108,Jim Knous,55,84.31,129,153,-0.47
136,137,137,Chase Wright,53,84.25,107,127,-0.53
137,138,134,Seamus Power,58,84.21,128,152,-0.59
138,139,136,Billy Horschel,73,84.18,133,158,-0.42
139,T140,138,Bronson Burgoon,37,84.15,69,82,-0.48
140,T140,180,John Chin,38,84.15,69,82,-0.52
141,142,T139,Emiliano Grillo,65,84.09,111,132,-0.53
142,143,141,Ryan Blaum,67,84.07,153,182,-0.58
143,144,142,Freddie Jacobson,37,84.06,58,69,-0.57
144,145,147,Henrik Stenson,46,84.03,100,119,-0.53
145,146,143,Jason Kokrak,68,83.96,157,187,-0.55
146,147,166,Adam Svensson,51,83.82,114,136,-0.56
147,148,148,Cameron Champ,58,83.67,205,245,-0.53
148,149,T118,Sepp Straka,48,83.59,107,128,-0.5
149,150,162,Bill Haas,58,83.56,122,146,-0.61
150,151,150,Matthew Fitzpatrick,42,83.5,86,103,-0.49
151,T152,149,Joey Garber,44,83.33,70,84,-0.36
152,T152,T168,Brian Harman,67,83.33,130,156,-0.58
153,T152,154,Carlos Ortiz,60,83.33,160,192,-0.54
154,T152,181,Jimmy Walker,61,83.33,130,156,-0.52
155,156,156,Sam Saunders,53,83.24,149,179,-0.5
156,157,152,Marc Leishman,52,83.21,114,137,-0.59
157,158,165,Dominic Bozzelli,53,83.19,94,113,-0.6
158,159,155,Jon Rahm,51,83.14,143,172,-0.59
159,160,T163,Joaquin Niemann,68,83.05,147,177,-0.48
160,161,182,Lucas Bjerregaard,37,83.0,83,100,-0.45
161,162,157,Branden Grace,62,82.99,122,147,-0.57
162,163,158,Adam Long,52,82.98,117,141,-0.51
163,164,159,Ernie Els,43,82.93,68,82,-0.49
164,165,194,Ben Crane,41,82.89,63,76,-0.51
165,166,161,Kyle Stanley,53,82.8,77,93,-0.57
166,167,173,Martin Trainer,51,82.79,178,215,-0.48
167,168,167,Kevin Tway,62,82.78,173,209,-0.48
168,169,153,Daniel Berger,48,82.73,115,139,-0.57
169,170,T163,Matt Wallace,31,82.72,67,81,-0.67
170,171,196,Brooks Koepka,49,82.67,124,150,-0.6
171,172,195,Roberto Castro,54,82.54,104,126,-0.4
172,T173,T170,Louis Oosthuizen,43,82.5,66,80,-0.62
173,T173,T170,Andrew Putnam,57,82.5,99,120,-0.51
174,175,172,Phil Mickelson,41,82.48,113,137,-0.48
175,176,999,Martin Piller,30,82.46,47,57,-0.47
176,177,151,J.J. Spaun,68,82.42,136,165,-0.51
177,178,T174,Haotong Li,32,82.35,70,85,-0.49
178,179,177,Russell Henley,56,82.31,107,130,-0.5
179,180,176,Hunter Mahan,45,82.3,93,113,-0.55
180,181,184,Julián Etulain,55,82.26,102,124,-0.5
181,182,T174,Curtis Luck,51,82.24,88,107,-0.49
182,183,179,Chesson Hadley,58,82.2,97,118,-0.49
183,184,178,Harris English,72,82.11,156,190,-0.6
184,185,T189,Adam Schenk,80,81.91,154,188,-0.53
185,186,160,Roger Sloan,62,81.88,131,160,-0.53
186,187,999,Tyrone Van Aswegen,30,81.82,45,55,-0.44
187,188,183,Seth Reeves,52,81.76,130,159,-0.53
188,189,T168,Chris Stroud,54,81.67,98,120,-0.45
189,190,185,Beau Hossler,66,81.62,151,185,-0.5
190,191,186,Grayson Murray,36,81.55,84,103,-0.58
191,192,187,Si Woo Kim,65,81.53,128,157,-0.67
192,193,188,Tony Finau,61,81.46,145,178,-0.57
193,194,T189,Satoshi Kodaira,51,81.36,96,118,-0.43
194,195,191,Chez Reavie,67,81.3,100,123,-0.57
195,196,192,D.A. Points,33,81.25,39,48,-0.46
196,197,193,Kevin Kisner,65,81.02,111,137,-0.51
197,198,201,Kyle Jones,49,80.83,97,120,-0.58
198,199,197,J.J. Henry,42,80.82,59,73,-0.36
199,200,200,J.B. Holmes,54,80.62,104,129,-0.48
200,201,198,Cameron Smith,55,80.19,85,106,-0.58
201,202,199,C.T. Pan,64,80.15,105,131,-0.52
202,203,999,Shane Lowry,30,79.75,63,79,-0.54
203,204,204,Alex Cejka,41,79.52,66,83,-0.5
204,205,207,Chris Thompson,34,79.31,69,87,-0.46
205,206,205,Jim Herman,37,79.01,64,81,-0.44
206,207,202,Zach Johnson,50,78.99,94,119,-0.55
207,208,203,Anirban Lahiri,54,78.63,92,117,-0.57
208,209,206,Josh Teater,47,77.78,91,117,-0.43
