,Approach_200-225_yards_RTP_RANK THIS WEEK,Approach_200-225_yards_RTP_RANK LAST WEEK,Approach_200-225_yards_RTP_PLAYER NAME,Approach_200-225_yards_RTP_ROUNDS,Approach_200-225_yards_RTP_AVG RTP
149,T149,148,Jason Dufner,56,+.074
150,151,T158,Lucas Bjerregaard,37,+.075
151,T152,139,Zach Johnson,50,+.077
152,T152,T150,Francesco Molinari,41,+.077
153,T154,T160,Peter Malnati,64,+.078
154,T154,152,Pat Perez,52,+.078
155,156,T171,Mackenzie Hughes,58,+.079
156,157,T153,Joel Dahmen,78,+.081
157,T158,T175,Roberto Castro,54,+.082
158,T158,T153,Danny Willett,47,+.082
159,T160,T155,Louis Oosthuizen,43,+.083
160,T160,T155,Kyle Stanley,53,+.083
161,162,T158,Freddie Jacobson,37,+.088
162,T163,190,John Chin,38,+.091
163,T163,142,Fabián Gómez,44,+.091
164,165,146,Brice Garnett,63,+.095
165,166,T177,José de Jesús Rodríguez,51,+.103
166,167,T162,Scott Langley,60,+.105
167,168,T155,Russell Henley,56,+.106
168,169,999,Tyrone Van Aswegen,30,+.107
169,T170,167,Phil Mickelson,41,+.109
170,T170,179,Rod Pampling,40,+.109
171,T170,T185,Ben Silverman,54,+.109
172,T173,168,Patton Kizzire,58,+.111
173,T173,T188,Henrik Stenson,46,+.111
174,175,169,Chez Reavie,67,+.113
175,176,T195,Cody Gribble,52,+.115
176,177,173,Andrew Landry,56,+.117
177,178,174,James Hahn,34,+.120
178,179,170,Brian Harman,67,+.123
179,180,T175,"Ted Potter, Jr.",56,+.127
180,181,T181,Corey Conners,62,+.129
181,182,T193,Kramer Hickok,59,+.133
182,183,T181,J.J. Spaun,68,+.136
183,184,180,Haotong Li,32,+.138
184,185,T171,Ryan Palmer,56,+.141
185,T186,165,Austin Cook,50,+.143
186,T186,T181,Michael Kim,51,+.143
187,188,166,Kelly Kraft,67,+.147
188,T189,T177,Cameron Davis,54,+.148
189,T189,T185,Kevin Na,54,+.148
190,191,199,Joey Garber,44,+.149
191,192,T195,David Hearn,41,+.152
192,193,187,Jonathan Byrd,43,+.157
193,194,184,Martin Trainer,51,+.164
194,195,T193,John Senden,39,+.170
195,196,191,Roberto Díaz,51,+.182
196,T197,203,J.J. Henry,42,+.186
197,T197,192,Jim Herman,37,+.186
198,199,T188,Adam Svensson,51,+.190
199,T200,202,Justin Harding,31,+.194
200,T200,201,Peter Uihlein,65,+.194
201,T202,197,Curtis Luck,51,+.200
202,T202,200,Johnson Wagner,45,+.200
203,204,198,Chris Stroud,54,+.212
204,205,204,Ernie Els,43,+.213
205,206,999,Martin Piller,30,+.214
206,207,205,Charl Schwartzel,34,+.235
207,208,206,Alex Cejka,41,+.260
208,209,207,Brady Schnell,38,+.317
