,Approaches_from__100_yards_Rgh_RANK THIS WEEK,Approaches_from__100_yards_Rgh_RANK LAST WEEK,Approaches_from__100_yards_Rgh_PLAYER NAME,Approaches_from__100_yards_Rgh_ROUNDS,Approaches_from__100_yards_Rgh_AVG,Approaches_from__100_yards_Rgh_TOTAL DISTANCE (FEET),Approaches_from__100_yards_Rgh_# OF ATTEMPTS,Approaches_from__100_yards_Rgh_RELATIVE TO PAR
54,T53,T61,Josh Teater,47,"45' 8""",4706.417,103,E
55,T56,T57,Kyoung-Hoon Lee,72,"45' 9""",6090.0830000000005,133,+12
56,T56,T57,Hunter Mahan,45,"45' 9""",4571.333,100,+6
57,T56,36,Cameron Tringale,52,"45' 9""",6629.5,145,-3
58,T59,T38,Keegan Bradley,65,"45' 10""",4860.25,106,+10
59,T59,T61,Jason Dufner,56,"45' 10""",4719.75,103,+21
60,T59,T61,Phil Mickelson,41,"45' 10""",5547.4169999999995,121,+14
61,T59,T61,Gary Woodland,63,"45' 10""",6051.5,132,+9
62,T63,T65,Paul Casey,51,"45' 11""",3630.333,79,+7
63,T63,T65,Ernie Els,43,"45' 11""",3767.833,82,+8
64,T63,T47,Roger Sloan,62,"45' 11""",7026.9169999999995,153,+12
65,T63,87,Shawn Stefani,57,"45' 11""",5830.9169999999995,127,+25
66,67,37,Aaron Wise,52,"46' 0""",4829.25,105,+7
67,T68,69,Sangmoon Bae,42,"46' 1""",3826.417,83,+12
68,T68,T53,Russell Henley,56,"46' 1""",4979.0,108,+15
69,T68,T76,Scott Piercy,70,"46' 1""",5713.9169999999995,124,+12
70,T68,T73,Nick Taylor,70,"46' 1""",8993.5,195,+14
71,T72,T98,Cody Gribble,52,"46' 2""",6507.9169999999995,141,+36
72,T72,75,Sungjae Im,88,"46' 2""",9192.5,199,+6
73,T72,T70,Ian Poulter,49,"46' 2""",3415.333,74,+3
74,T75,T73,Rafa Cabrera Bello,57,"46' 4""",4587.667,99,+4
75,T75,T82,José de Jesús Rodríguez,51,"46' 4""",5794.3330000000005,125,+16
76,T77,T76,Stewart Cink,33,"46' 6""",3764.417,81,+8
77,T77,T76,Brendan Steele,50,"46' 6""",5068.667,109,+8
78,T77,T65,Robert Streb,60,"46' 6""",6606.9169999999995,142,+13
79,T80,89,Alex Cejka,41,"46' 7""",3351.333,72,+12
80,T80,T70,J.B. Holmes,54,"46' 7""",4287.083,92,+8
81,T80,T79,Vaughn Taylor,69,"46' 7""",7215.25,155,+24
82,T83,T82,Tyrrell Hatton,46,"46' 8""",3314.333,71,+6
83,T83,131,David Hearn,41,"46' 8""",3592.417,77,+5
84,T83,T82,Francesco Molinari,41,"46' 8""",2614.833,56,+10
85,86,97,Nick Watney,67,"46' 10""",7023.5,150,+27
86,T87,T82,Roberto Castro,54,"46' 11""",5113.75,109,+21
87,T87,88,Charley Hoffman,58,"46' 11""",5348.6669999999995,114,+8
88,T87,T92,Richy Werenski,63,"46' 11""",7183.8330000000005,153,+23
89,90,90,Hudson Swafford,59,"47' 0""",7983.75,170,+6
90,91,T112,Jonathan Byrd,43,"47' 1""",4658.667,99,+11
91,T92,91,Kyle Stanley,53,"47' 2""",4244.583,90,+25
92,T92,T94,Adam Svensson,51,"47' 2""",5523.0830000000005,117,+7
93,94,T92,Patrick Cantlay,49,"47' 3""",5430.0,115,-14
94,T95,T79,Peter Malnati,64,"47' 4""",9040.167,191,+27
95,T95,T94,Rory Sabbatini,71,"47' 4""",7383.6669999999995,156,+2
96,T95,T94,Brian Stuard,76,"47' 4""",7243.75,153,+19
97,T98,T98,Luke List,52,"47' 6""",7174.4169999999995,151,-2
98,T98,T98,Andrew Putnam,57,"47' 6""",5560.9169999999995,117,+8
99,T100,T79,Dominic Bozzelli,53,"47' 7""",5663.5,119,+11
100,T100,T101,Max Homa,61,"47' 7""",8231.75,173,+13
101,T100,T101,Patton Kizzire,58,"47' 7""",5756.8330000000005,121,+12
102,T100,T101,Hideki Matsuyama,59,"47' 7""",5759.6669999999995,121,+7
103,T100,T101,Keith Mitchell,64,"47' 7""",5615.3330000000005,118,-1
104,T100,T125,Kevin Tway,62,"47' 7""",7756.0830000000005,163,+2
105,T106,134,Austin Cook,50,"47' 8""",4100.0,86,+11
106,T106,T106,Jim Herman,37,"47' 8""",3528.167,74,+15
107,T106,T112,Brandt Snedeker,68,"47' 8""",8053.0830000000005,169,+6
108,T109,T125,Carlos Ortiz,60,"47' 9""",7306.5830000000005,153,+15
109,T109,105,Ben Silverman,54,"47' 9""",5679.4169999999995,119,+18
110,T111,T106,Rickie Fowler,54,"47' 10""",6174.0,129,-3
111,T111,T125,Trey Mullinax,67,"47' 10""",9041.583,189,+12
112,T111,T106,Patrick Rodgers,44,"47' 10""",6552.1669999999995,137,+15
113,T114,T110,Sung Kang,67,"47' 11""",8150.5830000000005,170,+15
114,T114,T110,Andrew Landry,56,"47' 11""",4987.167,104,+23
115,T114,T65,Hank Lebioda,55,"47' 11""",5938.5,124,+25
116,117,T112,Martin Kaymer,38,"48' 0""",4124.667,86,+10
117,T118,T116,John Huh,35,"48' 1""",3939.417,82,+13
118,T118,T116,Justin Rose,42,"48' 1""",3892.833,81,+11
119,120,T125,Tyler Duncan,66,"48' 2""",5632.4169999999995,117,+26
120,T121,T122,Anders Albertson,48,"48' 3""",5646.0,117,+18
121,T121,T116,Dylan Frittelli,55,"48' 3""",7576.75,157,+10
122,T121,T122,Sam Ryder,52,"48' 3""",5890.4169999999995,122,+11
123,T121,T112,Adam Schenk,80,"48' 3""",9509.417,197,+19
124,125,T125,C.T. Pan,64,"48' 4""",6191.25,128,+13
125,126,T152,Wes Roach,45,"48' 6""",4416.25,91,+13
126,127,T132,Michael Thompson,56,"48' 7""",6077.0,125,+17
127,128,T135,Byeong Hun An,54,"48' 9""",6292.5830000000005,129,+7
128,129,137,Cameron Champ,58,"48' 10""",8640.25,177,+16
129,T130,T138,Jason Kokrak,68,"48' 11""",7869.5,161,+20
130,T130,162,Martin Laird,60,"48' 11""",8070.0830000000005,165,+14
131,T130,T125,Alex Noren,49,"48' 11""",4650.333,95,+18
132,T130,T138,Cameron Smith,55,"48' 11""",4990.25,102,+8
133,T134,T152,Curtis Luck,51,"49' 0""",6275.3330000000005,128,+25
134,T134,140,Sebastián Muñoz,58,"49' 0""",6664.1669999999995,136,+13
135,T136,149,Mackenzie Hughes,58,"49' 1""",8537.833,174,+3
136,T136,141,J.T. Poston,76,"49' 1""",9276.583,189,+16
137,T138,T142,Bryson DeChambeau,45,"49' 2""",5212.333,106,+7
138,T138,T116,Bill Haas,58,"49' 2""",7222.0830000000005,147,+14
139,T138,T142,Si Woo Kim,65,"49' 2""",5306.4169999999995,108,+4
140,T138,T116,Jim Knous,55,"49' 2""",6938.0,141,+15
141,T138,T142,Troy Merritt,42,"49' 2""",3390.833,69,+13
142,T143,86,Roberto Díaz,51,"49' 3""",4726.167,96,+17
143,T143,T135,Harris English,72,"49' 3""",9597.333,195,-10
144,T143,T106,Kyle Jones,49,"49' 3""",5169.25,105,+20
145,T143,T145,Louis Oosthuizen,43,"49' 3""",2757.917,56,+17
146,147,T147,Beau Hossler,66,"49' 4""",8232.25,167,+24
147,T148,T145,Ben Crane,41,"49' 5""",3655.417,74,+15
148,T148,172,Peter Uihlein,65,"49' 5""",7261.6669999999995,147,+18
149,150,T150,Tommy Fleetwood,43,"49' 6""",3761.583,76,-3
150,T151,T152,Emiliano Grillo,65,"49' 7""",5053.583,102,+8
151,T151,167,Graeme McDowell,61,"49' 7""",5946.1669999999995,120,+18
152,T151,T152,Jon Rahm,51,"49' 7""",4315.417,87,+7
153,T154,T156,Ryan Blaum,67,"49' 8""",8698.917,175,+46
154,T154,T156,Sam Burns,66,"49' 8""",8889.333,179,+11
155,T154,T132,Scott Langley,60,"49' 8""",6898.6669999999995,139,+29
156,T154,T156,Chez Reavie,67,"49' 8""",4321.833,87,+10
157,T158,T159,Charles Howell III,64,"49' 9""",6470.3330000000005,130,+11
158,T158,T159,Chris Kirk,47,"49' 9""",5618.6669999999995,113,+8
159,T158,T159,D.A. Points,33,"49' 9""",2439.417,49,+10
160,T161,T150,Zach Johnson,50,"49' 11""",5587.9169999999995,112,+19
161,T161,163,Satoshi Kodaira,51,"49' 11""",5037.667,101,+10
162,163,121,Chris Thompson,34,"50' 0""",4651.833,93,+9
163,164,T122,Sepp Straka,48,"50' 1""",5962.75,119,+15
164,165,164,Ryan Moore,54,"50' 2""",4163.917,83,+3
165,T166,179,Adam Hadwin,66,"50' 3""",5929.4169999999995,118,+17
166,T166,T165,Anirban Lahiri,54,"50' 3""",6231.9169999999995,124,+22
167,T166,T165,Xander Schauffele,55,"50' 3""",5020.833,100,+4
168,T169,T174,Scott Brown,66,"50' 5""",7460.8330000000005,148,+22
169,T169,168,J.J. Spaun,68,"50' 5""",7416.3330000000005,147,+4
170,171,181,John Chin,38,"50' 6""",4239.417,84,+21
171,172,180,Kelly Kraft,67,"50' 9""",8221.083,162,+33
172,173,T182,Ryan Armour,66,"50' 11""",5707.0,112,+18
173,T174,171,Brian Gay,79,"51' 1""",6950.75,136,+18
174,T174,T147,Whee Kim,57,"51' 1""",5315.5,104,+26
175,176,173,Billy Horschel,73,"51' 2""",6195.9169999999995,121,+24
176,T177,T169,Daniel Berger,48,"51' 4""",5800.8330000000005,113,+15
177,T177,T176,Bronson Burgoon,37,"51' 4""",4004.5,78,+14
178,T177,T176,Joel Dahmen,78,"51' 4""",7079.3330000000005,138,+12
179,T177,T176,Tiger Woods,31,"51' 4""",3133.75,61,+7
180,181,T169,Seamus Power,58,"51' 5""",7246.3330000000005,141,+28
181,T182,T182,Jason Day,45,"51' 10""",3992.667,77,+11
182,T182,T189,Seth Reeves,52,"51' 10""",6940.1669999999995,134,+8
183,T184,T186,Brice Garnett,63,"51' 11""",5295.8330000000005,102,+24
184,T184,T184,Branden Grace,62,"51' 11""",5343.8330000000005,103,+18
185,T184,T189,Brian Harman,67,"51' 11""",6176.25,119,+19
186,T184,T184,Grayson Murray,36,"51' 11""",5968.8330000000005,115,+13
187,188,T186,Adam Scott,41,"52' 0""",4474.25,86,+6
188,189,196,Wyndham Clark,61,"52' 2""",8874.583,170,-1
189,T190,T191,Kiradech Aphibarnrat,49,"52' 4""",4449.75,85,+20
190,T190,999,Shane Lowry,30,"52' 4""",3556.75,68,+2
191,192,T193,Matt Jones,67,"52' 5""",8072.1669999999995,154,+8
192,193,T174,Julián Etulain,55,"52' 6""",7564.25,144,+20
193,T194,T193,Tom Hoge,70,"52' 11""",7996.6669999999995,151,+10
194,T194,195,Johnson Wagner,45,"52' 11""",5239.083,99,+11
195,196,197,Stephan Jaeger,59,"53' 1""",8393.25,158,+9
196,197,198,Haotong Li,32,"53' 4""",3411.5,64,+14
197,T198,199,Kevin Na,54,"53' 5""",5127.75,96,+9
198,T198,T191,Rod Pampling,40,"53' 5""",4485.0,84,+27
199,200,188,Joey Garber,44,"54' 0""",4587.333,85,+16
200,201,201,Freddie Jacobson,37,"54' 5""",4573.417,84,+24
201,T202,203,Fabián Gómez,44,"54' 8""",4539.667,83,+12
202,T202,202,Patrick Reed,53,"54' 8""",6609.6669999999995,121,+10
203,T204,204,Lucas Bjerregaard,37,"54' 10""",3180.0,58,+3
204,T204,200,Kramer Hickok,59,"54' 10""",6033.1669999999995,110,+14
205,206,999,Martin Piller,30,"55' 1""",3196.25,58,+6
206,T207,207,Denny McCarthy,63,"56' 8""",7819.8330000000005,138,+9
207,T207,206,Martin Trainer,51,"56' 8""",6911.25,122,+27
208,T207,205,Bubba Watson,47,"56' 8""",6005.6669999999995,106,+15
