,Proximity_to_Hole_ARG_RANK THIS WEEK,Proximity_to_Hole_ARG_RANK LAST WEEK,Proximity_to_Hole_ARG_PLAYER NAME,Proximity_to_Hole_ARG_ROUNDS,Proximity_to_Hole_ARG_AVG DTP,Proximity_to_Hole_ARG_TOTAL DISTANCE (FEET),Proximity_to_Hole_ARG_# OF SHOTS,Proximity_to_Hole_ARG_SCRAMBLING RANK
138,T129,T120,Andrew Putnam,57,"7' 6""",1886.0,251,123
139,T129,T120,Adam Scott,41,"7' 6""",1371.4170000000001,182,24
140,T141,T132,Austin Cook,50,"7' 7""",2056.167,272,173
141,T141,T132,Dylan Frittelli,55,"7' 7""",2574.5,339,34
142,T141,T144,Brian Gay,79,"7' 7""",3250.333,430,60
143,T141,T144,Jim Knous,55,"7' 7""",2082.75,276,155
144,T141,T132,Matt Kuchar,65,"7' 7""",2239.333,296,9
145,T141,T150,Carlos Ortiz,60,"7' 7""",2569.167,338,153
146,T141,T120,Seamus Power,58,"7' 7""",2694.667,357,105
147,T141,T132,Ben Silverman,54,"7' 7""",2202.75,290,109
148,T141,T150,Danny Willett,47,"7' 7""",2047.9170000000001,271,163
149,T150,T150,Cameron Davis,54,"7' 8""",2247.167,292,72
150,T150,T150,Fabián Gómez,44,"7' 8""",1707.9170000000001,223,79
151,T150,T150,Kramer Hickok,59,"7' 8""",2225.833,290,117
152,T150,T132,Ryan Palmer,56,"7' 8""",2067.25,270,112
153,T150,T120,Wes Roach,45,"7' 8""",1637.4170000000001,213,53
154,T150,T144,Sam Ryder,52,"7' 8""",2326.75,303,43
155,T150,T144,Jordan Spieth,57,"7' 8""",2654.583,348,50
156,T157,T150,Anders Albertson,48,"7' 9""",1915.5829999999999,247,59
157,T157,T132,Daniel Berger,48,"7' 9""",2468.0,318,127
158,T157,T150,Stewart Cink,33,"7' 9""",1190.083,154,188
159,T157,T150,Joel Dahmen,78,"7' 9""",3108.833,400,142
160,T157,T150,Max Homa,61,"7' 9""",2922.917,377,86
161,T157,T150,John Huh,35,"7' 9""",1553.6670000000001,201,78
162,T157,T150,Sung Kang,67,"7' 9""",3085.667,400,50
163,T157,T150,Michael Kim,51,"7' 9""",2049.75,265,206
164,T157,T144,Kelly Kraft,67,"7' 9""",2971.833,383,179
165,T157,T150,Denny McCarthy,63,"7' 9""",2757.333,357,10
166,T157,T150,Grayson Murray,36,"7' 9""",1570.0829999999999,202,205
167,T157,T150,Patrick Rodgers,44,"7' 9""",2077.417,267,154
168,T157,T176,J.J. Spaun,68,"7' 9""",2664.5,343,131
169,T157,T150,Kyle Stanley,53,"7' 9""",1815.9170000000001,234,141
170,T157,T89,Josh Teater,47,"7' 9""",1596.9170000000001,207,147
171,T157,T150,Jhonattan Vegas,60,"7' 9""",2577.75,333,114
172,T157,T171,Aaron Wise,52,"7' 9""",2055.083,266,201
173,T174,T150,Scott Brown,66,"7' 10""",2862.833,364,99
174,T174,T171,Tony Finau,61,"7' 10""",2488.083,316,64
