,SG_Around_the_Green_RANK THIS WEEK,SG_Around_the_Green_RANK LAST WEEK,SG_Around_the_Green_PLAYER NAME,SG_Around_the_Green_ROUNDS,SG_Around_the_Green_AVERAGE,SG_Around_the_Green_TOTAL SG:ARG,SG_Around_the_Green_MEASURED ROUNDS
180,181,170,Kelly Kraft,67,-0.257,-12.074000000000002,47
181,182,167,Brice Garnett,63,-0.26899999999999996,-11.04,41
182,183,T179,Ryan Palmer,56,-0.27,-10.530999999999999,39
183,184,169,Sangmoon Bae,42,-0.27399999999999997,-7.126,26
184,185,184,Max Homa,61,-0.275,-13.186,48
185,186,182,Adam Schenk,80,-0.27699999999999997,-16.649,60
186,187,T173,Daniel Berger,48,-0.27899999999999997,-11.433,41
187,188,193,Tyler Duncan,66,-0.285,-13.120999999999999,46
188,189,187,John Huh,35,-0.28800000000000003,-7.77,27
189,190,195,David Hearn,41,-0.301,-7.221,24
190,191,192,Jim Knous,55,-0.304,-11.262,37
191,192,188,John Chin,38,-0.314,-6.906000000000001,22
192,193,185,Alex Prugh,54,-0.317,-11.394,36
193,194,190,Johnson Wagner,45,-0.319,-10.22,32
194,195,191,Kevin Kisner,65,-0.32,-13.776,43
195,196,183,Seth Reeves,52,-0.342,-12.311,36
196,197,194,Freddie Jacobson,37,-0.353,-8.481,24
197,198,196,Alex Cejka,41,-0.358,-9.675,27
198,199,197,Sam Burns,66,-0.387,-20.886999999999997,54
199,200,198,Brendan Steele,50,-0.415,-15.344000000000001,37
200,201,199,"Ted Potter, Jr.",56,-0.428,-18.423,43
201,202,204,Jim Herman,37,-0.431,-11.625,27
202,203,205,Sepp Straka,48,-0.43700000000000006,-13.972999999999999,32
203,204,200,Hunter Mahan,45,-0.44799999999999995,-14.780999999999999,33
204,205,203,Lucas Bjerregaard,37,-0.457,-10.059,22
205,206,201,D.A. Points,33,-0.45899999999999996,-8.714,19
206,207,202,Andrew Landry,56,-0.462,-19.866,43
207,208,206,Satoshi Kodaira,51,-0.526,-18.412,35
208,209,207,Cameron Champ,58,-0.688,-33.04,48
