,Sand_Saves_from_10-20_yards_RANK THIS WEEK,Sand_Saves_from_10-20_yards_RANK LAST WEEK,Sand_Saves_from_10-20_yards_PLAYER NAME,Sand_Saves_from_10-20_yards_ROUNDS,Sand_Saves_from_10-20_yards_%,Sand_Saves_from_10-20_yards_# OF SAVES,Sand_Saves_from_10-20_yards_# OF BUNKERS
150,T151,T160,Jim Herman,37,48.39,15,31
151,T151,145,Kevin Streelman,63,48.39,30,62
152,153,137,Scott Brown,66,48.15,26,54
153,154,T147,Kevin Na,54,47.83,11,23
154,T155,T150,Bryson DeChambeau,45,47.62,20,42
155,T155,T150,Patrick Rodgers,44,47.62,20,42
156,157,T154,Denny McCarthy,63,47.22,17,36
157,T158,T156,Sung Kang,67,47.06,24,51
158,T158,T156,Satoshi Kodaira,51,47.06,16,34
159,T158,T156,Jhonattan Vegas,60,47.06,16,34
160,161,173,Jim Knous,55,46.88,15,32
161,T162,159,Jason Dufner,56,46.81,22,47
162,T162,149,Robert Streb,60,46.81,22,47
163,T164,164,Hank Lebioda,55,46.67,14,30
164,T164,T191,Rod Pampling,40,46.67,14,30
165,166,T162,Chez Reavie,67,46.51,20,43
166,T167,177,Joey Garber,44,46.43,13,28
167,T167,146,Fabián Gómez,44,46.43,13,28
168,T167,T126,Henrik Stenson,46,46.43,13,28
169,170,T165,Brice Garnett,63,46.34,19,41
170,171,T182,Richy Werenski,63,46.3,25,54
171,172,T165,"Ted Potter, Jr.",56,46.15,24,52
172,173,T154,Curtis Luck,51,45.95,17,37
173,174,180,Nate Lashley,44,45.83,11,24
174,175,168,Nick Taylor,70,45.31,29,64
175,176,T178,Keegan Bradley,65,45.24,19,42
176,177,T170,Adam Schenk,80,44.64,25,56
177,178,T174,Phil Mickelson,41,44.44,12,27
178,179,172,Kyle Jones,49,44.12,15,34
179,180,T174,Mackenzie Hughes,58,43.75,21,48
180,181,T178,Adam Long,52,43.59,17,39
181,182,181,Branden Grace,62,43.24,16,37
182,183,T182,Russell Henley,56,43.14,22,51
183,T184,176,Whee Kim,57,42.86,15,35
184,T184,999,Martin Piller,30,42.86,6,14
185,T184,T165,Johnson Wagner,45,42.86,12,28
186,187,185,Brendan Steele,50,42.5,17,40
187,T188,186,Cameron Champ,58,41.86,18,43
188,T188,184,Ryan Palmer,56,41.86,18,43
189,190,T199,Adam Svensson,51,41.67,15,36
190,T191,T187,Bronson Burgoon,37,41.38,12,29
191,T191,T187,Sam Burns,66,41.38,24,58
192,193,189,Max Homa,61,41.07,23,56
193,194,206,Wes Roach,45,40.91,9,22
194,195,190,Abraham Ancer,69,40.82,20,49
195,196,T191,Josh Teater,47,40.0,12,30
196,197,T195,Alex Cejka,41,39.29,11,28
197,198,194,Freddie Jacobson,37,39.13,9,23
198,T199,T195,Andrew Landry,56,38.46,15,39
199,T199,T195,Jon Rahm,51,38.46,10,26
200,201,198,Tony Finau,61,38.3,18,47
201,T202,T199,Charley Hoffman,58,38.24,13,34
202,T202,204,Alex Noren,49,38.24,13,34
203,204,201,Kevin Kisner,65,38.0,19,50
204,205,193,Roberto Díaz,51,36.67,11,30
205,206,202,John Chin,38,35.0,7,20
206,207,203,Seth Reeves,52,34.88,15,43
207,208,207,Alex Prugh,54,32.0,8,25
208,209,205,Justin Harding,31,30.0,3,10
