,Proximity_to_Hole_from__10_yards_RANK THIS WEEK,Proximity_to_Hole_from__10_yards_RANK LAST WEEK,Proximity_to_Hole_from__10_yards_PLAYER NAME,Proximity_to_Hole_from__10_yards_ROUNDS,Proximity_to_Hole_from__10_yards_AVG DTP,Proximity_to_Hole_from__10_yards_TOTAL DISTANCE (FEET),Proximity_to_Hole_from__10_yards_# OF SHOTS,Proximity_to_Hole_from__10_yards_SCRAMBLING RANK
195,T194,T194,Charley Hoffman,58,"4' 7""",305.58299999999997,67,178
196,T194,T194,Satoshi Kodaira,51,"4' 7""",305.66700000000003,67,208
197,T194,T194,Anirban Lahiri,54,"4' 7""",335.0,73,83
198,T194,T184,Ryan Palmer,56,"4' 7""",309.0,68,112
199,T200,201,Kiradech Aphibarnrat,49,"4' 8""",261.83299999999997,56,31
200,T200,206,Joey Garber,44,"4' 8""",187.5,40,68
201,T202,T189,Dylan Frittelli,55,"4' 9""",369.667,78,34
202,T202,T184,Dustin Johnson,47,"4' 9""",300.83299999999997,63,15
203,T202,T202,Andrew Landry,56,"4' 9""",383.917,81,119
204,T202,T202,Ryan Moore,54,"4' 9""",353.417,75,131
205,T202,T202,Jordan Spieth,57,"4' 9""",342.583,72,50
206,207,T194,Cameron Davis,54,"4' 11""",304.33299999999997,62,72
207,208,T142,Daniel Berger,48,"5' 1""",341.667,67,127
208,209,207,"Ted Potter, Jr.",56,"5' 8""",510.333,90,200
