,Proximity_to_Hole_from_Rough_RANK THIS WEEK,Proximity_to_Hole_from_Rough_RANK LAST WEEK,Proximity_to_Hole_from_Rough_PLAYER NAME,Proximity_to_Hole_from_Rough_ROUNDS,Proximity_to_Hole_from_Rough_AVG DTP,Proximity_to_Hole_from_Rough_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_Rough_# OF SHOTS,Proximity_to_Hole_from_Rough_SCRAMBLING RANK
170,T166,T147,D.J. Trahan,33,"8' 6""",288.41700000000003,34,28
171,T172,T174,Ryan Blaum,67,"8' 7""",1281.917,150,108
172,T172,T174,Patrick Reed,53,"8' 7""",778.0830000000001,91,96
173,T174,186,Tom Hoge,70,"8' 8""",1096.917,126,148
174,T174,T177,Chris Kirk,47,"8' 8""",509.0,59,98
175,T174,T177,Hunter Mahan,45,"8' 8""",703.6669999999999,81,177
176,T174,T177,Phil Mickelson,41,"8' 8""",930.3330000000001,107,165
177,T174,T162,Robert Streb,60,"8' 8""",864.1669999999999,100,66
178,T174,T168,Peter Uihlein,65,"8' 8""",894.0830000000001,103,139
179,T180,188,Alex Cejka,41,"8' 9""",639.25,73,152
180,T180,T183,Grayson Murray,36,"8' 9""",553.5830000000001,63,205
181,T180,T153,José de Jesús Rodríguez,51,"8' 9""",761.8330000000001,87,88
182,T180,T183,Sam Ryder,52,"8' 9""",897.9169999999999,103,43
183,184,T153,Johnson Wagner,45,"8' 10""",494.167,56,158
184,T185,T177,Sangmoon Bae,42,"8' 11""",536.0,60,106
185,T185,T197,Alex Noren,49,"8' 11""",808.5830000000001,91,180
186,T185,999,Martin Piller,30,"8' 11""",438.417,49,67
187,T185,T162,Wes Roach,45,"8' 11""",604.9169999999999,68,53
188,T185,T159,Adam Schenk,80,"8' 11""",1169.25,131,90
189,190,T197,Aaron Wise,52,"9' 0""",925.0,103,201
190,T191,T192,Dominic Bozzelli,53,"9' 1""",863.3330000000001,95,125
191,T191,T174,Sebastián Muñoz,58,"9' 1""",781.1669999999999,86,157
192,T191,187,Alex Prugh,54,"9' 1""",744.5830000000001,82,198
193,T194,T192,Anders Albertson,48,"9' 2""",648.5830000000001,71,59
194,T194,T192,Scott Brown,66,"9' 2""",1261.333,137,99
195,T194,T189,Cameron Davis,54,"9' 2""",1010.1669999999999,110,72
196,T194,T189,Marc Leishman,52,"9' 2""",688.0830000000001,75,18
197,198,T192,Cameron Champ,58,"9' 3""",1030.667,111,207
198,T199,T189,Adam Hadwin,66,"9' 4""",1056.417,113,120
199,T199,199,Bubba Watson,47,"9' 4""",836.75,90,21
200,201,T192,Corey Conners,62,"9' 5""",772.1669999999999,82,185
201,202,T200,Matt Kuchar,65,"9' 6""",1021.5,108,9
202,203,T200,Patrick Rodgers,44,"9' 7""",778.6669999999999,81,154
203,T204,T202,Emiliano Grillo,65,"9' 8""",1100.667,114,170
204,T204,T202,D.A. Points,33,"9' 8""",454.333,47,131
205,206,205,Stewart Cink,33,"9' 10""",423.75,43,188
206,T207,207,John Chin,38,"10' 0""",559.25,56,192
207,T207,204,Martin Trainer,51,"10' 0""",1525.75,152,161
208,209,206,Brice Garnett,63,"10' 2""",905.25,89,196
