,Scrambling_Rough_RTP_Score_RANK THIS WEEK,Scrambling_Rough_RTP_Score_RANK LAST WEEK,Scrambling_Rough_RTP_Score_PLAYER NAME,Scrambling_Rough_RTP_Score_ROUNDS,Scrambling_Rough_RTP_Score_AVG RTP,Scrambling_Rough_RTP_Score_TOTAL HOLES,Scrambling_Rough_RTP_Score_TOTAL RTP
171,T171,T164,Brooks Koepka,49,0.5,62,31.0
172,T171,156,Chase Wright,53,0.5,120,60.0
173,174,T164,Sepp Straka,48,0.505,107,54.0
174,175,174,Freddie Jacobson,37,0.506,89,45.0
175,T176,173,Kyle Jones,49,0.51,104,53.0
176,T176,152,Seth Reeves,52,0.51,102,52.0
177,T176,176,Gary Woodland,63,0.51,98,50.0
178,179,177,Kyoung-Hoon Lee,72,0.511,131,67.0
179,180,T186,Keegan Bradley,65,0.518,85,44.0
180,181,175,Ollie Schniederjans,63,0.524,147,77.0
181,182,178,Phil Mickelson,41,0.526,78,41.0
182,183,179,Patton Kizzire,58,0.528,127,67.0
183,184,180,Michael Kim,51,0.529,87,46.0
184,T185,182,Kevin Na,54,0.531,64,34.0
185,T185,181,Martin Trainer,51,0.531,162,86.0
186,187,183,Bryson DeChambeau,45,0.532,79,42.0
187,188,185,"Ted Potter, Jr.",56,0.5379999999999999,93,50.0
188,189,T186,Satoshi Kodaira,51,0.541,74,40.0
189,190,188,Patrick Reed,53,0.542,83,45.0
190,191,192,Brian Harman,67,0.547,139,76.0
191,192,190,Chris Kirk,47,0.5489999999999999,71,39.0
192,193,184,Brice Garnett,63,0.56,100,56.0
193,194,189,Corey Conners,62,0.563,87,49.0
194,195,191,Alex Prugh,54,0.564,94,53.0
195,196,197,Cody Gribble,52,0.5720000000000001,145,83.0
196,197,193,Andrew Landry,56,0.573,89,51.0
197,198,194,Tyrrell Hatton,46,0.574,54,31.0
198,199,196,Martin Kaymer,38,0.58,81,47.0
199,200,195,Matt Every,38,0.5820000000000001,67,39.0
200,201,T198,Jim Herman,37,0.5920000000000001,71,42.0
201,202,202,Aaron Wise,52,0.6,105,63.0
202,203,200,Lucas Bjerregaard,37,0.604,48,29.0
203,204,T198,Brandon Harkins,67,0.613,142,87.0
204,205,203,Grayson Murray,36,0.617,81,50.0
205,206,204,Chris Thompson,34,0.628,86,54.0
206,207,205,Cameron Champ,58,0.637,113,72.0
207,T208,207,Sergio Garcia,39,0.653,72,47.0
208,T208,206,Ian Poulter,49,0.653,49,32.0
