,Scrambling_from_20-30_yards_RANK THIS WEEK,Scrambling_from_20-30_yards_RANK LAST WEEK,Scrambling_from_20-30_yards_PLAYER NAME,Scrambling_from_20-30_yards_ROUNDS,Scrambling_from_20-30_yards_%,Scrambling_from_20-30_yards_SUCCESSES,Scrambling_from_20-30_yards_ATTEMPTS
60,61,T93,Sebastián Muñoz,58,56.86,29,51
61,62,61,Adam Long,52,56.6,30,53
62,T63,T68,Zach Johnson,50,56.52,26,46
63,T63,62,Grayson Murray,36,56.52,13,23
64,65,67,Roger Sloan,62,56.45,35,62
65,66,64,Michael Thompson,56,56.34,40,71
66,T67,T65,Kevin Kisner,65,56.25,27,48
67,T67,T44,Chris Thompson,34,56.25,18,32
68,T69,T68,Tony Finau,61,56.1,23,41
69,T69,T77,J.B. Holmes,54,56.1,23,41
70,71,70,Sam Burns,66,56.06,37,66
71,72,T83,Brandt Snedeker,68,55.93,33,59
72,73,73,Hank Lebioda,55,55.81,24,43
73,74,T56,José de Jesús Rodríguez,51,55.77,29,52
74,T75,71,Peter Malnati,64,55.56,30,54
75,T75,T75,Kevin Streelman,63,55.56,25,45
76,T75,T56,D.J. Trahan,33,55.56,10,18
77,78,T77,Andrew Landry,56,55.26,21,38
78,T79,79,Stewart Cink,33,55.17,16,29
79,T79,T44,Josh Teater,47,55.17,16,29
80,81,T87,Sam Saunders,53,55.1,27,49
81,T82,T80,Chris Kirk,47,54.84,17,31
82,T82,T80,Chez Reavie,67,54.84,17,31
83,84,72,Harris English,72,54.79,40,73
84,T85,T83,Keith Mitchell,64,54.72,29,53
85,T85,T83,Kevin Na,54,54.72,29,53
86,87,74,Seamus Power,58,54.67,41,75
87,T88,T87,Sung Kang,67,54.55,30,55
88,T88,99,Nick Taylor,70,54.55,42,77
89,90,90,C.T. Pan,64,54.0,27,50
90,T91,T106,Kyle Jones,49,53.85,21,39
91,T91,89,Scott Piercy,70,53.85,28,52
92,T93,92,Wyndham Clark,61,53.57,30,56
93,T93,T83,Danny Lee,66,53.57,30,56
94,T95,91,Roberto Díaz,51,53.49,23,43
95,T95,82,Nate Lashley,44,53.49,23,43
96,T95,63,Chase Wright,53,53.49,23,43
97,T98,T93,Dylan Frittelli,55,53.19,25,47
98,T98,95,Denny McCarthy,63,53.19,25,47
99,100,T97,Patton Kizzire,58,52.94,27,51
100,101,T100,Anirban Lahiri,54,52.83,28,53
101,T102,96,Dustin Johnson,47,52.78,19,36
102,T102,T102,Henrik Stenson,46,52.78,19,36
103,T102,T97,Sepp Straka,48,52.78,19,36
104,105,T104,Kyoung-Hoon Lee,72,52.73,29,55
105,T106,T104,Daniel Berger,48,52.63,30,57
106,T106,T106,Charles Howell III,64,52.63,30,57
107,T108,T109,Ryan Blaum,67,52.38,33,63
108,T108,T109,Patrick Rodgers,44,52.38,22,42
109,T108,T109,Charl Schwartzel,34,52.38,11,21
110,111,112,Vaughn Taylor,69,52.11,37,71
111,T112,T113,Aaron Baddeley,51,51.92,27,52
112,T112,T113,Rafa Cabrera Bello,57,51.92,27,52
113,114,115,Brian Stuard,76,51.56,33,64
114,115,T116,Byeong Hun An,54,51.43,18,35
115,T116,T102,J.J. Henry,42,51.35,19,37
116,T116,T125,Ryan Palmer,56,51.35,19,37
117,T118,T118,Bryson DeChambeau,45,51.28,20,39
118,T118,T118,Freddie Jacobson,37,51.28,20,39
119,120,T116,Fabián Gómez,44,51.22,21,41
120,T121,T120,Luke List,52,51.16,22,43
121,T121,T120,Sam Ryder,52,51.16,22,43
122,123,T125,Roberto Castro,54,51.11,23,45
123,124,123,Trey Mullinax,67,50.98,26,51
124,T125,T125,Scott Brown,66,50.88,29,57
125,T125,T100,Adam Schenk,80,50.88,29,57
126,127,T125,Bud Cauley,61,50.79,32,63
127,T128,148,Alex Cejka,41,50.0,15,30
128,T128,T125,Jason Dufner,56,50.0,21,42
129,T128,T125,Tommy Fleetwood,43,50.0,11,22
130,T128,T125,James Hahn,34,50.0,6,12
131,T128,T125,Tom Hoge,70,50.0,22,44
132,T128,T125,Jason Kokrak,68,50.0,24,48
133,T128,T125,Hunter Mahan,45,50.0,19,38
134,T128,T125,Troy Merritt,42,50.0,16,32
135,T128,108,Alex Noren,49,50.0,22,44
136,T128,124,Carlos Ortiz,60,50.0,27,54
137,T128,147,Ollie Schniederjans,63,50.0,31,62
138,139,T125,Scott Stallings,63,49.23,32,65
139,140,158,Graeme McDowell,61,49.02,25,51
140,141,122,Shawn Stefani,57,48.98,24,49
141,142,T141,Hudson Swafford,59,48.89,22,45
142,143,T141,Emiliano Grillo,65,48.84,21,43
143,T144,159,Joey Garber,44,48.72,19,39
144,T144,144,Charley Hoffman,58,48.72,19,39
145,146,145,Xander Schauffele,55,48.65,18,37
146,147,160,Jonas Blixt,66,48.48,32,66
147,148,140,Richy Werenski,63,48.44,31,64
148,149,T125,J.J. Spaun,68,48.33,29,60
149,T150,T149,Max Homa,61,48.15,26,54
150,T150,T149,Patrick Reed,53,48.15,26,54
151,152,143,Dominic Bozzelli,53,48.08,25,52
152,T153,T151,John Chin,38,48.0,12,25
153,T153,T151,Louis Oosthuizen,43,48.0,12,25
154,155,146,Bill Haas,58,47.95,35,73
155,156,999,Shane Lowry,30,47.62,10,21
156,157,154,Ryan Moore,54,47.5,19,40
157,158,T162,Keegan Bradley,65,47.37,18,38
158,159,155,Andrew Putnam,57,47.27,26,55
159,160,153,Joaquin Niemann,68,47.06,24,51
160,161,T168,Stephan Jaeger,59,46.94,23,49
161,T162,T125,Talor Gooch,37,46.15,12,26
162,T162,178,Scott Langley,60,46.15,36,78
163,164,171,Kelly Kraft,67,45.83,33,72
164,165,161,Rod Pampling,40,45.65,21,46
165,166,156,Seth Reeves,52,45.61,26,57
166,167,165,J.T. Poston,76,45.59,31,68
167,T168,T166,Tyrrell Hatton,46,45.45,15,33
168,T168,T166,Jhonattan Vegas,60,45.45,25,55
169,170,170,Branden Grace,62,45.0,18,40
170,171,164,Brandon Harkins,67,44.9,22,49
171,T172,174,Adam Hadwin,66,44.74,17,38
172,T172,T162,Alex Prugh,54,44.74,17,38
173,T174,173,Anders Albertson,48,44.44,20,45
174,T174,157,Corey Conners,62,44.44,16,36
175,T174,172,Cameron Davis,54,44.44,12,27
176,T174,T168,Kramer Hickok,59,44.44,20,45
177,T178,T176,Austin Cook,50,44.0,22,50
178,T178,T176,Joel Dahmen,78,44.0,33,75
179,180,179,Whee Kim,57,43.59,17,39
180,181,T182,Brooks Koepka,49,43.48,10,23
181,182,T188,Sangmoon Bae,42,43.33,13,30
182,183,181,Matthew Fitzpatrick,42,43.24,16,37
183,184,T182,John Huh,35,42.86,15,35
184,185,180,Aaron Wise,52,42.55,20,47
185,186,184,Satoshi Kodaira,51,42.22,19,45
186,187,175,Harold Varner III,62,42.19,27,64
187,T188,T185,Cameron Champ,58,42.11,24,57
188,T188,T185,Michael Kim,51,42.11,16,38
189,T188,T185,Cameron Smith,55,42.11,16,38
190,191,T188,Sergio Garcia,39,41.46,17,41
191,192,T188,Brady Schnell,38,40.74,11,27
192,193,192,Ian Poulter,49,40.63,13,32
193,T194,193,D.A. Points,33,40.0,8,20
194,T194,196,Johnson Wagner,45,40.0,16,40
195,196,191,Ben Silverman,54,39.62,21,53
196,197,195,Paul Casey,51,39.39,13,33
197,198,T203,Jim Herman,37,39.29,11,28
198,199,194,Cody Gribble,52,38.98,23,59
199,200,197,Gary Woodland,63,38.46,15,39
200,201,200,Kevin Tway,62,36.0,18,50
201,202,198,Robert Streb,60,35.71,15,42
202,203,201,Brendan Steele,50,35.48,11,31
203,204,199,Brice Garnett,63,35.29,24,68
204,205,202,David Hearn,41,34.62,9,26
205,T206,205,Tyler Duncan,66,33.33,17,51
206,T206,T203,"Ted Potter, Jr.",56,33.33,15,45
207,208,206,John Senden,39,31.25,10,32
208,209,207,Justin Thomas,49,30.3,10,33
