,Proximity_to_Hole_from_20-30_yards_RANK THIS WEEK,Proximity_to_Hole_from_20-30_yards_RANK LAST WEEK,Proximity_to_Hole_from_20-30_yards_PLAYER NAME,Proximity_to_Hole_from_20-30_yards_ROUNDS,Proximity_to_Hole_from_20-30_yards_AVG DTP,Proximity_to_Hole_from_20-30_yards_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_20-30_yards_# OF SHOTS,Proximity_to_Hole_from_20-30_yards_SCRAMBLING RANK
33,T34,T41,Bud Cauley,61,"8' 3""",729.3330000000001,88,16
34,T34,T20,Nate Lashley,44,"8' 3""",439.167,53,40
35,T34,T38,Ryan Moore,54,"8' 3""",487.75,59,131
36,T34,T35,Wes Roach,45,"8' 3""",412.667,50,53
37,T34,T38,Scott Stallings,63,"8' 3""",768.4169999999999,93,159
38,T34,T15,Hudson Swafford,59,"8' 3""",529.75,64,186
39,40,T20,Rod Pampling,40,"8' 4""",467.0,56,172
40,T41,T41,Mackenzie Hughes,58,"8' 5""",511.75,61,54
41,T41,T38,Ryan Palmer,56,"8' 5""",473.417,56,112
42,T41,T44,Jordan Spieth,57,"8' 5""",701.8330000000001,83,50
43,T44,T50,Wyndham Clark,61,"8' 6""",636.5,75,162
44,T44,T47,Adam Long,52,"8' 6""",570.75,67,109
45,T44,T47,Ollie Schniederjans,63,"8' 6""",661.6669999999999,78,151
46,T44,T50,Adam Svensson,51,"8' 6""",459.333,54,150
47,T44,T50,Chris Thompson,34,"8' 6""",357.083,42,167
48,T44,T47,Michael Thompson,56,"8' 6""",769.8330000000001,91,22
49,T50,T50,Jason Dufner,56,"8' 7""",471.5,55,197
50,T50,T50,Rickie Fowler,54,"8' 7""",590.8330000000001,69,47
51,T50,T50,Matt Jones,67,"8' 7""",814.4169999999999,95,38
52,T50,T50,Si Woo Kim,65,"8' 7""",574.8330000000001,67,13
53,T50,T58,Roger Sloan,62,"8' 7""",686.75,80,166
54,T50,T50,Brian Stuard,76,"8' 7""",636.3330000000001,74,6
55,T56,T58,Sam Burns,66,"8' 8""",828.0,96,135
56,T56,T58,Paul Casey,51,"8' 8""",380.667,44,134
57,T56,T58,Ernie Els,43,"8' 8""",354.833,41,17
58,T56,T58,Charley Hoffman,58,"8' 8""",495.75,57,178
59,T56,T64,Sam Saunders,53,"8' 8""",570.6669999999999,66,55
60,T56,T71,Chris Stroud,54,"8' 8""",618.0830000000001,71,69
61,T56,T44,Cameron Tringale,52,"8' 8""",450.917,52,49
62,T56,T58,Tiger Woods,31,"8' 8""",258.91700000000003,30,107
63,T64,T64,Freddie Jacobson,37,"8' 9""",378.0,43,193
64,T64,T64,Chez Reavie,67,"8' 9""",412.75,47,100
65,T64,T64,Adam Scott,41,"8' 9""",384.833,44,24
66,T64,T83,Webb Simpson,53,"8' 9""",708.5,81,2
67,T64,T71,Shawn Stefani,57,"8' 9""",588.75,67,82
68,T64,T64,Henrik Stenson,46,"8' 9""",453.833,52,42
69,T64,T64,Gary Woodland,63,"8' 9""",532.9169999999999,61,169
70,T71,T71,Bronson Burgoon,37,"8' 10""",308.16700000000003,35,175
71,T71,T41,Roberto Castro,54,"8' 10""",493.583,56,20
72,T71,T100,Alex Cejka,41,"8' 10""",354.667,40,152
73,T71,T64,Fabián Gómez,44,"8' 10""",449.25,51,79
74,T71,T77,Sungjae Im,88,"8' 10""",886.9169999999999,100,44
75,T71,T88,Kyle Jones,49,"8' 10""",397.333,45,122
76,T71,T71,Kevin Kisner,65,"8' 10""",564.75,64,73
77,T71,T29,José de Jesús Rodríguez,51,"8' 10""",691.75,78,88
78,T79,T77,Lucas Bjerregaard,37,"8' 11""",338.333,38,203
79,T79,T71,Scott Brown,66,"8' 11""",641.25,72,99
80,T79,T71,Sergio Garcia,39,"8' 11""",524.4169999999999,59,143
81,T79,T77,Peter Malnati,64,"8' 11""",640.3330000000001,72,32
82,T79,T77,Denny McCarthy,63,"8' 11""",605.5,68,10
83,T79,T77,Grayson Murray,36,"8' 11""",346.667,39,205
84,T85,T83,Tyrrell Hatton,46,"9' 0""",403.417,45,209
85,T85,T83,Russell Henley,56,"9' 0""",450.5,50,23
86,T85,T106,Jim Knous,55,"9' 0""",513.1669999999999,57,155
87,T85,T83,Keith Mitchell,64,"9' 0""",701.3330000000001,78,176
88,T85,T88,Sebastián Muñoz,58,"9' 0""",685.8330000000001,76,157
89,T85,T83,J.T. Poston,76,"9' 0""",812.0830000000001,90,25
90,T85,T94,Sepp Straka,48,"9' 0""",468.333,52,195
91,T92,T88,Abraham Ancer,69,"9' 1""",619.9169999999999,68,48
92,T92,T88,Branden Grace,62,"9' 1""",500.25,55,190
93,T92,999,Martin Piller,30,"9' 1""",336.333,37,67
94,T92,T88,Kyle Stanley,53,"9' 1""",381.5,42,141
95,T92,T136,Bubba Watson,47,"9' 1""",647.8330000000001,71,21
96,T97,T127,Ben Crane,41,"9' 2""",376.083,41,75
97,T97,T94,Jason Day,45,"9' 2""",375.417,41,129
98,T97,T94,Marc Leishman,52,"9' 2""",413.833,45,18
99,T97,T77,Seth Reeves,52,"9' 2""",714.75,78,191
100,T97,T94,John Senden,39,"9' 2""",394.083,43,156
101,T102,T100,Rafa Cabrera Bello,57,"9' 3""",584.75,63,65
102,T102,T100,Brandon Harkins,67,"9' 3""",747.5830000000001,81,199
103,T102,T116,Brian Harman,67,"9' 3""",792.9169999999999,86,140
104,T102,T94,Tom Hoge,70,"9' 3""",620.9169999999999,67,148
105,T102,T100,Michael Kim,51,"9' 3""",497.833,54,206
106,T102,T100,Anirban Lahiri,54,"9' 3""",592.0830000000001,64,83
107,T102,T100,Haotong Li,32,"9' 3""",323.08299999999997,35,100
108,T102,T116,Nick Taylor,70,"9' 3""",978.3330000000001,106,113
109,T102,T116,Danny Willett,47,"9' 3""",451.75,49,163
110,T111,T106,Aaron Baddeley,51,"9' 4""",618.6669999999999,66,4
111,T111,T127,Dominic Bozzelli,53,"9' 4""",617.6669999999999,66,125
112,T111,T106,Keegan Bradley,65,"9' 4""",513.0,55,111
113,T111,T106,Tommy Fleetwood,43,"9' 4""",316.83299999999997,34,7
114,T111,T116,Joey Garber,44,"9' 4""",410.833,44,68
115,T111,T106,Billy Horschel,73,"9' 4""",764.4169999999999,82,77
116,T111,T94,Hank Lebioda,55,"9' 4""",567.0830000000001,61,173
117,T111,T106,Kyoung-Hoon Lee,72,"9' 4""",699.5,75,149
118,T111,T106,Rory McIlroy,50,"9' 4""",496.167,53,128
119,T111,T106,Alex Noren,49,"9' 4""",562.1669999999999,60,180
120,T111,T106,Jon Rahm,51,"9' 4""",399.917,43,71
121,T111,T88,Kevin Tway,62,"9' 4""",735.9169999999999,79,46
122,T123,T140,Daniel Berger,48,"9' 5""",747.0,79,127
123,T123,T116,Ryan Blaum,67,"9' 5""",873.4169999999999,93,108
124,T123,T116,Brice Garnett,63,"9' 5""",743.8330000000001,79,196
125,T123,T116,Martin Kaymer,38,"9' 5""",433.167,46,121
126,T123,T136,Martin Laird,60,"9' 5""",891.5,95,116
127,T123,T106,Scott Piercy,70,"9' 5""",722.4169999999999,77,27
128,T123,T116,Aaron Wise,52,"9' 5""",705.1669999999999,75,201
129,T130,T148,Harris English,72,"9' 6""",953.9169999999999,100,70
130,T130,T127,Chesson Hadley,58,"9' 6""",665.0,70,145
131,T130,T127,James Hahn,34,"9' 6""",199.167,21,171
132,T130,T127,Luke List,52,"9' 6""",550.0,58,181
133,T130,T127,Phil Mickelson,41,"9' 6""",560.6669999999999,59,165
134,T130,T116,Ben Silverman,54,"9' 6""",571.8330000000001,60,109
135,T130,T127,Brendan Steele,50,"9' 6""",437.833,46,194
136,T130,T127,Vaughn Taylor,69,"9' 6""",886.8330000000001,93,52
137,T130,T140,Harold Varner III,62,"9' 6""",740.9169999999999,78,100
138,T139,T136,Patrick Cantlay,49,"9' 7""",429.917,45,1
139,T139,T148,Roberto Díaz,51,"9' 7""",548.4169999999999,57,63
140,T139,T116,Matt Kuchar,65,"9' 7""",710.8330000000001,74,9
141,T139,T140,Curtis Luck,51,"9' 7""",525.5,55,87
142,T139,T116,Chase Wright,53,"9' 7""",537.0,56,146
143,T144,T140,Joel Dahmen,78,"9' 8""",860.0,89,142
144,T144,T140,John Huh,35,"9' 8""",424.25,44,78
145,T144,T140,Patton Kizzire,58,"9' 8""",724.4169999999999,75,159
146,T144,T127,Richy Werenski,63,"9' 8""",789.6669999999999,82,118
147,T148,T146,Whee Kim,57,"9' 9""",439.75,45,164
148,T148,999,Shane Lowry,30,"9' 9""",291.33299999999997,30,115
149,T148,T146,Hunter Mahan,45,"9' 9""",546.1669999999999,56,177
150,T151,T168,Jonathan Byrd,43,"9' 10""",483.333,49,11
151,T151,T148,Satoshi Kodaira,51,"9' 10""",610.6669999999999,62,208
152,153,T151,Kevin Streelman,63,"9' 11""",634.75,64,93
153,T154,T155,Tony Finau,61,"10' 0""",649.0,65,64
154,T154,T155,Brian Gay,79,"10' 0""",1117.5,112,60
155,T154,T155,David Hearn,41,"10' 0""",369.75,37,93
156,T154,T155,J.B. Holmes,54,"10' 0""",541.0830000000001,54,138
157,T154,T155,Sung Kang,67,"10' 0""",818.5830000000001,82,50
158,T154,T155,Russell Knox,65,"10' 0""",618.0830000000001,62,41
159,T154,T155,C.T. Pan,64,"10' 0""",682.3330000000001,68,37
160,T154,T163,Adam Schenk,80,"10' 0""",840.75,84,90
161,T154,T155,Jhonattan Vegas,60,"10' 0""",853.1669999999999,85,114
162,T163,T163,Stewart Cink,33,"10' 1""",372.417,37,188
163,T163,T151,Kelly Kraft,67,"10' 1""",926.3330000000001,92,179
164,T163,T168,Martin Trainer,51,"10' 1""",856.5830000000001,85,161
165,T166,T177,Jonas Blixt,66,"10' 2""",882.25,87,95
166,T166,T136,Bill Haas,58,"10' 2""",906.1669999999999,89,89
167,T166,T189,Brooks Koepka,49,"10' 2""",366.417,36,84
168,T166,167,Patrick Rodgers,44,"10' 2""",640.1669999999999,63,154
169,T166,T189,D.J. Trahan,33,"10' 2""",285.08299999999997,28,28
170,T171,T168,Cameron Champ,58,"10' 3""",750.5,73,207
171,T171,T151,Corey Conners,62,"10' 3""",623.9169999999999,61,185
172,T171,T168,Chris Kirk,47,"10' 3""",501.083,49,98
173,T171,T163,Scott Langley,60,"10' 3""",840.6669999999999,82,100
174,T171,T177,Danny Lee,66,"10' 3""",930.8330000000001,91,90
175,T171,T168,D.A. Points,33,"10' 3""",236.5,23,131
176,T177,T186,Tyler Duncan,66,"10' 4""",669.6669999999999,65,181
177,T177,T173,Justin Harding,31,"10' 4""",259.25,25,184
178,T177,T173,Trey Mullinax,67,"10' 4""",823.75,80,100
179,T177,T177,Carlos Ortiz,60,"10' 4""",743.9169999999999,72,153
180,T181,T177,Kiradech Aphibarnrat,49,"10' 5""",685.0830000000001,66,31
181,T181,T177,Emiliano Grillo,65,"10' 5""",552.3330000000001,53,170
182,T181,T173,Adam Hadwin,66,"10' 5""",679.1669999999999,65,120
183,T181,T177,Andrew Landry,56,"10' 5""",604.3330000000001,58,119
184,T181,T177,Alex Prugh,54,"10' 5""",479.417,46,198
185,T181,999,Tyrone Van Aswegen,30,"10' 5""",302.66700000000003,29,13
186,T187,T186,Cameron Davis,54,"10' 6""",502.917,48,72
187,T187,T193,Cody Gribble,52,"10' 6""",753.1669999999999,72,204
188,T187,T163,J.J. Henry,42,"10' 6""",534.1669999999999,51,58
189,T187,T177,Seamus Power,58,"10' 6""",985.4169999999999,94,105
190,T187,T186,Andrew Putnam,57,"10' 6""",837.4169999999999,80,123
191,192,T189,Joaquin Niemann,68,"10' 7""",721.5830000000001,68,123
192,T193,T189,"Ted Potter, Jr.",56,"10' 8""",640.6669999999999,60,200
193,T193,T173,Josh Teater,47,"10' 8""",521.0,49,147
194,T195,T193,Matthew Fitzpatrick,42,"10' 9""",463.917,43,187
195,T195,T193,Max Homa,61,"10' 9""",771.8330000000001,72,86
196,T197,T197,John Chin,38,"10' 10""",400.917,37,192
197,T197,T197,Pat Perez,52,"10' 10""",640.1669999999999,59,73
198,T197,T177,Brady Schnell,38,"10' 10""",324.25,30,57
199,T197,T193,J.J. Spaun,68,"10' 10""",874.5,81,131
200,T201,204,Anders Albertson,48,"10' 11""",620.0,57,59
201,T201,T201,Sam Ryder,52,"10' 11""",663.5,61,43
202,T203,T201,Austin Cook,50,"11' 0""",660.4169999999999,60,173
203,T203,T197,Graeme McDowell,61,"11' 0""",690.9169999999999,63,33
204,T205,205,Jim Herman,37,"11' 1""",441.667,40,183
205,T205,203,Robert Streb,60,"11' 1""",553.6669999999999,50,66
206,207,207,Sangmoon Bae,42,"11' 2""",424.917,38,106
207,208,T197,Talor Gooch,37,"11' 4""",408.083,36,97
208,209,206,Johnson Wagner,45,"11' 5""",535.1669999999999,47,158
