,Proximity_to_Hole_from_Other_Locations_RANK THIS WEEK,Proximity_to_Hole_from_Other_Locations_RANK LAST WEEK,Proximity_to_Hole_from_Other_Locations_PLAYER NAME,Proximity_to_Hole_from_Other_Locations_ROUNDS,Proximity_to_Hole_from_Other_Locations_AVG DTP,Proximity_to_Hole_from_Other_Locations_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_Other_Locations_# OF SHOTS,Proximity_to_Hole_from_Other_Locations_SCRAMBLING RANK
31,T32,T24,Tyler Duncan,66,"5' 10""",7.947,114,181
32,T32,T30,Brice Garnett,63,"5' 10""",7.417999999999999,106,196
33,T32,T30,Louis Oosthuizen,43,"5' 10""",2.949,42,62
34,T32,T30,Kevin Streelman,63,"5' 10""",8.767000000000001,125,93
35,T36,T36,Stewart Cink,33,"5' 11""",3.495,49,188
36,T36,T36,Jason Dufner,56,"5' 11""",5.638999999999999,79,197
37,T36,T36,Kevin Kisner,65,"5' 11""",6.212999999999999,88,73
38,T36,T36,Andrew Landry,56,"5' 11""",9.202,130,119
39,T36,T36,Hideki Matsuyama,59,"5' 11""",6.723,95,11
40,T36,T36,Chez Reavie,67,"5' 11""",5.624,79,100
41,T36,T30,Brandt Snedeker,68,"5' 11""",10.26,144,34
42,T36,T36,Brian Stuard,76,"5' 11""",10.091000000000001,142,6
43,T44,T45,Abraham Ancer,69,"6' 0""",8.763,122,48
44,T44,T56,Stephan Jaeger,59,"6' 0""",8.815,123,29
45,T44,T51,Martin Laird,60,"6' 0""",9.697000000000001,134,116
46,T44,T45,Luke List,52,"6' 0""",6.94,97,181
47,T44,T45,Adam Long,52,"6' 0""",6.795,94,109
48,T44,T63,Graeme McDowell,61,"6' 0""",6.4270000000000005,89,33
49,T44,T45,Francesco Molinari,41,"6' 0""",4.6819999999999995,65,26
50,T44,T30,Webb Simpson,53,"6' 0""",7.079,98,2
51,T44,T36,Aaron Wise,52,"6' 0""",6.705,93,201
52,T53,T51,Scott Brown,66,"6' 1""",7.582000000000001,104,99
53,T53,T51,D.A. Points,33,"6' 1""",4.02,55,131
54,T53,T30,José de Jesús Rodríguez,51,"6' 1""",7.506,103,88
55,T53,T51,Justin Rose,42,"6' 1""",4.143,57,30
56,T53,T63,Bubba Watson,47,"6' 1""",7.131,98,21
57,T58,T51,Corey Conners,62,"6' 2""",5.712000000000001,77,185
58,T58,T56,Branden Grace,62,"6' 2""",6.872000000000001,93,190
59,T58,T63,Joaquin Niemann,68,"6' 2""",8.383,113,123
60,T58,T56,Patrick Reed,53,"6' 2""",8.285,112,96
61,T58,T63,Robert Streb,60,"6' 2""",8.48,114,66
62,T58,T56,Nick Taylor,70,"6' 2""",10.927,147,113
63,T58,T45,Jimmy Walker,61,"6' 2""",8.916,121,34
64,T65,T63,Rafa Cabrera Bello,57,"6' 3""",6.8,91,65
65,T65,T56,Matt Every,38,"6' 3""",4.896,65,202
66,T65,T63,Tommy Fleetwood,43,"6' 3""",5.739,77,7
67,T65,T63,Charley Hoffman,58,"6' 3""",5.155,69,178
68,T65,T56,Hank Lebioda,55,"6' 3""",6.112,81,173
69,T65,T86,Rory McIlroy,50,"6' 3""",4.655,62,128
70,T65,T86,Ryan Palmer,56,"6' 3""",7.359,98,112
71,T65,T71,Ollie Schniederjans,63,"6' 3""",10.794,143,151
72,T73,T86,Anders Albertson,48,"6' 4""",7.4879999999999995,98,59
73,T73,T71,Ryan Armour,66,"6' 4""",8.068999999999999,106,5
74,T73,T71,Wyndham Clark,61,"6' 4""",9.062999999999999,120,162
75,T73,T78,Julián Etulain,55,"6' 4""",7.044,93,56
76,T73,T78,Jim Furyk,53,"6' 4""",5.5120000000000005,73,8
77,T73,T63,Joey Garber,44,"6' 4""",5.472,72,68
78,T73,T56,Russell Henley,56,"6' 4""",7.879,104,23
79,T73,T71,Charles Howell III,64,"6' 4""",8.141,107,81
80,T73,T71,Matt Jones,67,"6' 4""",8.642999999999999,113,38
81,T73,T78,Matt Kuchar,65,"6' 4""",7.859,103,9
82,T73,T86,Scott Langley,60,"6' 4""",9.549,125,100
83,T73,T71,Ryan Moore,54,"6' 4""",10.593,139,131
84,T73,T71,Cameron Smith,55,"6' 4""",5.142,68,90
85,T86,T86,Harris English,72,"6' 5""",13.917,180,70
86,T86,T78,Matthew Fitzpatrick,42,"6' 5""",5.485,71,187
87,T86,T86,J.B. Holmes,54,"6' 5""",5.529,72,138
88,T86,T78,Chris Kirk,47,"6' 5""",8.882,116,98
89,T86,T78,Phil Mickelson,41,"6' 5""",4.446000000000001,58,165
90,T86,T78,Rory Sabbatini,71,"6' 5""",11.1,144,19
91,T86,T78,Jordan Spieth,57,"6' 5""",9.048,117,50
92,T93,T86,Jason Day,45,"6' 6""",3.59,46,129
93,T93,T86,Bryson DeChambeau,45,"6' 6""",9.392999999999999,120,61
94,T93,T86,Ernie Els,43,"6' 6""",6.153,79,17
95,T93,T86,Troy Merritt,42,"6' 6""",6.981,90,130
96,T93,T103,Sebastián Muñoz,58,"6' 6""",8.693999999999999,111,157
97,T93,T86,C.T. Pan,64,"6' 6""",10.605,136,37
98,T93,T86,Pat Perez,52,"6' 6""",5.614,72,73
99,T93,T86,Vaughn Taylor,69,"6' 6""",10.795,139,52
100,T93,T86,Richy Werenski,63,"6' 6""",11.729000000000001,150,118
101,T102,T103,Sam Burns,66,"6' 7""",12.860999999999999,163,135
102,T102,T103,Rickie Fowler,54,"6' 7""",7.768,98,47
103,T102,T103,Jason Kokrak,68,"6' 7""",10.710999999999999,136,75
