,Scrambling_10-20_yds_RTP_Score_RANK THIS WEEK,Scrambling_10-20_yds_RTP_Score_RANK LAST WEEK,Scrambling_10-20_yds_RTP_Score_PLAYER NAME,Scrambling_10-20_yds_RTP_Score_ROUNDS,Scrambling_10-20_yds_RTP_Score_AVG RTP,Scrambling_10-20_yds_RTP_Score_TOTAL HOLES,Scrambling_10-20_yds_RTP_Score_TOTAL RTP
75,T75,T75,Julián Etulain,55,0.33299999999999996,114,38.0
76,T75,T103,Brady Schnell,38,0.33299999999999996,72,24.0
77,T75,T94,D.J. Trahan,33,0.33299999999999996,54,18.0
78,T79,78,Anirban Lahiri,54,0.336,134,45.0
79,T79,T75,Carlos Ortiz,60,0.336,125,42.0
80,81,T80,Russell Henley,56,0.33799999999999997,136,46.0
81,T82,79,Trey Mullinax,67,0.341,132,45.0
82,T82,T94,Ryan Palmer,56,0.341,91,31.0
83,T82,999,Martin Piller,30,0.341,44,15.0
84,T85,T137,David Hearn,41,0.342,73,25.0
85,T85,82,J.T. Poston,76,0.342,193,66.0
86,T87,T115,Joaquin Niemann,68,0.34299999999999997,140,48.0
87,T87,91,Sam Saunders,53,0.34299999999999997,140,48.0
88,T89,T60,Anders Albertson,48,0.344,90,31.0
89,T89,T80,Johnson Wagner,45,0.344,93,32.0
90,T91,T84,Byeong Hun An,54,0.345,116,40.0
91,T91,T84,Matt Jones,67,0.345,113,39.0
92,T93,72,Kyle Jones,49,0.34600000000000003,107,37.0
93,T93,T88,Jason Kokrak,68,0.34600000000000003,130,45.0
94,95,90,Freddie Jacobson,37,0.34700000000000003,72,25.0
95,T96,T101,Zach Johnson,50,0.348,115,40.0
96,T96,T97,Adam Schenk,80,0.348,161,56.0
97,T98,T117,Matt Kuchar,65,0.349,109,38.0
98,T98,T92,Hunter Mahan,45,0.349,86,30.0
99,T98,T92,Gary Woodland,63,0.349,106,37.0
100,T101,T115,Daniel Berger,48,0.35,120,42.0
101,T101,T94,Ryan Blaum,67,0.35,160,56.0
102,T103,T110,Joey Garber,44,0.35100000000000003,74,26.0
103,T103,T97,Emiliano Grillo,65,0.35100000000000003,111,39.0
104,T103,T97,Michael Kim,51,0.35100000000000003,114,40.0
105,T106,T101,Ryan Armour,66,0.353,136,48.0
106,T106,170,Alex Noren,49,0.353,85,30.0
107,108,T103,Troy Merritt,42,0.354,82,29.0
108,T109,T97,Brandon Harkins,67,0.355,141,50.0
109,T109,T106,Max Homa,61,0.355,141,50.0
110,T111,108,John Huh,35,0.35600000000000004,73,26.0
111,T111,T88,Shawn Stefani,57,0.35600000000000004,87,31.0
112,T113,T143,Rory McIlroy,50,0.35700000000000004,70,25.0
113,T113,109,Patrick Reed,53,0.35700000000000004,98,35.0
114,T113,T129,Chris Thompson,34,0.35700000000000004,56,20.0
115,T116,T103,Jonas Blixt,66,0.359,153,55.0
116,T116,T110,Paul Casey,51,0.359,78,28.0
117,118,83,Brice Garnett,63,0.36,111,40.0
118,T119,T112,Patton Kizzire,58,0.361,97,35.0
119,T119,T112,Adam Long,52,0.361,119,43.0
120,T119,T112,Ian Poulter,49,0.361,72,26.0
121,122,T122,Nick Watney,67,0.36200000000000004,116,42.0
122,T123,T122,Scott Langley,60,0.364,151,55.0
123,T123,T117,Justin Rose,42,0.364,66,24.0
124,T125,T84,Cameron Davis,54,0.365,115,42.0
125,T125,T134,Cameron Tringale,52,0.365,85,31.0
126,T125,T106,Peter Uihlein,65,0.365,137,50.0
127,T128,T122,Kiradech Aphibarnrat,49,0.369,84,31.0
128,T128,T143,Cody Gribble,52,0.369,122,45.0
129,T130,T125,Tyrrell Hatton,46,0.37,73,27.0
130,T130,T125,Kevin Kisner,65,0.37,127,47.0
131,T130,T120,Roger Sloan,62,0.37,138,51.0
132,133,127,Sam Burns,66,0.371,151,56.0
133,T134,161,Adam Hadwin,66,0.37200000000000005,137,51.0
134,T134,T120,Nick Taylor,70,0.37200000000000005,180,67.0
135,136,T140,Ben Silverman,54,0.373,110,41.0
136,137,128,Kyoung-Hoon Lee,72,0.374,115,43.0
137,T138,T140,Tom Hoge,70,0.375,128,48.0
138,T138,T129,Keith Mitchell,64,0.375,104,39.0
139,T138,T129,Martin Trainer,51,0.375,128,48.0
140,T141,T132,Joel Dahmen,78,0.376,149,56.0
141,T141,119,Curtis Luck,51,0.376,101,38.0
142,T141,150,José de Jesús Rodríguez,51,0.376,117,44.0
143,T144,T137,Jim Knous,55,0.377,106,40.0
144,T144,149,Sebastián Muñoz,58,0.377,114,43.0
145,146,136,Louis Oosthuizen,43,0.37799999999999995,82,31.0
146,T147,T140,Matthew Fitzpatrick,42,0.38,71,27.0
147,T147,T132,Kramer Hickok,59,0.38,121,46.0
148,149,T146,Jim Herman,37,0.381,84,32.0
149,150,145,Talor Gooch,37,0.382,76,29.0
150,151,T146,Andrew Landry,56,0.38299999999999995,128,49.0
151,T152,151,Martin Laird,60,0.385,122,47.0
152,T152,148,Kyle Stanley,53,0.385,91,35.0
153,T154,T134,Whee Kim,57,0.39,82,32.0
154,T154,T157,Ollie Schniederjans,63,0.39,136,53.0
155,T156,T153,Charley Hoffman,58,0.391,87,34.0
156,T156,T153,Luke List,52,0.391,115,45.0
157,158,T155,Abraham Ancer,69,0.392,153,60.0
158,159,T162,Sepp Straka,48,0.39299999999999996,84,33.0
159,T160,152,Austin Cook,50,0.39399999999999996,104,41.0
160,T160,T171,Sergio Garcia,39,0.39399999999999996,66,26.0
161,162,T159,Scott Stallings,63,0.396,139,55.0
162,T163,T159,Jhonattan Vegas,60,0.4,110,44.0
163,T163,T166,Richy Werenski,63,0.4,150,60.0
164,165,176,Danny Willett,47,0.402,97,39.0
165,T166,T162,Jason Day,45,0.40299999999999997,72,29.0
166,T166,T162,Chesson Hadley,58,0.40299999999999997,129,52.0
167,T166,T162,Chez Reavie,67,0.40299999999999997,119,48.0
168,169,T166,Tiger Woods,31,0.40399999999999997,52,21.0
169,170,168,Bronson Burgoon,37,0.405,79,32.0
170,T171,181,Mackenzie Hughes,58,0.40700000000000003,140,57.0
171,T171,169,Phil Mickelson,41,0.40700000000000003,91,37.0
172,173,178,J.B. Holmes,54,0.408,76,31.0
173,T174,T155,Kelly Kraft,67,0.41,139,57.0
174,T174,T171,Jon Rahm,51,0.41,83,34.0
175,176,T173,Sung Kang,67,0.41100000000000003,146,60.0
176,177,175,D.A. Points,33,0.414,70,29.0
177,178,T173,Chase Wright,53,0.41600000000000004,113,47.0
178,179,T157,Scott Brown,66,0.418,141,59.0
179,180,177,Patrick Rodgers,44,0.42,100,42.0
180,181,T137,Ben Crane,41,0.423,71,30.0
181,T182,182,John Senden,39,0.429,70,30.0
182,T182,T179,Josh Teater,47,0.429,77,33.0
183,184,183,Jason Dufner,56,0.431,102,44.0
184,185,T179,Chris Stroud,54,0.43799999999999994,121,53.0
185,186,185,Branden Grace,62,0.439,107,47.0
186,187,184,Roberto Díaz,51,0.44,100,44.0
187,188,198,Rod Pampling,40,0.441,68,30.0
188,189,187,Adam Svensson,51,0.44299999999999995,106,47.0
189,190,188,Justin Harding,31,0.444,36,16.0
190,191,189,James Hahn,34,0.447,38,17.0
191,192,186,Corey Conners,62,0.44799999999999995,87,39.0
192,193,T190,Aaron Wise,52,0.451,71,32.0
193,194,T192,Hudson Swafford,59,0.452,124,56.0
194,195,T190,Tony Finau,61,0.45299999999999996,106,48.0
195,196,T192,Brendan Steele,50,0.455,99,45.0
196,197,197,Keegan Bradley,65,0.45799999999999996,96,44.0
197,198,195,Tyler Duncan,66,0.462,119,55.0
198,199,196,Satoshi Kodaira,51,0.46299999999999997,108,50.0
199,200,194,Alex Prugh,54,0.465,99,46.0
200,201,199,"Ted Potter, Jr.",56,0.47700000000000004,128,61.0
201,202,200,Seth Reeves,52,0.495,111,55.0
202,203,207,Matt Every,38,0.5,68,34.0
203,204,203,Hank Lebioda,55,0.506,89,45.0
204,205,202,Cameron Champ,58,0.509,116,59.0
205,T206,201,Alex Cejka,41,0.513,76,39.0
206,T206,204,Grayson Murray,36,0.513,78,40.0
207,208,205,Lucas Bjerregaard,37,0.526,57,30.0
208,209,206,John Chin,38,0.5379999999999999,52,28.0
