,Driving_Pct._240-260_Measured_RANK THIS WEEK,Driving_Pct._240-260_Measured_RANK LAST WEEK,Driving_Pct._240-260_Measured_PLAYER NAME,Driving_Pct._240-260_Measured_ROUNDS,Driving_Pct._240-260_Measured_%,Driving_Pct._240-260_Measured_TOTAL DRIVES FOR 240-260,Driving_Pct._240-260_Measured_TOTAL DRVS - OVERALL,Driving_Pct._240-260_Measured_RELATIVE TO PAR
169,170,167,Adam Schenk,80,1.92,3.0,156,+0.33
170,T171,T172,Abraham Ancer,69,1.79,2.0,112,+0.50
171,T171,T172,Tommy Fleetwood,43,1.79,1.0,56,-1.00
172,T171,T169,Sergio Garcia,39,1.79,1.0,56,E
173,174,T172,Carlos Ortiz,60,1.72,2.0,116,-0.50
174,T175,T169,Brooks Koepka,49,1.67,1.0,60,E
175,T175,T172,Harold Varner III,62,1.67,2.0,120,+0.50
176,177,171,D.J. Trahan,33,1.61,1.0,62,-1.00
177,178,177,Brandon Harkins,67,1.59,2.0,126,-0.50
178,179,176,Alex Noren,49,1.47,1.0,68,E
179,T180,T180,Patrick Cantlay,49,1.39,1.0,72,+1.00
180,T180,178,Dustin Johnson,47,1.39,1.0,72,-1.00
181,T180,T180,Grayson Murray,36,1.39,1.0,72,E
182,183,179,Talor Gooch,37,1.35,1.0,74,E
183,184,182,Bryson DeChambeau,45,1.32,1.0,76,E
184,185,T183,Charley Hoffman,58,1.19,1.0,84,-1.00
185,186,186,Hideki Matsuyama,59,1.14,1.0,88,-1.00
186,T187,187,Anirban Lahiri,54,1.09,1.0,92,-1.00
187,T187,T183,Sepp Straka,48,1.09,1.0,92,E
188,T187,T183,Kevin Tway,62,1.09,1.0,92,E
189,190,T188,Gary Woodland,63,1.04,1.0,96,-1.00
190,T191,T190,Charles Howell III,64,1.02,1.0,98,E
191,T191,T190,Keith Mitchell,64,1.02,1.0,98,E
192,193,T188,Alex Prugh,54,1.0,1.0,100,+1.00
193,194,T190,Martin Trainer,51,0.98,1.0,102,-1.00
194,195,193,Russell Knox,65,0.93,1.0,108,+1.00
195,196,194,Wyndham Clark,61,0.85,1.0,118,-1.00
196,197,195,Trey Mullinax,67,0.79,1.0,126,-1.00
197,198,196,Sam Burns,66,0.78,1.0,128,E
198,199,197,J.T. Poston,76,0.69,1.0,144,E
199,T200,T198,Byeong Hun An,54,0.0,,78,E
200,T200,T198,Lucas Bjerregaard,37,0.0,,44,E
201,T200,T198,Justin Harding,31,0.0,,24,E
202,T200,T198,Martin Kaymer,38,0.0,,68,E
203,T200,T198,Louis Oosthuizen,43,0.0,,48,E
204,T200,T198,Seth Reeves,52,0.0,,100,E
205,T200,T198,Justin Rose,42,0.0,,64,E
206,T200,T198,Ollie Schniederjans,63,0.0,,114,E
207,T200,T198,Matt Wallace,31,0.0,,44,E
208,T200,T198,Bubba Watson,47,0.0,,72,E
