,Apex_Height_RANK THIS WEEK,Apex_Height_RANK LAST WEEK,Apex_Height_PLAYER NAME,Apex_Height_ROUNDS,Apex_Height_AVG.,Apex_Height_TOTAL APEX HEIGHT,Apex_Height_TOTAL ATTEMPTS,Apex_Height_HIGHEST APEX POINT,Apex_Height_LOWEST APEX POINT
64,65,63,Michael Kim,51,"104' 3""",3022',29,,"66' 11"""
65,66,64,Adam Schenk,80,"103' 11""",8523',82,,"70' 2"""
66,T67,T78,Harris English,72,"103' 9""","9231' 9""",89,,"71' 3"""
67,T67,T78,Ryan Palmer,56,"103' 9""","7264' 6""",70,,"51' 1"""
68,69,66,Sung Kang,67,"103' 6""","4140' 0""",40,,"78' 8"""
69,70,67,Troy Merritt,42,"103' 5""","3723' 3""",36,,"75' 1"""
70,T71,T68,Chesson Hadley,58,"103' 3""","5264' 8""",51,,"68' 6"""
71,T71,T68,Pat Perez,52,"103' 3""","2684' 5""",26,,"73' 2"""
72,T71,T71,Ollie Schniederjans,63,"103' 3""","5987' 1""",58,,"42' 8"""
73,74,T71,Andrew Landry,56,"102' 10""","4112' 3""",40,,"77' 11"""
74,75,T124,Bubba Watson,47,"102' 9""",1849',18,,"74' 8"""
75,76,65,Matt Every,38,"102' 8""","3081' 2""",30,,"86' 0"""
76,T77,T107,David Hearn,41,"102' 5""",2764',27,,"79' 3"""
77,T77,85,Martin Laird,60,"102' 5""","9215' 6""",90,,"78' 3"""
78,79,T75,Kramer Hickok,59,"102' 3""","5622' 4""",55,,"65' 7"""
79,80,T75,Bronson Burgoon,37,"102' 2""","2145' 6""",21,,"62' 6"""
80,81,70,Cody Gribble,52,"102' 1""","5306' 5""",52,,"7' 4"""
81,82,73,Corey Conners,62,"102' 0""",6833',67,,"79' 11"""
82,83,87,Brandt Snedeker,68,"101' 8""","6505' 8""",64,,"76' 4"""
83,84,T80,Grayson Murray,36,"101' 4""","2128' 2""",21,,"79' 2"""
84,85,84,Richy Werenski,63,"101' 3""","8403' 6""",83,,"61' 4"""
85,86,83,Brian Stuard,76,"101' 1""",4447',44,,"59' 0"""
86,87,77,Austin Cook,50,"100' 10""","5043' 6""",50,,"60' 0"""
87,88,86,Hunter Mahan,45,"100' 8""","3423' 7""",34,,"74' 5"""
88,89,157,Sangmoon Bae,42,"100' 5""","3614' 0""",36,,"65' 4"""
89,90,T90,Scott Piercy,70,"100' 3""","5513' 1""",55,,"62' 9"""
90,T91,T90,Talor Gooch,37,"100' 2""",4405',44,,"70' 5"""
91,T91,127,Webb Simpson,53,"100' 2""","6009' 7""",60,,"72' 1"""
92,93,88,Denny McCarthy,63,"100' 1""","6404' 5""",64,,"62' 11"""
93,94,89,Joel Dahmen,78,"100' 0""","6601' 8""",66,,"60' 8"""
94,95,T90,Bud Cauley,61,"99' 10""","7389' 3""",74,,"71' 2"""
95,T96,T90,Patrick Cantlay,49,"99' 9""",2893',29,,"62' 4"""
96,T96,T113,Wes Roach,45,"99' 9""","4490' 1""",45,,"56' 1"""
