,Driving_Pct._300-320_All_Drives_RANK THIS WEEK,Driving_Pct._300-320_All_Drives_RANK LAST WEEK,Driving_Pct._300-320_All_Drives_PLAYER NAME,Driving_Pct._300-320_All_Drives_ROUNDS,Driving_Pct._300-320_All_Drives_%,Driving_Pct._300-320_All_Drives_TOTAL DRIVES FOR 300-320,Driving_Pct._300-320_All_Drives_TOTAL DRIVES - OVERALL,Driving_Pct._300-320_All_Drives_RELATIVE TO PAR
94,95,92,Tiger Woods,31,20.41,60,294,-0.300
95,96,93,Francesco Molinari,41,20.38,75,368,-0.080
96,97,106,Dominic Bozzelli,53,20.35,94,462,-0.340
97,98,107,Roger Sloan,62,20.21,135,668,-0.111
98,99,95,Jordan Spieth,57,20.16,127,630,-0.087
99,100,T96,Kiradech Aphibarnrat,49,20.13,93,462,-0.194
100,101,98,Tyrrell Hatton,46,20.1,84,418,-0.095
101,102,94,Adam Hadwin,66,20.09,129,642,-0.155
102,103,100,Patrick Reed,53,20.0,104,520,-0.192
103,104,108,Seamus Power,58,19.87,122,614,-0.074
104,105,101,Stewart Cink,33,19.86,58,292,-0.121
105,106,102,Kyle Stanley,53,19.82,86,434,-0.128
106,107,126,Chris Thompson,34,19.81,61,308,-0.082
107,108,104,J.T. Poston,76,19.57,175,894,-0.171
108,109,105,Billy Horschel,73,19.56,124,634,-0.048
109,110,111,Scott Piercy,70,19.46,137,704,-0.241
110,111,99,J.J. Spaun,68,19.41,125,644,-0.088
111,112,109,Sam Ryder,52,19.18,107,558,-0.159
112,113,110,Lucas Glover,62,19.11,141,738,-0.177
113,114,112,Emiliano Grillo,65,18.99,109,574,-0.193
114,115,113,Bronson Burgoon,37,18.97,77,406,-0.143
115,116,115,Martin Kaymer,38,18.91,90,476,-0.222
116,117,119,Stephan Jaeger,59,18.88,108,572,-0.185
117,118,116,Cameron Smith,55,18.83,87,462,-0.207
118,119,117,Abraham Ancer,69,18.66,128,686,-0.258
119,120,120,Jonas Blixt,66,18.65,135,724,-0.222
120,121,124,Sangmoon Bae,42,18.51,67,362,-0.134
121,122,125,Julián Etulain,55,18.29,94,514,-0.106
122,123,122,Richy Werenski,63,18.26,130,712,-0.169
123,T124,118,Talor Gooch,37,18.2,79,434,-0.241
124,T124,121,Kyoung-Hoon Lee,72,18.2,117,643,-0.120
125,126,130,Shawn Stefani,57,18.08,98,542,-0.061
126,127,133,Cameron Tringale,52,17.93,85,474,-0.259
127,128,138,Nick Taylor,70,17.88,147,822,-0.231
128,129,129,Louis Oosthuizen,43,17.77,59,332,-0.017
129,130,136,Peter Malnati,64,17.75,131,738,-0.191
130,131,128,Chris Stroud,54,17.63,98,556,-0.286
131,132,134,Wes Roach,45,17.49,71,406,-0.141
132,133,T141,Robert Streb,60,17.43,107,614,-0.112
133,134,131,Brice Garnett,63,17.36,100,576,E
134,135,132,Jason Dufner,56,17.28,94,544,-0.074
135,136,139,Kramer Hickok,59,17.19,98,570,-0.143
136,137,123,Curtis Luck,51,17.12,76,444,-0.171
137,138,127,Jim Herman,37,17.02,64,376,-0.063
138,139,137,Rory Sabbatini,71,16.89,127,752,-0.189
139,140,135,José de Jesús Rodríguez,51,16.8,82,488,-0.183
140,T141,140,Kevin Kisner,65,16.72,100,598,-0.150
141,T141,144,Matt Kuchar,65,16.72,113,676,-0.257
142,T143,T141,Justin Harding,31,16.67,28,168,-0.143
143,T143,T141,Chez Reavie,67,16.67,93,558,-0.247
144,145,145,Rafa Cabrera Bello,57,16.6,83,500,-0.265
145,146,148,Bill Haas,58,16.41,105,640,-0.286
146,147,146,Roberto Díaz,51,16.38,75,458,-0.133
147,148,149,Denny McCarthy,63,16.21,106,654,-0.274
148,149,T155,Zach Johnson,50,16.14,92,570,-0.120
149,150,150,"Ted Potter, Jr.",56,16.06,97,604,-0.052
150,151,151,Ian Poulter,49,16.04,68,424,-0.324
151,152,152,Kevin Na,54,16.02,74,462,-0.162
152,153,153,Chris Kirk,47,15.98,78,488,-0.333
153,154,T155,Pat Perez,52,15.76,64,406,-0.109
154,155,160,Joey Garber,44,15.75,57,362,-0.070
155,156,147,Rod Pampling,40,15.69,59,376,-0.136
156,157,164,Tyler Duncan,66,15.58,100,642,-0.120
157,158,154,Russell Henley,56,15.55,93,598,-0.161
158,159,158,Webb Simpson,53,15.51,98,632,-0.112
159,160,161,Brian Harman,67,15.5,106,684,-0.302
160,161,159,Charl Schwartzel,34,15.38,32,208,-0.156
161,162,157,J.J. Henry,42,15.34,58,378,-0.069
162,163,180,Graeme McDowell,61,15.29,85,556,-0.153
163,164,162,John Senden,39,15.27,51,334,-0.216
164,165,163,Austin Cook,50,15.23,74,486,-0.014
165,166,165,Tom Hoge,70,14.93,100,670,-0.240
166,167,166,Ryan Blaum,67,14.91,110,738,-0.164
167,168,167,Satoshi Kodaira,51,14.9,73,490,-0.137
168,169,168,C.T. Pan,64,14.73,86,584,-0.221
169,170,169,Freddie Jacobson,37,14.67,49,334,-0.122
170,171,170,Patton Kizzire,58,14.48,75,518,-0.067
171,172,171,Kelly Kraft,67,14.37,94,654,-0.096
172,173,176,Brandt Snedeker,68,14.29,96,672,-0.344
173,174,173,Henrik Stenson,46,14.19,67,472,-0.194
174,175,177,Scott Brown,66,14.18,95,670,-0.189
175,176,172,Troy Merritt,42,13.95,65,466,-0.215
176,177,174,Aaron Baddeley,51,13.91,74,532,-0.216
177,178,175,Anirban Lahiri,54,13.85,77,556,-0.169
178,179,178,Russell Knox,65,13.64,93,682,-0.269
179,180,179,Ernie Els,43,13.46,49,364,-0.082
180,181,182,Adam Svensson,51,13.37,69,516,-0.159
181,182,181,Matthew Fitzpatrick,42,13.05,53,406,-0.189
182,183,183,Fabián Gómez,44,12.86,54,420,-0.130
183,184,999,Martin Piller,30,12.61,30,238,-0.267
184,185,192,Ben Silverman,54,12.46,73,586,-0.027
185,186,188,Nate Lashley,44,12.44,54,434,-0.204
186,187,184,Andrew Landry,56,12.29,74,602,-0.176
187,188,185,Michael Thompson,56,12.03,84,698,-0.107
188,189,186,Whee Kim,57,11.75,51,434,+0.039
189,190,187,Michael Kim,51,11.59,57,492,-0.053
190,191,193,Brady Schnell,38,11.26,41,364,-0.146
191,192,190,Ryan Moore,54,11.17,67,600,-0.239
192,193,191,Roberto Castro,54,10.79,60,556,-0.150
193,194,189,Alex Cejka,41,10.7,40,374,-0.175
194,195,194,John Huh,35,10.58,40,378,-0.125
195,196,999,Tyrone Van Aswegen,30,10.53,28,266,-0.107
196,197,195,Kyle Jones,49,10.04,49,488,-0.184
197,198,196,Johnson Wagner,45,9.82,44,448,-0.205
198,199,197,Vaughn Taylor,69,9.65,78,808,-0.103
199,200,200,Andrew Putnam,57,8.46,43,508,-0.256
200,201,201,Brian Stuard,76,8.36,64,766,-0.078
201,202,198,Jonathan Byrd,43,8.16,32,392,-0.094
202,203,199,David Hearn,41,7.78,26,334,-0.154
203,204,202,Ryan Armour,66,7.33,50,682,-0.200
204,205,203,Brian Gay,79,7.05,57,808,-0.298
205,206,205,Jim Furyk,53,5.96,34,570,-0.059
206,207,204,D.A. Points,33,5.68,15,264,-0.067
207,208,206,Ben Crane,41,4.76,18,378,E
208,209,207,Scott Langley,60,4.33,29,670,-0.069
