,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_RANK THIS WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_RANK LAST WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_PLAYER NAME,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_ROUNDS,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_AVG (%),Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_TOTAL SHOT DISTANCE,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_TOTAL DISTANCE
90,T90,T87,Cameron Smith,55,52.87,28878.5,54625
91,92,90,Sam Ryder,52,52.85,42006.5,79480
92,93,91,Sungjae Im,88,52.83,63520.6,120225
93,94,102,Mackenzie Hughes,58,52.8,39881.0,75535
94,95,T96,J.J. Spaun,68,52.77,42331.8,80222
95,96,109,Wes Roach,45,52.75,25597.8,48528
96,97,101,Stephan Jaeger,59,52.74,37287.9,70699
97,T98,T96,Dylan Frittelli,55,52.7,41562.0,78864
98,T98,92,Charley Hoffman,58,52.7,33843.8,64220
99,100,93,Tiger Woods,31,52.69,21292.8,40411
100,T101,105,Corey Conners,62,52.66,39311.5,74652
101,T101,104,Matt Every,38,52.66,22350.5,42442
102,T101,95,Haotong Li,32,52.66,20274.4,38503
103,104,108,Roger Sloan,62,52.65,42781.0,81249
104,105,98,Matt Jones,67,52.64,43272.7,82200
105,106,99,J.T. Poston,76,52.63,61133.1,116146
106,107,100,Adam Long,52,52.62,41167.1,78239
107,108,103,Bronson Burgoon,37,52.58,25793.5,49054
108,109,106,Patton Kizzire,58,52.53,32917.8,62667
109,110,107,Kevin Streelman,63,52.48,52288.1,99633
110,111,110,Martin Kaymer,38,52.44,31564.0,60194
111,T112,111,Si Woo Kim,65,52.43,38541.7,73511
112,T112,T119,Hank Lebioda,55,52.43,35422.9,67568
113,T112,115,Josh Teater,47,52.43,28439.6,54244
114,115,112,Louis Oosthuizen,43,52.4,24100.1,45996
115,116,113,Billy Horschel,73,52.38,42288.3,80731
116,117,114,Kiradech Aphibarnrat,49,52.37,29985.2,57256
117,118,118,Peter Malnati,64,52.32,48374.6,92463
118,119,116,Francesco Molinari,41,52.31,24108.0,46090
119,120,137,Sangmoon Bae,42,52.27,22857.6,43726
120,121,117,Richy Werenski,63,52.25,48058.9,91983
121,122,T119,Denny McCarthy,63,52.23,44056.3,84348
122,123,T133,Danny Willett,47,52.2,36287.1,69521
123,124,121,Aaron Baddeley,51,52.16,37907.8,72679
124,125,122,Abraham Ancer,69,52.14,44538.7,85424
125,T126,123,Joel Dahmen,78,52.13,51894.5,99542
126,T126,T133,Cameron Tringale,52,52.13,32973.0,63252
127,T128,126,Anders Albertson,48,52.12,32226.2,61828
128,T128,T127,Webb Simpson,53,52.12,37900.7,72715
129,130,124,Charl Schwartzel,34,52.11,13656.3,26207
130,131,T127,Matt Kuchar,65,52.09,42951.2,82460
131,132,125,Jordan Spieth,57,52.05,41058.6,78876
132,133,131,Julián Etulain,55,52.02,34442.5,66216
133,T134,T129,Rafa Cabrera Bello,57,52.0,34810.9,66943
134,T134,T129,Kevin Na,54,52.0,28668.7,55130
135,T134,136,Nick Taylor,70,52.0,55946.3,107598
136,137,132,Brice Garnett,63,51.98,35759.8,68789
137,138,T139,Bill Haas,58,51.96,42972.4,82704
138,139,135,Austin Cook,50,51.94,31349.1,60360
139,140,158,Chris Thompson,34,51.91,20328.0,39163
140,141,145,Scott Brown,66,51.9,41789.1,80524
141,142,T146,Brian Harman,67,51.82,42216.2,81472
142,T143,138,Kevin Kisner,65,51.81,39726.8,76682
143,T143,142,Brandt Snedeker,68,51.81,43810.4,84562
144,145,T139,Rory Sabbatini,71,51.8,51153.9,98752
145,146,141,Jason Dufner,56,51.77,33915.0,65508
146,147,T146,Jonas Blixt,66,51.74,47240.2,91299
147,148,999,Tyrone Van Aswegen,30,51.71,16939.2,32760
148,149,T143,Chris Kirk,47,51.7,33443.3,64690
149,150,149,Shawn Stefani,57,51.66,36278.1,70228
150,151,T150,Nate Lashley,44,51.63,28415.3,55040
151,152,161,Graeme McDowell,61,51.62,33583.4,65055
152,153,148,Michael Thompson,56,51.61,45796.8,88737
153,154,T150,C.T. Pan,64,51.57,38907.9,75450
154,T155,T152,Ryan Blaum,67,51.55,49734.8,96473
155,T155,T152,Matthew Fitzpatrick,42,51.55,26403.0,51223
156,157,154,Anirban Lahiri,54,51.54,36084.3,70009
157,T158,162,Zach Johnson,50,51.51,33150.5,64362
158,T158,155,Russell Knox,65,51.51,44483.5,86361
159,160,156,Ernie Els,43,51.5,23012.2,44683
160,161,159,Jim Herman,37,51.49,23685.2,45996
161,162,T163,Kramer Hickok,59,51.48,36580.4,71060
162,163,157,John Huh,35,51.47,24661.9,47917
163,164,176,Joey Garber,44,51.46,22433.0,43591
164,T165,T163,Tom Hoge,70,51.43,42788.9,83202
165,T165,T166,José de Jesús Rodríguez,51,51.43,31810.5,61853
166,167,160,Andrew Landry,56,51.42,41297.5,80321
167,T168,170,Tyler Duncan,66,51.38,40700.5,79210
168,T168,T166,Curtis Luck,51,51.38,31373.8,61060
169,170,T163,Kyle Stanley,53,51.34,27775.4,54105
170,171,T171,Kelly Kraft,67,51.32,40710.0,79320
171,172,177,Robert Streb,60,51.31,40913.6,79734
172,173,T168,Chris Stroud,54,51.26,38155.2,74437
173,174,T168,Chez Reavie,67,51.25,35037.1,68359
174,T175,T171,Kyoung-Hoon Lee,72,51.22,41744.8,81495
175,T175,T171,"Ted Potter, Jr.",56,51.22,39342.7,76818
176,177,174,Whee Kim,57,51.17,26481.7,51755
177,178,178,J.J. Henry,42,51.14,23124.7,45222
178,179,175,Pat Perez,52,51.1,25531.1,49962
179,180,179,Michael Kim,51,50.98,32918.8,64570
180,181,180,Adam Svensson,51,50.94,34444.2,67616
181,182,T185,Rod Pampling,40,50.92,22962.4,45099
182,183,T182,Johnson Wagner,45,50.88,28193.9,55417
183,T184,184,Fabián Gómez,44,50.85,27522.7,54122
184,T184,181,Justin Harding,31,50.85,9841.5,19353
185,186,T182,Russell Henley,56,50.83,37613.2,73997
186,187,T185,Ben Silverman,54,50.82,35950.9,70741
187,188,189,Henrik Stenson,46,50.65,30709.6,60628
188,189,187,Ryan Moore,54,50.53,42340.1,83784
189,190,188,D.A. Points,33,50.5,17505.3,34663
190,191,194,Jonathan Byrd,43,50.45,25354.3,50253
191,192,190,Andrew Putnam,57,50.39,32037.5,63578
192,193,191,Satoshi Kodaira,51,50.37,31107.2,61757
193,194,192,Freddie Jacobson,37,50.3,20402.9,40563
194,195,193,Vaughn Taylor,69,50.29,53500.8,106389
195,196,195,Kyle Jones,49,50.27,31165.1,61991
196,197,198,Roberto Díaz,51,50.19,30611.5,60991
197,198,197,Roberto Castro,54,50.17,35613.2,70983
198,199,196,John Senden,39,50.11,23918.8,47734
199,200,199,Alex Cejka,41,50.04,25729.0,51417
200,201,999,Martin Piller,30,50.03,15136.0,30255
201,202,200,Brady Schnell,38,49.95,22980.0,46007
202,203,201,David Hearn,41,49.78,20599.9,41378
203,204,205,Ben Crane,41,49.72,21570.2,43382
204,205,204,Brian Gay,79,49.62,47528.0,95787
205,T206,203,Ryan Armour,66,49.55,41954.4,84679
206,T206,202,Brian Stuard,76,49.55,48780.4,98441
207,208,206,Jim Furyk,53,49.12,34596.3,70433
208,209,207,Scott Langley,60,48.73,40611.3,83336
