,Driving_Pct._300-320_Measured_RANK THIS WEEK,Driving_Pct._300-320_Measured_RANK LAST WEEK,Driving_Pct._300-320_Measured_PLAYER NAME,Driving_Pct._300-320_Measured_ROUNDS,Driving_Pct._300-320_Measured_%,Driving_Pct._300-320_Measured_TOTAL DRIVES FOR 300-320,Driving_Pct._300-320_Measured_TOTAL DRVS - OVERALL,Driving_Pct._300-320_Measured_RELATIVE TO PAR
58,59,56,Charles Howell III,64,29.59,29,98,+3.90
59,60,57,Matt Wallace,31,29.55,13,44,+4.23
60,61,59,Byeong Hun An,54,29.49,23,78,+3.74
61,T62,64,Anders Albertson,48,29.35,27,92,+3.44
62,T62,55,Keegan Bradley,65,29.35,27,92,+3.26
63,64,T60,Chesson Hadley,58,29.17,28,96,+4.00
64,65,T65,Scott Stallings,63,29.09,32,110,+3.44
65,66,T60,Seth Reeves,52,29.0,29,100,+3.59
66,67,58,Trey Mullinax,67,28.57,36,126,+3.44
67,68,71,Dominic Bozzelli,53,28.43,29,102,+3.79
68,69,999,Shane Lowry,30,28.26,13,46,+3.62
69,70,T65,Nick Watney,67,28.18,31,110,+4.00
70,T71,74,Mackenzie Hughes,58,27.78,30,108,+3.90
71,T71,T88,Dustin Johnson,47,27.78,20,72,+3.90
72,T71,T67,Hunter Mahan,45,27.78,25,90,+4.20
73,T71,76,Bubba Watson,47,27.78,20,72,+3.00
74,75,70,Danny Lee,66,27.5,33,120,+3.39
75,76,72,Martin Trainer,51,27.45,28,102,+3.68
76,77,T67,D.J. Trahan,33,27.42,17,62,+3.65
77,78,84,Cameron Tringale,52,27.08,26,96,+3.81
78,79,T81,Bud Cauley,61,27.05,33,122,+3.79
79,80,75,Francesco Molinari,41,26.92,14,52,+3.86
80,81,104,Danny Willett,47,26.83,22,82,+3.32
81,82,T77,Cameron Smith,55,26.47,18,68,+3.61
82,T83,T77,Sam Saunders,53,26.42,28,106,+3.86
83,T83,T77,Shawn Stefani,57,26.42,28,106,+3.82
84,85,80,J.T. Poston,76,26.39,38,144,+3.53
85,86,87,Stephan Jaeger,59,26.36,29,110,+3.66
86,87,T81,Max Homa,61,26.27,31,118,+3.94
87,88,83,Brendan Steele,50,26.25,21,80,+3.67
88,89,85,Adam Long,52,26.0,26,100,+3.62
89,90,86,Chase Wright,53,25.49,26,102,+3.62
90,T91,94,Jonas Blixt,66,25.0,32,128,+3.78
91,T91,T88,Cameron Champ,58,25.0,28,112,+3.14
92,T91,T88,Jason Day,45,25.0,14,56,+3.86
93,T91,T88,J.J. Henry,42,25.0,19,76,+3.74
94,T91,100,Chris Thompson,34,25.0,17,68,+3.88
95,96,92,Kevin Streelman,63,24.59,30,122,+3.50
96,97,93,Dylan Frittelli,55,24.53,26,106,+3.46
97,98,109,Robert Streb,60,24.11,27,112,+3.78
98,99,96,Jordan Spieth,57,24.0,24,100,+3.63
99,100,97,Si Woo Kim,65,23.96,23,96,+3.65
100,101,98,Matt Jones,67,23.81,30,126,+3.87
101,102,95,Roger Sloan,62,23.39,29,124,+3.83
102,T103,111,Josh Teater,47,23.33,21,90,+3.95
103,T103,999,Tyrone Van Aswegen,30,23.33,14,60,+3.57
104,105,108,Scott Piercy,70,23.28,27,116,+3.30
105,106,T101,J.J. Spaun,68,23.21,26,112,+3.50
106,107,122,Corey Conners,62,23.15,25,108,+3.28
107,T108,T101,James Hahn,34,23.08,12,52,+3.83
108,T108,T101,Charl Schwartzel,34,23.08,12,52,+3.75
109,110,99,Richy Werenski,63,22.95,28,122,+3.71
110,111,112,Denny McCarthy,63,22.88,27,118,+3.85
111,112,105,Paul Casey,51,22.73,15,66,+3.07
112,T113,114,Sungjae Im,88,22.5,36,160,+3.31
113,T113,106,Patrick Reed,53,22.5,18,80,+3.67
114,115,107,Branden Grace,62,22.37,17,76,+3.59
115,116,113,Wes Roach,45,22.09,19,86,+3.58
116,117,110,Billy Horschel,73,22.0,22,100,+3.77
117,118,115,Tyrrell Hatton,46,21.67,13,60,+3.46
118,119,116,Lucas Glover,62,21.55,25,116,+3.72
119,T120,T117,Ryan Blaum,67,21.43,27,126,+3.48
120,T120,T117,Freddie Jacobson,37,21.43,15,70,+3.73
121,122,130,Bill Haas,58,21.3,23,108,+3.48
122,123,136,Sangmoon Bae,42,21.25,17,80,+3.59
123,T124,T120,Joel Dahmen,78,21.21,28,132,+3.57
124,T124,T120,Kevin Na,54,21.21,14,66,+3.29
125,126,125,Louis Oosthuizen,43,20.83,10,48,+3.70
126,T127,T126,Jason Dufner,56,20.65,19,92,+3.37
127,T127,141,Zach Johnson,50,20.65,19,92,+3.37
128,T127,T126,Anirban Lahiri,54,20.65,19,92,+3.47
129,T130,139,Tyler Duncan,66,20.31,26,128,+3.50
130,T130,128,Kyoung-Hoon Lee,72,20.31,26,128,+3.42
131,132,T117,Jim Herman,37,20.27,15,74,+4.13
132,133,129,Charley Hoffman,58,20.24,17,84,+4.18
133,T134,T123,Roberto Díaz,51,20.21,19,94,+3.74
134,T134,T123,Curtis Luck,51,20.21,19,94,+3.63
135,T136,153,Peter Malnati,64,20.0,24,120,+3.75
136,T136,132,Chris Stroud,54,20.0,20,100,+3.85
137,138,131,Beau Hossler,66,19.83,23,116,+3.61
138,139,133,Bronson Burgoon,37,19.7,13,66,+3.62
139,140,138,Julián Etulain,55,19.61,20,102,+3.20
140,141,T134,Stewart Cink,33,19.57,9,46,+3.67
141,142,137,Rory Sabbatini,71,19.4,26,134,+3.58
142,T143,T143,Matt Every,38,19.12,13,68,+3.54
143,T143,140,Troy Merritt,42,19.12,13,68,+3.00
144,145,142,John Senden,39,18.92,14,74,+3.29
145,146,145,Brice Garnett,63,18.87,20,106,+3.75
146,147,T143,Abraham Ancer,69,18.75,21,112,+3.14
147,148,149,Scott Brown,66,18.55,23,124,+3.65
148,149,146,Russell Knox,65,18.52,20,108,+3.10
149,150,163,Brian Harman,67,18.42,21,114,+3.62
150,151,148,Ian Poulter,49,18.33,11,60,+3.36
151,152,169,Nick Taylor,70,18.18,24,132,+3.21
152,T153,147,Roberto Castro,54,18.0,18,100,+3.50
153,T153,152,Kevin Kisner,65,18.0,18,100,+3.67
154,155,156,Kramer Hickok,59,17.8,21,118,+3.29
155,T156,T154,Kiradech Aphibarnrat,49,17.65,12,68,+2.83
156,T156,T154,Martin Kaymer,38,17.65,12,68,+3.42
157,T156,183,Rod Pampling,40,17.65,12,68,+3.42
158,T156,150,José de Jesús Rodríguez,51,17.65,18,102,+3.33
159,T156,159,Brandt Snedeker,68,17.65,18,102,+3.50
160,T156,T173,Henrik Stenson,46,17.65,12,68,+3.42
161,T162,T160,Adam Hadwin,66,17.59,19,108,+2.95
162,T162,T160,Matt Kuchar,65,17.59,19,108,+3.16
163,T162,T160,Ben Silverman,54,17.59,19,108,+3.37
164,165,151,Joey Garber,44,17.5,14,80,+3.29
165,166,T164,Webb Simpson,53,17.39,16,92,+3.44
166,167,157,Kyle Stanley,53,17.19,11,64,+3.00
167,168,158,Patton Kizzire,58,17.05,15,88,+3.80
168,169,T164,Chez Reavie,67,16.67,16,96,+3.19
169,170,166,"Ted Potter, Jr.",56,16.3,15,92,+3.67
170,171,184,Graeme McDowell,61,16.04,17,106,+3.65
171,T172,T170,Austin Cook,50,15.79,12,76,+3.42
172,T172,T170,Brady Schnell,38,15.79,12,76,+3.75
173,174,168,Aaron Baddeley,51,15.69,16,102,+3.50
174,175,T173,Tom Hoge,70,15.32,19,124,+3.21
175,176,172,Ernie Els,43,15.15,10,66,+3.60
176,177,T173,C.T. Pan,64,15.0,15,100,+3.40
177,178,167,Jonathan Byrd,43,14.63,12,82,+3.58
178,179,178,Andrew Landry,56,14.58,14,96,+3.00
179,180,179,Chris Kirk,47,14.44,13,90,+3.15
180,181,T173,Russell Henley,56,14.42,15,104,+2.60
181,T182,T173,Nate Lashley,44,14.29,12,84,+3.42
182,T182,180,Michael Thompson,56,14.29,16,112,+3.63
183,184,181,Satoshi Kodaira,51,13.89,10,72,+2.20
184,185,187,Fabián Gómez,44,13.64,12,88,+3.50
185,186,182,Kelly Kraft,67,13.56,16,118,+3.13
186,187,189,Adam Svensson,51,13.27,13,98,+2.54
187,T188,T185,Rafa Cabrera Bello,57,13.16,10,76,+2.70
188,T188,T185,Pat Perez,52,13.16,10,76,+3.20
189,190,188,David Hearn,41,12.16,9,74,+3.44
190,191,190,Michael Kim,51,11.54,9,78,+2.22
191,192,T191,John Huh,35,11.43,8,70,+2.75
192,193,193,Ryan Moore,54,10.87,10,92,+3.00
193,194,T191,Alex Cejka,41,10.81,8,74,+3.38
194,T195,194,Haotong Li,32,10.0,4,40,E
195,T195,999,Martin Piller,30,10.0,6,60,+2.83
196,197,196,Ben Crane,41,9.76,8,82,+3.50
197,198,195,Matthew Fitzpatrick,42,9.68,6,62,+2.50
198,199,197,Kyle Jones,49,8.51,8,94,+2.75
199,T200,200,Brian Gay,79,8.21,11,134,+2.45
200,T200,198,Vaughn Taylor,69,8.21,11,134,+3.18
201,202,201,Brian Stuard,76,7.81,10,128,+2.50
202,203,199,Whee Kim,57,7.78,7,90,+2.29
203,204,202,Andrew Putnam,57,7.5,6,80,+3.00
204,205,203,Johnson Wagner,45,6.98,6,86,+1.83
205,206,205,Jim Furyk,53,6.25,6,96,+1.83
206,207,204,D.A. Points,33,6.06,4,66,+2.25
207,208,206,Ryan Armour,66,4.31,5,116,+0.40
208,209,207,Scott Langley,60,3.45,4,116,+2.00
