,Total_Driving_RANK THIS WEEK,Total_Driving_RANK LAST WEEK,Total_Driving_PLAYER NAME,Total_Driving_EVENTS,Total_Driving_TOTAL,Total_Driving_DISTANCE RANK,Total_Driving_ACCURACY RANK
47,48,50,Henrik Stenson,12,167,161,6
48,49,53,Francesco Molinari,10,168,119,49
49,T50,T46,Jim Herman,16,170,146,24
50,T50,57,Jhonattan Vegas,18,170,20,150
51,52,T55,Matt Every,12,171,91,80
52,T53,T62,Patrick Cantlay,14,174,15,159
53,T53,60,Austin Cook,17,174,151,23
54,T53,T58,Wes Roach,14,174,119,55
55,T53,T80,Adam Schenk,24,174,58,116
56,T53,67,Sepp Straka,16,174,35,139
57,58,54,James Hahn,10,175,128,47
58,T59,T58,Bronson Burgoon,14,176,125,51
59,T59,T55,Webb Simpson,14,176,156,20
60,61,T62,Sam Ryder,16,177,94,83
61,T62,51,Harris English,21,178,49,129
62,T62,T70,Justin Rose,11,178,22,156
63,64,61,Russell Knox,18,180,135,45
64,65,T65,Fabián Gómez,14,181,148,33
65,66,T83,Nick Watney,20,182,54,128
66,T67,T70,Sebastián Muñoz,18,184,60,124
67,T67,T48,Seth Reeves,18,184,12,172
68,T67,64,Roger Sloan,20,184,76,108
69,T70,T68,Kiradech Aphibarnrat,15,185,111,74
70,T70,T65,Harold Varner III,20,185,37,148
71,T72,T78,Tony Finau,17,186,4,182
72,T72,T76,Matt Jones,19,186,99,87
73,T72,T76,Joaquin Niemann,20,186,56,130
74,T75,82,Byeong Hun An,15,187,21,166
75,T75,T78,Andrew Landry,18,187,179,8
76,T77,T72,Tyler Duncan,22,188,170,18
77,T77,T74,Brice Garnett,21,188,177,11
78,T77,T68,Russell Henley,18,188,171,17
79,T80,T74,Kevin Kisner,17,189,168,21
80,T80,T80,Adam Long,19,189,110,79
81,82,T72,Kyle Stanley,18,190,144,46
82,83,86,Michael Thompson,17,191,179,12
83,T84,T83,Cameron Davis,18,192,16,176
84,T84,34,D.J. Trahan,11,192,45,147
85,86,T87,Sam Burns,22,196,18,178
86,T87,T89,Cameron Champ,19,197,1,196
87,T87,T92,Kevin Na,15,197,122,75
88,T89,T96,Haotong Li,9,199,47,152
89,T89,91,Ryan Moore,16,199,195,4
90,T89,T89,Ryan Palmer,16,199,64,135
91,92,T92,Dustin Johnson,12,200,8,192
92,T93,T83,Sergio Garcia,11,202,34,168
93,T93,T96,Luke List,16,202,3,199
94,T93,T96,Denny McCarthy,20,202,131,71
95,T93,T94,J.J. Spaun,20,202,124,78
96,97,T99,Dylan Frittelli,16,203,86,117
97,98,T99,Wyndham Clark,20,205,5,200
98,99,101,Jim Furyk,16,206,205,1
99,T100,T102,Ryan Armour,21,207,204,3
100,T100,105,Rafa Cabrera Bello,15,207,148,59
101,T100,114,Brian Harman,22,207,171,36
102,T100,106,Rory Sabbatini,19,207,138,69
103,104,T94,Bud Cauley,19,208,113,95
104,105,T102,Ben Silverman,17,209,182,27
105,T106,T108,Sangmoon Bae,16,210,89,121
106,T106,107,Billy Horschel,19,210,133,77
107,T108,T115,J.B. Holmes,18,213,23,190
108,T108,T108,Kyoung-Hoon Lee,22,213,171,42
109,T110,T110,Matthew Fitzpatrick,11,214,174,40
110,T110,112,Brian Gay,22,214,207,7
111,T110,104,David Hearn,14,214,200,14
112,T110,T115,Kevin Tway,19,214,24,190
113,T114,T136,Martin Laird,18,215,83,132
114,T114,113,Grayson Murray,14,215,9,206
115,T114,T115,Brian Stuard,22,215,206,9
116,117,T119,Brandon Harkins,21,216,33,183
117,118,T115,Trey Mullinax,20,217,13,204
118,T119,T143,Zach Johnson,15,218,164,54
119,T119,122,Satoshi Kodaira,16,218,188,30
120,T121,T129,Beau Hossler,20,219,81,138
121,T121,T129,J.T. Poston,22,219,106,113
122,T121,T119,Ollie Schniederjans,22,219,10,209
123,T124,125,Roberto Díaz,16,220,164,56
124,T124,T123,Vaughn Taylor,21,220,195,25
125,T126,T139,Patton Kizzire,18,221,96,125
126,T126,T129,Marc Leishman,14,221,72,149
127,128,T133,Chesson Hadley,20,222,68,154
128,129,T126,Matt Wallace,9,223,36,187
129,130,141,Scott Brown,21,224,154,70
130,131,T126,Phil Mickelson,13,225,17,208
131,132,121,Brady Schnell,14,226,191,35
132,133,T139,Jason Dufner,19,227,164,63
133,134,138,Patrick Rodgers,14,229,50,179
134,135,T133,Jonas Blixt,20,230,145,85
135,T136,T143,Talor Gooch,12,232,74,158
136,T136,T147,Cameron Smith,16,232,77,155
137,T138,T126,Kyle Jones,19,234,193,41
138,T138,152,Graeme McDowell,16,234,161,73
139,T140,T143,Max Homa,19,235,52,183
140,T140,151,Scott Langley,20,235,209,26
141,T142,149,Danny Lee,20,236,42,194
142,T142,142,Johnson Wagner,14,236,198,38
143,T144,T143,Branden Grace,18,237,68,169
144,T144,T110,Josh Teater,17,237,139,98
145,T146,T155,Si Woo Kim,20,238,104,134
146,T146,T129,Nate Lashley,13,238,176,62
147,T146,T158,Jimmy Walker,17,238,53,185
148,149,T147,Martin Trainer,19,239,32,207
