,SG_Off-the-Tee_RANK THIS WEEK,SG_Off-the-Tee_RANK LAST WEEK,SG_Off-the-Tee_PLAYER NAME,SG_Off-the-Tee_ROUNDS,SG_Off-the-Tee_AVERAGE,SG_Off-the-Tee_TOTAL SG:OTT,SG_Off-the-Tee_MEASURED ROUNDS
163,T163,T159,José de Jesús Rodríguez,51,-0.243,-8.513,35
164,165,166,Vaughn Taylor,69,-0.247,-14.331,58
165,166,158,Brian Gay,79,-0.248,-14.402000000000001,58
166,167,169,Johnson Wagner,45,-0.25,-8.004,32
167,T168,175,Henrik Stenson,46,-0.252,-8.551,34
168,T168,177,Chris Thompson,34,-0.252,-5.547999999999999,22
169,T168,174,Peter Uihlein,65,-0.252,-10.835999999999999,43
170,171,172,Robert Streb,60,-0.26899999999999996,-11.828,44
171,172,170,"Ted Potter, Jr.",56,-0.271,-11.655999999999999,43
172,173,T159,Dominic Bozzelli,53,-0.27699999999999997,-9.152000000000001,33
173,174,171,Cameron Tringale,52,-0.278,-9.467,34
174,175,165,Brady Schnell,38,-0.28,-7.287000000000001,26
175,176,182,Stephan Jaeger,59,-0.327,-13.415,41
176,177,178,Graeme McDowell,61,-0.33299999999999996,-13.332,40
177,178,176,John Senden,39,-0.34,-8.154,24
178,179,173,Roberto Castro,54,-0.341,-13.626,40
179,180,189,John Chin,38,-0.344,-7.568,22
180,181,185,Tom Hoge,70,-0.35,-16.81,48
181,182,T167,Julián Etulain,55,-0.36200000000000004,-13.409,37
182,183,181,John Huh,35,-0.377,-10.183,27
183,184,187,Kelly Kraft,67,-0.381,-17.93,47
184,185,183,Satoshi Kodaira,51,-0.382,-13.356,35
185,186,184,Peter Malnati,64,-0.384,-20.366,53
186,187,186,Jordan Spieth,57,-0.39,-17.551,45
187,188,188,Cameron Smith,55,-0.401,-13.245,33
188,189,193,Cody Gribble,52,-0.431,-17.244,40
189,190,T179,Shawn Stefani,57,-0.436,-17.021,39
190,191,190,Anirban Lahiri,54,-0.45899999999999996,-18.352,40
191,192,191,Ernie Els,43,-0.46399999999999997,-12.069,26
192,193,192,Aaron Baddeley,51,-0.47100000000000003,-17.908,38
193,194,194,Pat Perez,52,-0.498,-14.431,29
194,195,195,Patton Kizzire,58,-0.507,-18.758,37
195,196,196,Curtis Luck,51,-0.573,-18.320999999999998,32
196,197,199,Jonathan Byrd,43,-0.615,-17.225,28
197,198,197,Chris Stroud,54,-0.62,-24.795,40
198,199,999,Martin Piller,30,-0.6509999999999999,-11.074000000000002,17
199,200,201,Scott Langley,60,-0.675,-32.379,48
200,201,198,Stewart Cink,33,-0.677,-14.227,21
201,202,200,Andrew Putnam,57,-0.695,-25.004,36
202,203,202,D.A. Points,33,-0.721,-13.700999999999999,19
203,204,203,Freddie Jacobson,37,-0.732,-17.579,24
204,205,204,Ben Crane,41,-0.746,-20.144000000000002,27
205,206,999,Tyrone Van Aswegen,30,-0.86,-16.348,19
206,207,205,Whee Kim,57,-1.146,-35.534,31
207,208,206,Charl Schwartzel,34,-1.526,-22.886999999999997,15
208,209,207,Michael Kim,51,-1.546,-54.117,35
