,Driving_Pct._280-300_Measured_RANK THIS WEEK,Driving_Pct._280-300_Measured_RANK LAST WEEK,Driving_Pct._280-300_Measured_PLAYER NAME,Driving_Pct._280-300_Measured_ROUNDS,Driving_Pct._280-300_Measured_%,Driving_Pct._280-300_Measured_TOTAL DRIVES FOR 280-300,Driving_Pct._280-300_Measured_TOTAL DRVS - OVERALL,Driving_Pct._280-300_Measured_RELATIVE TO PAR
51,52,T54,Charles Howell III,64,41.84,41,98,-0.29
52,53,47,Bud Cauley,61,41.8,51,122,-0.22
53,54,56,Rory Sabbatini,71,41.79,56,134,-0.39
54,T55,T57,Si Woo Kim,65,41.67,40,96,-0.38
55,T55,53,Peter Malnati,64,41.67,50,120,-0.06
56,T55,52,Ben Silverman,54,41.67,45,108,-0.11
57,T55,41,Nick Taylor,70,41.67,55,132,-0.13
58,59,62,Kramer Hickok,59,41.53,49,118,-0.24
59,60,T54,Graeme McDowell,61,41.51,44,106,-0.25
60,61,T104,Jonathan Byrd,43,41.46,34,82,-0.29
61,62,72,Sangmoon Bae,42,41.25,33,80,-0.42
62,63,59,Joaquin Niemann,68,41.13,51,124,-0.08
63,64,60,Robert Streb,60,41.07,46,112,-0.11
64,65,64,Kevin Streelman,63,40.98,50,122,-0.22
65,T66,65,Ernie Els,43,40.91,27,66,-0.19
66,T66,63,Stephan Jaeger,59,40.91,45,110,-0.04
67,T66,61,Ryan Palmer,56,40.91,36,88,-0.06
68,69,66,Pat Perez,52,40.79,31,76,-0.06
69,T70,T67,Andrew Landry,56,40.63,39,96,-0.44
70,T70,T67,Kyoung-Hoon Lee,72,40.63,52,128,-0.21
71,72,73,Shawn Stefani,57,40.57,43,106,-0.14
72,73,T74,Kyle Jones,49,40.43,38,94,-0.13
73,74,T90,D.J. Trahan,33,40.32,25,62,-0.28
74,75,70,Webb Simpson,53,40.22,37,92,-0.41
75,T76,43,Hank Lebioda,55,40.2,41,102,-0.07
76,T76,78,Chase Wright,53,40.2,41,102,-0.29
77,78,81,J.J. Spaun,68,40.18,45,112,-0.13
78,T79,T74,Billy Horschel,73,40.0,40,100,-0.28
79,T79,T74,Adam Long,52,40.0,40,100,-0.05
80,T81,71,Bill Haas,58,39.81,43,108,-0.19
81,T81,T74,Matt Kuchar,65,39.81,43,108,-0.42
82,83,T101,Sam Saunders,53,39.62,42,106,+0.02
83,T84,T79,Chesson Hadley,58,39.58,38,96,-0.03
84,T84,T79,Chez Reavie,67,39.58,38,96,-0.26
85,86,83,Sung Kang,67,39.34,48,122,-0.10
86,87,T84,Danny Lee,66,39.17,47,120,-0.06
87,88,87,Kyle Stanley,53,39.06,25,64,+0.04
88,89,92,Brendan Steele,50,38.75,31,80,+0.06
89,T90,115,Scott Brown,66,38.71,48,124,-0.25
90,T90,93,Matthew Fitzpatrick,42,38.71,24,62,-0.17
91,T90,T97,Tom Hoge,70,38.71,48,124,-0.08
92,93,T84,Fabián Gómez,44,38.64,34,88,-0.41
93,94,95,Sam Ryder,52,38.54,37,96,-0.41
94,95,T113,Richy Werenski,63,38.52,47,122,-0.36
95,96,88,Johnson Wagner,45,38.37,33,86,-0.36
96,97,T97,Jonas Blixt,66,38.28,49,128,-0.22
97,T98,T101,Troy Merritt,42,38.24,26,68,-0.50
98,T98,118,Justin Thomas,49,38.24,26,68,-0.42
99,T100,T90,John Chin,38,38.16,29,76,-0.41
100,T100,T106,Austin Cook,50,38.16,29,76,-0.07
101,T102,94,Anders Albertson,48,38.04,35,92,-0.09
102,T102,103,Ryan Moore,54,38.04,35,92,-0.29
103,104,89,Adam Hadwin,66,37.96,41,108,-0.39
104,105,96,Carlos Ortiz,60,37.93,44,116,-0.11
105,106,82,Talor Gooch,37,37.84,28,74,E
106,107,T104,Ben Crane,41,37.8,31,82,-0.35
107,108,100,Adam Svensson,51,37.76,37,98,-0.11
108,T109,T106,Justin Harding,31,37.5,9,24,+0.33
109,T109,T106,Justin Rose,42,37.5,24,64,+0.08
110,T109,T106,Cameron Tringale,52,37.5,36,96,-0.25
111,T112,T113,Max Homa,61,37.29,44,118,E
112,T112,117,Denny McCarthy,63,37.29,44,118,-0.05
113,114,122,José de Jesús Rodríguez,51,37.25,38,102,-0.18
114,115,T127,Roberto Díaz,51,37.23,35,94,-0.31
115,116,116,Adam Scott,41,37.04,20,54,-0.20
116,117,T106,Chris Stroud,54,37.0,37,100,-0.03
117,118,T106,Brady Schnell,38,36.84,28,76,-0.14
118,119,131,Brice Garnett,63,36.79,39,106,-0.36
119,120,T97,Alex Noren,49,36.76,25,68,-0.04
120,121,123,Aaron Wise,52,36.67,33,90,-0.12
121,122,T119,Martin Laird,60,36.61,41,112,E
122,123,86,Danny Willett,47,36.59,30,82,-0.03
123,124,T125,David Hearn,41,36.49,27,74,-0.26
124,125,T106,Daniel Berger,48,36.46,35,96,-0.09
125,126,121,Tiger Woods,31,36.36,16,44,+0.13
126,127,T132,Adam Schenk,80,35.9,56,156,-0.13
127,128,124,Jason Dufner,56,35.87,33,92,-0.09
128,T129,T125,Tommy Fleetwood,43,35.71,20,56,-0.05
129,T129,T119,Sebastián Muñoz,58,35.71,40,112,-0.18
130,T129,T127,Jimmy Walker,61,35.71,35,98,-0.03
131,132,T137,Scott Stallings,63,35.45,39,110,E
132,133,T132,John Senden,39,35.14,26,74,-0.27
133,T134,T134,Tyrrell Hatton,46,35.0,21,60,-0.05
134,T134,129,Alex Prugh,54,35.0,35,100,-0.14
135,T134,T134,Andrew Putnam,57,35.0,28,80,-0.29
136,T134,T134,Jordan Spieth,57,35.0,35,100,-0.03
137,T134,999,Tyrone Van Aswegen,30,35.0,21,60,-0.33
138,139,139,Kevin Na,54,34.85,23,66,-0.13
139,140,140,Emiliano Grillo,65,34.78,32,92,-0.41
140,141,141,Satoshi Kodaira,51,34.72,25,72,-0.28
141,T142,T142,James Hahn,34,34.62,18,52,-0.17
142,T142,T142,Michael Kim,51,34.62,27,78,-0.11
143,144,T137,Nick Watney,67,34.55,38,110,-0.16
144,145,130,Josh Teater,47,34.44,31,90,-0.23
145,T146,145,Tyler Duncan,66,34.38,44,128,-0.25
146,T146,146,Cody Gribble,52,34.38,33,96,+0.03
147,148,147,Kevin Kisner,65,34.0,34,100,+0.03
148,149,T153,Sergio Garcia,39,33.93,19,56,-0.21
149,150,157,Wes Roach,45,33.72,29,86,-0.21
150,151,144,Peter Uihlein,65,33.64,37,110,-0.11
151,T152,160,Jim Knous,55,33.33,34,102,-0.29
152,T152,148,Louis Oosthuizen,43,33.33,16,48,-0.19
153,T154,T149,Hideki Matsuyama,59,32.95,29,88,-0.07
154,T154,T149,Patrick Rodgers,44,32.95,29,88,-0.03
155,T156,151,Bryson DeChambeau,45,32.89,25,76,-0.24
156,T156,T158,J.J. Henry,42,32.89,25,76,-0.16
157,158,155,Scott Piercy,70,32.76,38,116,-0.21
158,159,T153,Francesco Molinari,41,32.69,17,52,-0.06
159,160,163,Mackenzie Hughes,58,32.41,35,108,-0.03
160,161,177,Roberto Castro,54,32.0,32,100,-0.44
161,162,T158,Xander Schauffele,55,31.94,23,72,-0.22
162,163,161,Paul Casey,51,31.82,21,66,-0.19
163,164,178,Brooks Koepka,49,31.67,19,60,-0.11
164,T165,156,Brian Harman,67,31.58,36,114,-0.14
165,T165,152,Ollie Schniederjans,63,31.58,36,114,+0.11
166,167,T165,Seamus Power,58,31.48,34,108,-0.09
167,168,168,Martin Trainer,51,31.37,32,102,+0.19
168,169,167,Jim Furyk,53,31.25,30,96,-0.27
169,170,T165,Byeong Hun An,54,30.77,24,78,-0.04
170,T171,169,Jon Rahm,51,30.56,22,72,-0.18
171,T171,T174,Bubba Watson,47,30.56,22,72,-0.36
172,173,170,"Ted Potter, Jr.",56,30.43,28,92,E
173,174,164,Brandt Snedeker,68,30.39,31,102,-0.26
174,175,171,Jason Day,45,30.36,17,56,E
175,176,T174,Sam Burns,66,29.69,38,128,-0.11
176,177,176,Jason Kokrak,68,29.46,33,112,-0.09
177,178,173,Sepp Straka,48,29.35,27,92,-0.22
178,179,T179,Ryan Armour,66,29.31,34,116,-0.21
179,T180,172,J.B. Holmes,54,28.57,20,70,-0.10
180,T180,T179,Keith Mitchell,64,28.57,28,98,-0.07
181,182,183,Harold Varner III,62,28.33,34,120,-0.24
182,183,T188,Seth Reeves,52,28.0,28,100,-0.18
183,184,181,Henrik Stenson,46,27.94,19,68,-0.26
184,185,162,Dustin Johnson,47,27.78,20,72,-0.25
185,186,182,Brandon Harkins,67,26.98,34,126,-0.32
186,187,184,Cameron Smith,55,26.47,18,68,-0.17
187,188,185,Patrick Cantlay,49,26.39,19,72,-0.11
188,189,186,Trey Mullinax,67,26.19,33,126,-0.21
189,190,999,Shane Lowry,30,26.09,12,46,-0.42
190,191,T188,Gary Woodland,63,26.04,25,96,-0.52
191,192,192,Alex Cejka,41,25.68,19,74,-0.32
192,193,195,Brian Gay,79,25.37,34,134,-0.15
193,T194,T190,Phil Mickelson,41,25.0,17,68,-0.06
194,T194,T190,Kevin Tway,62,25.0,23,92,+0.13
195,196,193,D.A. Points,33,24.24,16,66,E
196,197,194,Tony Finau,61,23.96,23,96,+0.22
197,198,196,Jhonattan Vegas,60,23.28,27,116,E
198,199,197,Wyndham Clark,61,22.88,27,118,-0.26
199,200,198,Brian Stuard,76,22.66,29,128,-0.38
200,201,T199,Rickie Fowler,54,22.0,22,100,-0.14
201,202,203,Scott Langley,60,21.55,25,116,-0.44
202,T203,T201,Freddie Jacobson,37,21.43,15,70,E
203,T203,T201,Luke List,52,21.43,21,98,+0.05
204,205,T199,Cameron Davis,54,21.15,22,104,-0.41
205,206,204,Rory McIlroy,50,18.42,14,76,E
206,207,205,Grayson Murray,36,18.06,13,72,-0.38
207,208,207,Cameron Champ,58,16.96,19,112,+0.11
208,209,206,Lucas Bjerregaard,37,15.91,7,44,-0.29
