,Carry_Efficiency_RANK THIS WEEK,Carry_Efficiency_RANK LAST WEEK,Carry_Efficiency_PLAYER NAME,Carry_Efficiency_ROUNDS,Carry_Efficiency_AVG.,Carry_Efficiency_AVERAGE CARRY DIST. YARDS,Carry_Efficiency_AVERAGE CLUB HEAD SPEED,Carry_Efficiency_TOTAL ATTEMPTS,Carry_Efficiency_HIGHEST CARRY EFFICIENCY
121,T121,T109,Matt Wallace,31,2.431,284.0,116.825,,2.577
122,123,T148,Brice Garnett,63,2.43,271.8,111.855,,2.702
123,T124,T145,Roberto Díaz,51,2.4290000000000003,264.7,109.00399999999999,,2.782
124,T124,T113,Billy Horschel,73,2.4290000000000003,276.8,113.935,,2.7089999999999996
125,T124,T113,Patton Kizzire,58,2.4290000000000003,279.1,114.899,,2.7030000000000003
126,T124,T113,D.A. Points,33,2.4290000000000003,261.2,107.527,,2.6210000000000004
127,T128,T155,Zach Johnson,50,2.428,267.0,109.964,,2.627
128,T128,116,Sung Kang,67,2.428,276.6,113.947,,2.6239999999999997
129,T128,T107,Whee Kim,57,2.428,266.8,109.885,,2.6719999999999997
130,T131,125,Anders Albertson,48,2.425,275.6,113.65,,2.6210000000000004
131,T131,121,Max Homa,61,2.425,289.2,119.24799999999999,,2.737
132,T133,124,Roberto Castro,54,2.424,268.5,110.76100000000001,,2.705
133,T133,T151,Sungjae Im,88,2.424,278.8,115.035,,2.725
134,T133,T163,Robert Streb,60,2.424,276.7,114.118,,2.736
135,136,123,Emiliano Grillo,65,2.423,278.9,115.10700000000001,,2.681
136,137,T148,Scott Piercy,70,2.421,276.7,114.331,,2.676
137,T138,T126,Cameron Champ,58,2.42,312.2,129.036,,2.6889999999999996
138,T138,T126,Si Woo Kim,65,2.42,277.0,114.46700000000001,,2.677
139,T138,T126,Anirban Lahiri,54,2.42,267.7,110.65299999999999,,2.615
140,T138,T126,Keith Mitchell,64,2.42,295.6,122.17,,2.702
141,T142,T133,Paul Casey,51,2.419,282.0,116.583,,2.6239999999999997
142,T142,T133,Jason Dufner,56,2.419,271.7,112.303,,2.623
143,T142,153,Ollie Schniederjans,63,2.419,297.4,122.97200000000001,,2.7060000000000004
144,145,135,Gary Woodland,63,2.418,295.2,122.073,,2.742
145,T146,154,Sergio Garcia,39,2.417,292.4,120.984,,2.6710000000000003
146,T146,136,Lucas Glover,62,2.417,279.0,115.456,,2.6689999999999996
147,148,T137,Kiradech Aphibarnrat,49,2.416,273.8,113.33,,2.597
148,T149,T140,Kyoung-Hoon Lee,72,2.415,272.0,112.645,,2.6519999999999997
149,T149,T140,Rory Sabbatini,71,2.415,269.7,111.67,,2.762
150,T151,166,Tyler Duncan,66,2.414,272.0,112.689,,2.679
151,T151,T151,Brooks Koepka,49,2.414,295.1,122.245,,2.6860000000000004
152,T151,142,Xander Schauffele,55,2.414,290.6,120.37700000000001,,2.647
153,T154,T143,Charles Howell III,64,2.4130000000000003,282.0,116.851,,2.718
154,T154,T143,Kyle Stanley,53,2.4130000000000003,266.8,110.59,,2.714
155,T154,T186,Bubba Watson,47,2.4130000000000003,292.2,121.119,,2.7680000000000002
156,T157,T145,Chris Kirk,47,2.411,268.9,111.539,,2.6189999999999998
157,T157,T145,"Ted Potter, Jr.",56,2.411,270.2,112.061,,2.658
