,Ball_Striking_RANK THIS WEEK,Ball_Striking_RANK LAST WEEK,Ball_Striking_PLAYER NAME,Ball_Striking_ROUNDS,Ball_Striking_VALUE,Ball_Striking_TOTAL DRV RANK,Ball_Striking_GIR RANK
194,195,197,José de Jesús Rodríguez,51,373,192,181
195,196,198,Rod Pampling,40,375,178,197
196,197,T191,Jonathan Byrd,43,376,206,170
197,198,195,Seamus Power,58,381,172,209
198,199,T199,Peter Malnati,64,386,204,182
199,200,194,Kelly Kraft,67,387,187,200
200,201,201,Anirban Lahiri,54,392,189,203
201,T202,999,Martin Piller,30,398,208,190
202,T202,T199,Chris Stroud,54,398,202,196
203,T204,T205,Cody Gribble,52,400,193,207
204,T204,202,Curtis Luck,51,400,207,193
205,T204,204,D.A. Points,33,400,199,201
206,207,203,Charl Schwartzel,34,402,201,201
207,208,T205,Michael Kim,51,404,209,195
208,209,207,Freddie Jacobson,37,409,203,206
