,Left_Rough_Tendency_RTP_Score_RANK THIS WEEK,Left_Rough_Tendency_RTP_Score_RANK LAST WEEK,Left_Rough_Tendency_RTP_Score_PLAYER NAME,Left_Rough_Tendency_RTP_Score_ROUNDS,Left_Rough_Tendency_RTP_Score_RTP SCORE
70,71,81,Sungjae Im,88,+.036
71,72,71,D.A. Points,33,+.037
72,73,73,Ryan Armour,66,+.039
73,74,T56,Kevin Tway,62,+.041
74,75,80,Sam Saunders,53,+.042
75,T76,74,Lucas Glover,62,+.043
76,T76,T76,Russell Henley,56,+.043
77,78,75,Matthew Fitzpatrick,42,+.044
78,T79,T86,Lucas Bjerregaard,37,+.045
79,T79,T76,Charles Howell III,64,+.045
80,T79,T76,Tiger Woods,31,+.045
81,82,82,Kevin Streelman,63,+.049
82,83,T83,Ernie Els,43,+.050
83,84,T89,Richy Werenski,63,+.051
84,T85,85,Luke List,52,+.052
85,T85,T69,Martin Trainer,51,+.052
86,T87,T86,Stewart Cink,33,+.053
87,T87,T86,Patrick Reed,53,+.053
88,89,T89,Paul Casey,51,+.054
89,90,T99,David Hearn,41,+.059
90,T91,T93,Andrew Putnam,57,+.060
91,T91,T93,Jordan Spieth,57,+.060
92,93,T95,Jim Knous,55,+.061
93,T94,T95,Chris Kirk,47,+.063
94,T94,T108,Nick Watney,67,+.063
95,96,97,Keegan Bradley,65,+.066
96,T97,104,Shawn Stefani,57,+.067
97,T97,999,Tyrone Van Aswegen,30,+.067
98,T99,T105,J.J. Henry,42,+.068
99,T99,T105,Nick Taylor,70,+.068
100,T101,T99,Jon Rahm,51,+.069
101,T101,T99,Sam Ryder,52,+.069
102,103,102,Brian Stuard,76,+.071
103,104,T83,Ben Silverman,54,+.072
104,105,72,Johnson Wagner,45,+.073
105,106,103,Kevin Na,54,+.074
106,107,92,Scott Brown,66,+.078
107,T108,113,Brandon Harkins,67,+.081
108,T108,107,Carlos Ortiz,60,+.081
109,T108,91,Bubba Watson,47,+.081
110,T111,T117,Jim Furyk,53,+.082
111,T111,111,Hunter Mahan,45,+.082
112,T113,141,Adam Hadwin,66,+.086
113,T113,T114,Patton Kizzire,58,+.086
114,T113,T114,Kyoung-Hoon Lee,72,+.086
115,T113,T114,Sebastián Muñoz,58,+.086
116,117,T142,Cody Gribble,52,+.088
117,T118,112,Scott Stallings,63,+.090
118,T118,119,Michael Thompson,56,+.090
119,120,120,Kevin Kisner,65,+.091
120,121,131,Hudson Swafford,59,+.092
121,T122,T142,Curtis Luck,51,+.094
122,T122,127,Denny McCarthy,63,+.094
123,124,T117,Robert Streb,60,+.096
124,T125,T123,John Huh,35,+.097
125,T125,T123,C.T. Pan,64,+.097
126,T125,T123,Cameron Smith,55,+.097
127,128,110,Harold Varner III,62,+.098
128,129,T133,Stephan Jaeger,59,+.099
129,T130,128,Brian Harman,67,+.100
130,T130,T136,Mackenzie Hughes,58,+.100
131,T132,132,Fabián Gómez,44,+.102
132,T132,130,Scott Piercy,70,+.102
133,T134,129,Charley Hoffman,58,+.103
134,T134,T136,Danny Lee,66,+.103
135,136,T123,Adam Schenk,80,+.104
136,137,T146,Jonas Blixt,66,+.106
137,138,T148,Graeme McDowell,61,+.107
138,139,T133,Vaughn Taylor,69,+.108
139,T140,135,Byeong Hun An,54,+.111
140,T140,999,Martin Piller,30,+.111
141,142,T136,Billy Horschel,73,+.112
142,143,140,Keith Mitchell,64,+.114
143,144,T152,Peter Uihlein,65,+.115
144,145,T163,D.J. Trahan,33,+.116
145,T146,98,Julián Etulain,55,+.122
146,T146,155,Wes Roach,45,+.122
147,148,T144,Anirban Lahiri,54,+.123
148,T149,T146,Martin Kaymer,38,+.125
149,T149,T121,Sepp Straka,48,+.125
150,151,166,Alex Cejka,41,+.130
151,152,T148,Beau Hossler,66,+.131
152,T153,T150,Haotong Li,32,+.133
153,T153,T150,Pat Perez,52,+.133
154,155,T121,Daniel Berger,48,+.135
155,156,T152,Tom Hoge,70,+.137
156,157,139,Sergio Garcia,39,+.138
157,158,154,Gary Woodland,63,+.139
158,159,156,Sam Burns,66,+.141
159,160,157,Rafa Cabrera Bello,57,+.143
160,161,158,Jason Kokrak,68,+.144
161,162,159,Jason Dufner,56,+.145
162,163,160,Branden Grace,62,+.146
163,164,T183,Henrik Stenson,46,+.148
164,165,182,Sangmoon Bae,42,+.149
165,166,T163,Bronson Burgoon,37,+.152
166,167,T144,Anders Albertson,48,+.153
167,T168,162,Austin Cook,50,+.155
168,T168,180,Webb Simpson,53,+.155
169,170,165,Tyler Duncan,66,+.156
170,171,161,Brady Schnell,38,+.162
171,172,167,Phil Mickelson,41,+.163
172,T173,T168,Chesson Hadley,58,+.165
