,Right_Tendency_RANK THIS WEEK,Right_Tendency_RANK LAST WEEK,Right_Tendency_PLAYER NAME,Right_Tendency_EVENTS,Right_Tendency_%,Right_Tendency_NUMBER OF TIMES,Right_Tendency_ATTEMPTS,Right_Tendency_AVG RTP SCORE
55,56,58,Cameron Champ,19,49.1,141,287,+1.91
56,T57,T59,Jason Dufner,19,49.2,91,185,+2.86
57,T57,T52,Stephan Jaeger,19,49.2,120,244,+0.50
58,T57,T59,Francesco Molinari,10,49.2,58,118,+0.86
59,T60,41,Dustin Johnson,12,49.5,96,194,-0.83
60,T60,T84,Peter Uihlein,22,49.5,142,287,+0.49
61,62,62,Matthew Fitzpatrick,11,49.6,62,125,+2.26
62,63,90,Hank Lebioda,16,49.7,96,193,+1.46
63,T64,75,Julián Etulain,17,49.8,118,237,+0.85
64,T64,T64,Rickie Fowler,14,49.8,119,239,+0.34
65,66,63,Danny Lee,20,49.9,168,337,+1.43
66,T67,T64,Bud Cauley,19,50.0,131,262,+1.07
67,T67,T42,Tyler Duncan,22,50.0,101,202,+3.07
68,T69,T67,Sung Kang,20,50.2,140,279,+1.36
69,T69,T67,Kevin Streelman,20,50.2,117,233,+1.37
70,T71,T48,Jonathan Byrd,13,50.3,83,165,+1.69
71,T71,T79,Joey Garber,15,50.3,72,143,+1.25
72,T71,71,Russell Henley,18,50.3,96,191,+0.63
73,74,T72,Paul Casey,15,50.4,65,129,+0.46
74,75,T94,Ollie Schniederjans,22,50.6,162,320,+1.67
75,76,T76,Jordan Spieth,16,50.7,139,274,+0.50
76,T77,T88,Anders Albertson,18,50.8,97,191,+1.65
77,T77,T76,Trey Mullinax,20,50.8,180,354,+1.33
78,79,T79,C.T. Pan,19,50.9,111,218,+2.25
79,80,T115,Cameron Tringale,15,51.0,104,204,+0.38
80,81,T82,Matt Jones,19,51.1,116,227,+1.47
81,T82,T102,Brian Gay,22,51.3,121,236,+1.65
82,T82,61,Jim Herman,16,51.3,60,117,+3.00
83,T84,T86,J.J. Henry,15,51.4,74,144,+2.30
84,T84,T67,Sungjae Im,26,51.4,169,329,+0.24
85,T86,109,Roberto Castro,16,51.6,97,188,+2.78
86,T86,T88,Chris Kirk,17,51.6,97,188,+1.86
87,T86,T105,Aaron Wise,16,51.6,95,184,+2.53
88,T89,T67,Jonas Blixt,20,51.7,135,261,+0.89
89,T89,T102,Peter Malnati,19,51.7,171,331,+1.81
90,T91,91,Grayson Murray,14,51.8,88,170,+2.27
91,T91,66,Danny Willett,15,51.8,113,218,+1.06
92,T93,T94,Bronson Burgoon,14,52.1,74,142,+2.43
93,T93,T105,Brandt Snedeker,18,52.1,134,257,+0.07
94,T93,T94,Jhonattan Vegas,18,52.1,136,261,+0.44
95,T96,T97,Stewart Cink,12,52.2,72,138,+1.53
96,T96,81,Scott Langley,20,52.2,109,209,+2.39
97,T96,T86,Hudson Swafford,20,52.2,143,274,+1.12
98,99,57,Nate Lashley,13,52.3,81,155,+0.62
99,100,T97,Mackenzie Hughes,19,52.4,142,271,+0.42
100,101,T102,Whee Kim,21,52.5,94,179,+2.13
101,T102,93,José de Jesús Rodríguez,17,52.7,107,203,+0.84
102,T102,101,Justin Rose,11,52.7,89,169,+1.57
103,104,78,Alex Prugh,18,52.8,104,197,+1.63
104,105,T72,Rod Pampling,16,52.9,73,138,+1.92
105,T106,T105,Lucas Bjerregaard,10,53.0,62,117,+0.97
106,T106,121,Nick Watney,20,53.0,148,279,+1.82
107,108,110,Chez Reavie,19,53.1,77,145,+2.08
108,T109,T111,Harris English,21,53.4,171,320,+0.12
109,T109,T111,Si Woo Kim,20,53.4,110,206,+1.64
110,111,T115,Ryan Palmer,16,53.5,108,202,+1.30
111,T112,T115,Bryson DeChambeau,13,53.6,90,168,+1.44
112,T112,T115,Anirban Lahiri,17,53.6,118,220,+2.46
113,T112,T99,Martin Laird,18,53.6,143,267,+0.84
114,T112,T125,Ben Silverman,17,53.6,105,196,+1.52
115,116,T99,Fabián Gómez,14,53.7,72,134,+0.97
116,T117,T111,Shawn Stefani,19,54.0,114,211,+1.84
117,T117,T138,Justin Thomas,13,54.0,101,187,+1.09
