,Driving_Pct.__240_All_Drives_RANK THIS WEEK,Driving_Pct.__240_All_Drives_RANK LAST WEEK,Driving_Pct.__240_All_Drives_PLAYER NAME,Driving_Pct.__240_All_Drives_ROUNDS,Driving_Pct.__240_All_Drives_%,Driving_Pct.__240_All_Drives_TOTAL DRIVES FOR <= 240,Driving_Pct.__240_All_Drives_TOTAL DRIVES - OVERALL,Driving_Pct.__240_All_Drives_RELATIVE TO PAR
43,44,44,Louis Oosthuizen,43,7.83,26,332,-0.115
44,T45,45,Charley Hoffman,58,7.82,38,486,+0.184
45,T45,999,Shane Lowry,30,7.82,23,294,+0.130
46,T47,T38,Harris English,72,7.8,63,808,+0.048
47,T47,T36,Kelly Kraft,67,7.8,51,654,+0.275
48,49,48,Max Homa,61,7.76,52,670,E
49,50,41,Mackenzie Hughes,58,7.68,47,612,+0.255
50,51,T36,Brice Garnett,63,7.64,44,576,+0.136
51,52,51,Hunter Mahan,45,7.61,35,460,+0.200
52,T53,47,Cody Gribble,52,7.53,42,558,+0.167
53,T53,53,Chesson Hadley,58,7.53,44,584,+0.045
54,T55,50,Tyler Duncan,66,7.48,48,642,+0.167
55,T55,55,Russell Knox,65,7.48,51,682,E
56,57,T74,Matt Every,38,7.43,26,350,+0.269
57,58,49,J.J. Henry,42,7.41,28,378,E
58,59,56,Kevin Na,54,7.36,34,462,+0.235
59,60,57,Aaron Baddeley,51,7.33,39,532,+0.205
60,61,60,Billy Horschel,73,7.26,46,634,+0.065
61,62,61,Austin Cook,50,7.2,35,486,+0.200
62,63,52,Chris Stroud,54,7.19,40,556,+0.175
63,T64,T63,Branden Grace,62,7.17,35,488,+0.286
64,T64,T74,Seamus Power,58,7.17,44,614,+0.432
65,T64,T63,Patrick Rodgers,44,7.17,38,530,+0.132
66,67,54,Scott Brown,66,7.16,48,670,+0.042
67,68,T65,Pat Perez,52,7.14,29,406,+0.069
68,69,59,Keegan Bradley,65,7.12,45,632,+0.289
69,T70,T81,Kramer Hickok,59,7.02,40,570,+0.200
70,T70,68,C.T. Pan,64,7.02,41,584,+0.073
71,72,58,Hudson Swafford,59,7.01,46,656,+0.043
72,73,70,Robert Streb,60,7.0,43,614,+0.186
73,74,95,Dominic Bozzelli,53,6.93,32,462,+0.031
74,75,72,Josh Teater,47,6.91,30,434,+0.033
75,76,71,Freddie Jacobson,37,6.89,23,334,+0.478
76,77,73,Stewart Cink,33,6.85,20,292,+0.100
77,78,62,Zach Johnson,50,6.84,39,570,+0.026
78,79,85,Ben Silverman,54,6.83,40,586,+0.025
79,80,69,Julián Etulain,55,6.81,35,514,+0.057
80,81,67,Webb Simpson,53,6.8,43,632,E
81,82,T76,Roger Sloan,62,6.74,45,668,+0.267
82,83,T91,Peter Uihlein,65,6.69,40,598,+0.150
83,T84,T79,Anirban Lahiri,54,6.65,37,556,+0.243
84,T84,T79,Troy Merritt,42,6.65,31,466,+0.097
85,86,T81,Andrew Landry,56,6.64,40,602,E
86,87,83,Jason Dufner,56,6.62,36,544,-0.167
87,88,84,John Huh,35,6.61,25,378,+0.160
88,89,86,Brendan Steele,50,6.59,34,516,+0.147
89,90,T76,Tom Hoge,70,6.57,44,670,+0.091
90,T91,T76,Bill Haas,58,6.56,42,640,+0.262
91,T91,87,Chris Kirk,47,6.56,32,488,-0.031
92,93,88,Matt Jones,67,6.55,41,626,+0.073
93,94,89,Bryson DeChambeau,45,6.53,35,536,+0.057
94,95,90,Francesco Molinari,41,6.52,24,368,+0.250
95,96,100,Anders Albertson,48,6.51,31,476,+0.161
96,97,T91,Tiger Woods,31,6.46,19,294,+0.211
97,T98,93,Emiliano Grillo,65,6.45,37,574,+0.189
98,T98,T108,Scott Stallings,63,6.45,44,682,E
99,100,94,Charles Howell III,64,6.44,39,606,+0.103
100,101,97,Rory Sabbatini,71,6.38,48,752,+0.125
101,102,98,Kevin Streelman,63,6.35,47,740,E
102,103,114,Sebastián Muñoz,58,6.27,35,558,+0.171
103,T104,99,Jonas Blixt,66,6.22,45,724,+0.156
104,T104,101,Tyrrell Hatton,46,6.22,26,418,+0.192
105,T104,T104,Nate Lashley,44,6.22,27,434,+0.037
106,107,T102,Kevin Kisner,65,6.19,37,598,+0.189
107,108,T104,Justin Rose,42,6.16,25,406,-0.240
108,109,107,Ian Poulter,49,6.13,26,424,+0.077
109,T110,116,Jonathan Byrd,43,6.12,24,392,-0.167
110,T110,119,Denny McCarthy,63,6.12,40,654,+0.025
111,T112,110,Jason Kokrak,68,6.1,45,738,-0.044
112,T112,120,Peter Malnati,64,6.1,45,738,+0.178
