,Right_Rough_Tendency_RTP_Score_RANK THIS WEEK,Right_Rough_Tendency_RTP_Score_RANK LAST WEEK,Right_Rough_Tendency_RTP_Score_PLAYER NAME,Right_Rough_Tendency_RTP_Score_ROUNDS,Right_Rough_Tendency_RTP_Score_RTP SCORE
62,63,69,J.J. Spaun,68,+.018
63,64,60,Tony Finau,61,+.019
64,65,T62,Alex Cejka,41,+.021
65,T66,64,Rory Sabbatini,71,+.026
66,T66,65,Hudson Swafford,59,+.026
67,68,999,Martin Piller,30,+.027
68,69,T66,Michael Thompson,56,+.030
69,70,T80,Sebastián Muñoz,58,+.031
70,71,T74,David Hearn,41,+.033
71,T72,T76,Joey Garber,44,+.034
72,T72,T71,Patrick Rodgers,44,+.034
73,T72,T47,Harold Varner III,62,+.034
74,75,73,John Senden,39,+.036
75,76,61,Brady Schnell,38,+.037
76,77,T84,Ryan Palmer,56,+.041
77,T78,T76,"Ted Potter, Jr.",56,+.043
78,T78,T104,Robert Streb,60,+.043
79,T80,T78,Stewart Cink,33,+.044
80,T80,T78,Adam Long,52,+.044
81,82,T118,Nate Lashley,44,+.045
82,83,T66,Chris Stroud,54,+.047
83,84,83,D.A. Points,33,+.049
84,T85,T84,Byeong Hun An,54,+.051
85,T85,T71,Seth Reeves,52,+.051
86,T87,T86,Joel Dahmen,78,+.052
87,T87,T86,Russell Knox,65,+.052
88,89,T132,Hank Lebioda,55,+.054
89,90,12,D.J. Trahan,33,+.056
90,T91,T128,Danny Lee,66,+.057
91,T91,T80,Joaquin Niemann,68,+.057
92,T91,91,Brian Stuard,76,+.057
93,T94,93,Abraham Ancer,69,+.059
94,T94,T96,Brandon Harkins,67,+.059
95,96,T104,Corey Conners,62,+.063
96,T97,T100,Satoshi Kodaira,51,+.064
97,T97,T100,Haotong Li,32,+.064
98,T99,T136,Austin Cook,50,+.065
99,T99,T102,Jason Day,45,+.065
100,T99,T102,Sung Kang,67,+.065
101,102,T104,Chez Reavie,67,+.066
102,T103,T109,Anders Albertson,48,+.067
103,T103,108,Andrew Putnam,57,+.067
104,105,T109,Bryson DeChambeau,45,+.069
105,T106,95,Julián Etulain,55,+.070
106,T106,112,James Hahn,34,+.070
107,T106,161,Danny Willett,47,+.070
108,T109,T134,Daniel Berger,48,+.071
109,T109,T121,J.B. Holmes,54,+.071
110,T109,113,Sam Ryder,52,+.071
111,T112,T96,Jonas Blixt,66,+.072
112,T112,T114,J.T. Poston,76,+.072
113,T112,T114,Vaughn Taylor,69,+.072
114,115,116,Michael Kim,51,+.074
115,T116,117,Aaron Baddeley,51,+.075
116,T116,92,Alex Prugh,54,+.075
117,118,T86,Dylan Frittelli,55,+.076
118,119,T118,Charles Howell III,64,+.077
119,T120,T142,Tom Hoge,70,+.078
120,T120,T121,Grayson Murray,36,+.078
121,122,T123,Ernie Els,43,+.079
122,T123,T126,Adam Scott,41,+.080
123,T123,94,Scott Stallings,63,+.080
124,T123,T126,Kevin Streelman,63,+.080
125,T123,T109,Aaron Wise,52,+.080
126,T127,T96,Kramer Hickok,59,+.082
127,T127,T128,Kyoung-Hoon Lee,72,+.082
128,129,T123,Sam Saunders,53,+.085
129,130,130,Matt Jones,67,+.087
130,131,131,Ian Poulter,49,+.089
131,132,T136,Ollie Schniederjans,63,+.090
132,T133,T132,Justin Harding,31,+.091
133,T133,T96,Curtis Luck,51,+.091
134,135,T134,Tyrrell Hatton,46,+.092
135,136,T157,Shawn Stefani,57,+.094
136,137,T118,Ben Silverman,54,+.097
137,138,89,Zach Johnson,50,+.098
138,139,T145,Nick Watney,67,+.099
139,140,T168,Chris Thompson,34,+.100
140,141,T142,Jimmy Walker,61,+.102
141,142,T142,Ryan Blaum,67,+.103
142,T143,T190,Jonathan Byrd,43,+.104
143,T143,T104,Roberto Díaz,51,+.104
144,145,T145,Graeme McDowell,61,+.105
145,T146,148,Cameron Champ,58,+.108
146,T146,167,Brian Harman,67,+.108
147,T146,152,Bubba Watson,47,+.108
148,T149,149,Beau Hossler,66,+.109
149,T149,T150,Peter Malnati,64,+.109
150,T149,147,Scott Piercy,70,+.109
151,152,T123,Dominic Bozzelli,53,+.110
152,T153,T139,Jim Furyk,53,+.111
153,T153,T139,Bill Haas,58,+.111
154,T153,154,Adam Schenk,80,+.111
155,T153,T181,Johnson Wagner,45,+.111
156,157,153,Troy Merritt,42,+.113
157,158,90,Seamus Power,58,+.114
158,159,171,Adam Hadwin,66,+.116
159,160,T162,Scott Brown,66,+.117
160,161,155,John Huh,35,+.118
161,T162,T168,Kyle Jones,49,+.119
162,T162,156,Kevin Na,54,+.119
163,T164,T157,Hunter Mahan,45,+.120
164,T164,T157,Matt Wallace,31,+.120
165,166,172,John Chin,38,+.121
166,T167,160,Max Homa,61,+.125
167,T167,189,Alex Noren,49,+.125
168,169,177,Ryan Armour,66,+.126
169,170,164,Kevin Kisner,65,+.129
170,171,186,Kelly Kraft,67,+.134
171,172,141,Chase Wright,53,+.138
172,T173,165,Roberto Castro,54,+.143
173,T173,T174,Branden Grace,62,+.143
174,T173,T174,Charley Hoffman,58,+.143
175,T173,T174,Tiger Woods,31,+.143
176,177,T168,Wes Roach,45,+.145
177,178,178,Billy Horschel,73,+.147
178,T179,T150,Brian Gay,79,+.148
179,T179,T162,J.J. Henry,42,+.148
180,T181,188,Whee Kim,57,+.151
181,T181,138,Rod Pampling,40,+.151
182,183,166,Matt Every,38,+.152
183,184,180,Anirban Lahiri,54,+.153
184,T185,T181,Kiradech Aphibarnrat,49,+.155
185,T185,179,Martin Trainer,51,+.155
186,187,T183,Chris Kirk,47,+.157
187,188,T183,Richy Werenski,63,+.158
188,189,187,Louis Oosthuizen,43,+.167
189,190,999,Tyrone Van Aswegen,30,+.178
190,T191,185,Scott Langley,60,+.180
191,T191,T190,Justin Rose,42,+.180
192,193,198,Jim Herman,37,+.186
193,194,192,Brice Garnett,63,+.190
194,195,193,Charl Schwartzel,34,+.191
195,196,200,Cody Gribble,52,+.197
196,197,999,Shane Lowry,30,+.200
197,198,194,Jason Dufner,56,+.206
198,199,195,Matthew Fitzpatrick,42,+.208
