,Driving_Pct._320_Measured_RANK THIS WEEK,Driving_Pct._320_Measured_RANK LAST WEEK,Driving_Pct._320_Measured_PLAYER NAME,Driving_Pct._320_Measured_ROUNDS,Driving_Pct._320_Measured_%,Driving_Pct._320_Measured_TOTAL DRIVES FOR 320+,Driving_Pct._320_Measured_TOTAL DRVS - OVERALL,Driving_Pct._320_Measured_RELATIVE TO PAR
54,55,55,Jimmy Walker,61,15.31,15.0,98,-0.20
55,56,54,Sam Saunders,53,15.09,16.0,106,-0.38
56,57,56,Beau Hossler,66,14.66,17.0,116,+0.12
57,58,57,Roger Sloan,62,14.52,18.0,124,-0.44
58,T59,T58,Patton Kizzire,58,13.64,12.0,88,E
59,T59,70,Peter Uihlein,65,13.64,15.0,110,-0.47
60,T59,T58,Matt Wallace,31,13.64,6.0,44,-0.17
61,62,68,Harris English,72,13.57,19.0,140,-0.32
62,63,T71,Sebastián Muñoz,58,13.39,15.0,112,-0.40
63,T64,60,Troy Merritt,42,13.24,9.0,68,-0.33
64,T64,82,Alex Noren,49,13.24,9.0,68,E
65,66,61,Branden Grace,62,13.16,10.0,76,-0.60
66,67,62,Sung Kang,67,13.11,16.0,122,-0.81
67,68,T64,Jordan Spieth,57,13.0,13.0,100,-0.15
68,T69,T64,Adam Hadwin,66,12.96,14.0,108,-1.00
69,T69,T64,Mackenzie Hughes,58,12.96,14.0,108,-0.57
70,T69,67,Adam Scott,41,12.96,7.0,54,-0.14
71,72,69,Jim Knous,55,12.75,13.0,102,-0.08
72,T73,T71,Tommy Fleetwood,43,12.5,7.0,56,-0.14
73,T73,T71,Patrick Reed,53,12.5,10.0,80,-0.20
74,T73,T71,Cameron Tringale,52,12.5,12.0,96,-0.42
75,76,75,Dylan Frittelli,55,12.26,13.0,106,-0.62
76,77,76,Adam Schenk,80,12.18,19.0,156,-0.42
77,78,77,Talor Gooch,37,12.16,9.0,74,-0.56
78,79,78,Lucas Glover,62,12.07,14.0,116,-0.57
79,80,T84,Seamus Power,58,12.04,13.0,108,-0.62
80,81,80,Emiliano Grillo,65,11.96,11.0,92,-0.27
81,T82,81,Kiradech Aphibarnrat,49,11.76,8.0,68,+0.13
82,T82,89,Chase Wright,53,11.76,12.0,102,-0.17
83,84,T84,Martin Laird,60,11.61,13.0,112,-0.62
84,T85,88,Ryan Palmer,56,11.36,10.0,88,-0.60
85,T85,86,Tiger Woods,31,11.36,5.0,44,-0.80
86,87,90,Sangmoon Bae,42,11.25,9.0,80,-0.33
87,88,83,Scott Piercy,70,11.21,13.0,116,-0.23
88,89,79,Matt Kuchar,65,11.11,12.0,108,-0.42
89,90,87,Scott Stallings,63,10.91,12.0,110,-0.50
90,91,92,Stewart Cink,33,10.87,5.0,46,-0.80
91,92,97,Wes Roach,45,10.47,9.0,86,-0.44
92,T93,123,Cody Gribble,52,10.42,10.0,96,-0.40
93,T93,95,Chesson Hadley,58,10.42,10.0,96,-0.80
94,95,91,Matt Every,38,10.29,7.0,68,-0.71
95,96,94,Fabián Gómez,44,10.23,9.0,88,-0.22
96,T97,93,Stephan Jaeger,59,10.0,11.0,110,E
97,T97,98,Ian Poulter,49,10.0,6.0,60,-0.17
98,99,T99,Abraham Ancer,69,9.82,11.0,112,-0.27
99,100,96,Joaquin Niemann,68,9.68,12.0,124,-0.42
100,101,T101,Francesco Molinari,41,9.62,5.0,52,+0.20
101,T102,T105,Charley Hoffman,58,9.52,8.0,84,-0.50
102,T102,T105,Matt Jones,67,9.52,12.0,126,-0.67
103,T104,T109,Daniel Berger,48,9.38,9.0,96,-0.44
104,T104,108,Si Woo Kim,65,9.38,9.0,96,-0.67
105,106,T101,Corey Conners,62,9.26,10.0,108,-0.40
106,107,T103,Adam Svensson,51,9.18,9.0,98,-0.56
107,108,T99,Peter Malnati,64,9.17,11.0,120,-0.55
108,109,T109,Kevin Na,54,9.09,6.0,66,-0.50
109,110,111,Billy Horschel,73,9.0,9.0,100,-0.56
110,111,T103,Brandt Snedeker,68,8.82,9.0,102,-0.56
111,112,114,Sungjae Im,88,8.75,14.0,160,-0.50
112,113,T105,Webb Simpson,53,8.7,8.0,92,-0.13
113,114,121,Danny Willett,47,8.54,7.0,82,-0.14
114,115,113,Shawn Stefani,57,8.49,9.0,106,-0.56
115,T116,T116,Sam Ryder,52,8.33,8.0,96,-0.88
116,T116,112,Nick Taylor,70,8.33,11.0,132,-0.55
117,T116,999,Tyrone Van Aswegen,30,8.33,5.0,60,-0.80
118,119,115,Bud Cauley,61,8.2,10.0,122,-0.60
119,120,T116,Tom Hoge,70,8.06,10.0,124,-0.50
120,121,122,Adam Long,52,8.0,8.0,100,-0.25
121,122,T116,John Chin,38,7.89,6.0,76,-0.33
122,123,120,Julián Etulain,55,7.84,8.0,102,-0.63
123,124,125,James Hahn,34,7.69,4.0,52,-0.25
124,125,126,J.T. Poston,76,7.64,11.0,144,+0.09
125,T126,134,Kramer Hickok,59,7.63,9.0,118,-0.78
126,T126,124,Denny McCarthy,63,7.63,9.0,118,-0.44
127,T128,T127,Bronson Burgoon,37,7.58,5.0,66,E
128,T128,T127,Joel Dahmen,78,7.58,10.0,132,+0.10
129,130,129,Russell Knox,65,7.41,8.0,108,E
130,131,130,Kevin Streelman,63,7.38,9.0,122,-0.44
131,132,T116,Henrik Stenson,46,7.35,5.0,68,-0.40
132,133,137,Scott Brown,66,7.26,9.0,124,-0.44
133,T134,T132,Freddie Jacobson,37,7.14,5.0,70,-0.40
134,T134,138,J.J. Spaun,68,7.14,8.0,112,-0.38
135,136,131,Chris Stroud,54,7.0,7.0,100,-0.29
136,137,136,Marc Leishman,52,6.94,5.0,72,-0.20
137,138,135,Russell Henley,56,6.73,7.0,104,-0.57
138,139,T132,Graeme McDowell,61,6.6,7.0,106,+0.14
139,140,139,Rafa Cabrera Bello,57,6.58,5.0,76,-0.20
140,141,T150,Bill Haas,58,6.48,7.0,108,-0.71
141,142,140,Matthew Fitzpatrick,42,6.45,4.0,62,E
142,T143,T143,Andrew Putnam,57,6.25,5.0,80,E
143,T143,T143,Chez Reavie,67,6.25,6.0,96,-0.50
144,T143,T143,Kyle Stanley,53,6.25,4.0,64,E
145,T146,152,Brian Harman,67,6.14,7.0,114,-0.43
146,T146,T141,Hudson Swafford,59,6.14,7.0,114,-0.71
147,148,147,Kevin Kisner,65,6.0,6.0,100,E
148,149,148,Rory Sabbatini,71,5.97,8.0,134,E
149,150,T141,Kelly Kraft,67,5.93,7.0,118,E
150,151,T159,Dominic Bozzelli,53,5.88,6.0,102,-0.17
151,152,T150,Charl Schwartzel,34,5.77,3.0,52,-0.67
152,153,149,Richy Werenski,63,5.74,7.0,122,-0.57
153,T154,T153,Satoshi Kodaira,51,5.56,4.0,72,+0.25
154,T154,T153,Hunter Mahan,45,5.56,5.0,90,E
155,T154,146,Josh Teater,47,5.56,5.0,90,-0.20
156,157,157,Jason Dufner,56,5.43,5.0,92,E
157,158,158,John Senden,39,5.41,4.0,74,-0.75
158,159,T153,Kyle Jones,49,5.32,5.0,94,-0.20
159,160,T153,Austin Cook,50,5.26,4.0,76,-0.50
160,161,162,Andrew Landry,56,5.21,5.0,96,-0.20
161,162,T166,Joey Garber,44,5.0,4.0,80,+0.25
162,T163,T159,Hank Lebioda,55,4.9,5.0,102,-0.40
163,T163,T159,José de Jesús Rodríguez,51,4.9,5.0,102,-0.40
164,165,163,Brice Garnett,63,4.72,5.0,106,-0.60
165,166,T179,Chris Thompson,34,4.41,3.0,68,E
166,167,T164,Anirban Lahiri,54,4.35,4.0,92,-0.25
167,T168,T164,Roberto Castro,54,4.0,4.0,100,-1.00
168,T168,170,C.T. Pan,64,4.0,4.0,100,-0.50
169,170,T166,J.J. Henry,42,3.95,3.0,76,-0.67
170,T171,T166,Jonas Blixt,66,3.91,5.0,128,-0.20
171,T171,T166,Tyler Duncan,66,3.91,5.0,128,-0.40
172,T171,171,Kyoung-Hoon Lee,72,3.91,5.0,128,-0.60
173,174,T172,Michael Kim,51,3.85,3.0,78,-0.33
174,175,188,Ben Crane,41,3.66,3.0,82,-0.67
175,T176,T172,Robert Streb,60,3.57,4.0,112,-0.50
176,T176,T175,Michael Thompson,56,3.57,4.0,112,-0.50
177,178,174,Johnson Wagner,45,3.49,3.0,86,-0.67
178,179,T175,Ryan Armour,66,3.45,4.0,116,E
179,T180,177,Whee Kim,57,3.33,3.0,90,-0.67
180,T180,999,Martin Piller,30,3.33,2.0,60,-0.50
181,T182,178,Anders Albertson,48,3.26,3.0,92,-0.33
182,T182,181,Ryan Moore,54,3.26,3.0,92,-1.00
183,184,T179,Roberto Díaz,51,3.19,3.0,94,E
184,185,182,Ryan Blaum,67,3.17,4.0,126,-0.75
185,186,184,Vaughn Taylor,69,2.99,4.0,134,-0.50
186,T187,T185,Aaron Baddeley,51,2.94,3.0,102,E
187,T187,T185,Martin Kaymer,38,2.94,2.0,68,-0.50
188,189,183,Ben Silverman,54,2.78,3.0,108,-0.33
189,190,187,Jim Herman,37,2.7,2.0,74,-1.00
190,191,189,Pat Perez,52,2.63,2.0,76,-0.50
191,192,190,Nate Lashley,44,2.38,2.0,84,-1.00
192,193,192,Brian Stuard,76,2.34,3.0,128,-0.33
193,194,191,Brian Gay,79,2.24,3.0,134,+0.33
194,195,193,Curtis Luck,51,2.13,2.0,94,+0.50
195,196,194,Scott Langley,60,1.72,2.0,116,-0.50
196,197,196,Ernie Els,43,1.52,1.0,66,-1.00
197,198,195,Rod Pampling,40,1.47,1.0,68,E
198,199,T197,John Huh,35,1.43,1.0,70,E
199,T200,T197,Alex Cejka,41,1.35,1.0,74,E
200,T200,T197,David Hearn,41,1.35,1.0,74,E
201,202,200,Brady Schnell,38,1.32,1.0,76,E
202,203,201,Zach Johnson,50,1.09,1.0,92,+1.00
203,204,202,Jim Furyk,53,1.04,1.0,96,-1.00
204,T205,T203,Jonathan Byrd,43,0.0,,82,E
205,T205,T203,Justin Harding,31,0.0,,24,E
206,T205,T203,Chris Kirk,47,0.0,,90,E
207,T205,T203,D.A. Points,33,0.0,,66,E
208,T205,T203,"Ted Potter, Jr.",56,0.0,,92,E
