,Driving_Pct._280-300_All_Drives_RANK THIS WEEK,Driving_Pct._280-300_All_Drives_RANK LAST WEEK,Driving_Pct._280-300_All_Drives_PLAYER NAME,Driving_Pct._280-300_All_Drives_ROUNDS,Driving_Pct._280-300_All_Drives_%,Driving_Pct._280-300_All_Drives_TOTAL DRIVES FOR 280-300,Driving_Pct._280-300_All_Drives_TOTAL DRIVES - OVERALL,Driving_Pct._280-300_All_Drives_RELATIVE TO PAR
61,T62,T61,Aaron Baddeley,51,33.65,179,532,-0.089
62,T62,T61,Jordan Spieth,57,33.65,212,630,-0.090
63,T62,T61,Kevin Streelman,63,33.65,249,740,-0.036
64,T65,64,Adam Scott,41,33.63,113,336,-0.168
65,T65,72,Brandt Snedeker,68,33.63,226,672,-0.164
66,67,20,Hank Lebioda,55,33.58,182,542,-0.121
67,68,65,Stewart Cink,33,33.56,98,292,+0.031
68,69,T66,Billy Horschel,73,33.44,212,634,-0.094
69,70,T88,Josh Teater,47,33.41,145,434,+0.034
70,71,70,C.T. Pan,64,33.39,195,584,-0.062
71,72,71,Matt Jones,67,33.23,208,626,-0.082
72,73,79,Ryan Palmer,56,33.15,181,546,+0.022
73,74,76,Russell Henley,56,33.11,198,598,-0.076
74,75,77,Chase Wright,53,33.09,180,544,-0.050
75,76,73,Chesson Hadley,58,33.05,193,584,+0.047
76,77,74,Hunter Mahan,45,33.04,152,460,-0.066
77,78,69,Wes Roach,45,33.0,134,406,E
78,79,75,Chris Kirk,47,32.99,161,488,-0.087
79,80,137,Jonathan Byrd,43,32.91,129,392,-0.070
80,81,102,J.J. Henry,42,32.8,124,378,-0.032
81,T82,86,Jonas Blixt,66,32.73,237,724,-0.089
82,T82,81,Anirban Lahiri,54,32.73,182,556,+0.027
83,84,78,Denny McCarthy,63,32.72,214,654,-0.098
84,85,999,Tyrone Van Aswegen,30,32.71,87,266,-0.023
85,86,T82,Cameron Smith,55,32.68,151,462,-0.020
86,T87,T84,Lucas Glover,62,32.66,241,738,-0.095
87,T87,T84,Sung Kang,67,32.66,241,738,-0.029
88,89,87,Robert Streb,60,32.57,200,614,-0.045
89,90,90,Louis Oosthuizen,43,32.53,108,332,-0.028
90,91,91,Pat Perez,52,32.51,132,406,-0.015
91,92,114,Jim Herman,37,32.45,122,376,-0.008
92,T93,92,Sam Ryder,52,32.44,181,558,-0.144
93,T93,97,Webb Simpson,53,32.44,205,632,-0.180
94,95,80,Graeme McDowell,61,32.37,180,556,-0.083
95,96,95,Charles Howell III,64,32.34,196,606,-0.082
96,97,106,Austin Cook,50,32.3,157,486,+0.025
97,98,98,Justin Rose,42,32.27,131,406,+0.023
98,99,99,Brendan Steele,50,32.17,166,516,E
99,100,100,Haotong Li,32,32.14,90,280,-0.022
100,101,104,Matt Kuchar,65,32.1,217,676,-0.198
101,102,58,Talor Gooch,37,32.03,139,434,-0.050
102,103,93,Danny Willett,47,32.01,169,528,-0.030
103,104,103,Troy Merritt,42,31.97,149,466,-0.128
104,T105,107,Kevin Kisner,65,31.77,190,598,-0.105
105,T105,101,Joaquin Niemann,68,31.77,230,724,+0.030
106,107,136,David Hearn,41,31.74,106,334,-0.160
107,108,109,Chez Reavie,67,31.72,177,558,-0.136
108,109,111,Patrick Reed,53,31.54,164,520,-0.085
109,T110,112,Emiliano Grillo,65,31.53,181,574,-0.044
110,T110,108,Curtis Luck,51,31.53,140,444,-0.057
111,112,110,Alex Prugh,54,31.47,158,502,-0.051
112,113,113,Tyler Duncan,66,31.46,202,642,-0.050
113,114,94,Jim Knous,55,31.4,162,516,-0.037
114,T115,121,Keegan Bradley,65,31.33,198,632,-0.121
115,T115,115,Danny Lee,66,31.33,240,766,-0.004
116,117,105,D.J. Trahan,33,31.2,83,266,-0.084
117,118,127,Tom Hoge,70,31.19,209,670,-0.033
118,119,116,Xander Schauffele,55,31.17,154,494,-0.110
119,120,T140,Chris Stroud,54,31.12,173,556,+0.081
120,121,132,Brice Garnett,63,31.08,179,576,-0.095
121,T122,118,Ernie Els,43,31.04,113,364,-0.097
122,T122,120,Carlos Ortiz,60,31.04,208,670,-0.091
123,124,119,Matthew Fitzpatrick,42,31.03,126,406,-0.103
124,125,96,Cameron Tringale,52,30.8,146,474,-0.075
125,126,T122,"Ted Potter, Jr.",56,30.79,186,604,-0.054
126,127,124,Charl Schwartzel,34,30.77,64,208,-0.063
127,128,125,Scott Stallings,63,30.65,209,682,+0.010
128,129,117,Seamus Power,58,30.62,188,614,+0.005
129,130,126,Aaron Wise,52,30.6,164,536,-0.037
130,131,128,Brady Schnell,38,30.49,111,364,-0.054
131,132,131,Whee Kim,57,30.41,132,434,-0.015
132,133,130,Patrick Rodgers,44,30.38,161,530,-0.056
133,134,T122,Dominic Bozzelli,53,30.3,140,462,-0.057
134,135,133,Andrew Landry,56,30.23,182,602,-0.082
135,136,153,Sergio Garcia,39,30.15,117,388,-0.085
136,137,134,Patton Kizzire,58,30.12,156,518,-0.032
137,138,139,Ian Poulter,49,29.95,127,424,+0.008
138,139,142,Bryson DeChambeau,45,29.85,160,536,-0.188
139,140,143,Rafa Cabrera Bello,57,29.8,149,500,-0.114
140,141,158,Kyle Jones,49,29.71,145,488,-0.076
141,142,146,Scott Piercy,70,29.55,208,704,-0.106
142,143,145,Fabián Gómez,44,29.52,124,420,-0.153
143,144,144,Branden Grace,62,29.51,144,488,-0.007
144,145,999,Martin Piller,30,29.41,70,238,-0.100
145,146,T140,Adam Schenk,80,29.24,245,838,-0.016
146,147,129,Harris English,72,29.21,236,808,-0.064
147,148,149,Marc Leishman,52,29.15,144,494,-0.076
148,149,151,Hideki Matsuyama,59,29.07,175,602,-0.069
149,150,135,Jimmy Walker,61,29.04,187,644,+0.005
150,151,152,Jon Rahm,51,29.0,134,462,+0.007
151,152,138,Lucas Bjerregaard,37,28.9,89,308,-0.090
152,153,148,Harold Varner III,62,28.87,209,724,+0.005
153,154,155,Francesco Molinari,41,28.8,106,368,-0.028
154,155,156,Kevin Na,54,28.79,133,462,-0.105
155,156,175,Roberto Castro,54,28.42,158,556,-0.076
156,157,150,Cameron Davis,54,28.29,146,516,-0.027
157,158,163,Martin Laird,60,28.28,194,686,-0.036
158,159,159,Ryan Moore,54,28.17,169,600,-0.118
159,160,157,Brandon Harkins,67,28.15,192,682,-0.005
160,161,161,Michael Kim,51,28.05,138,492,+0.007
161,162,147,Cody Gribble,52,27.96,156,558,+0.013
162,163,154,Alex Noren,49,27.92,129,462,-0.047
163,T164,T164,Max Homa,61,27.76,186,670,+0.075
164,T164,T164,Andrew Putnam,57,27.76,141,508,-0.121
165,166,166,D.A. Points,33,27.65,73,264,+0.041
166,167,167,Jason Kokrak,68,27.64,204,738,-0.064
167,168,168,Jason Day,45,27.56,97,352,-0.062
168,169,999,Shane Lowry,30,27.55,81,294,-0.160
169,170,169,Freddie Jacobson,37,27.54,92,334,+0.130
170,171,170,Patrick Cantlay,49,27.49,127,462,-0.157
171,172,160,Sepp Straka,48,27.48,122,444,-0.033
172,173,172,Mackenzie Hughes,58,27.45,168,612,+0.012
173,174,171,Satoshi Kodaira,51,27.35,134,490,-0.015
174,175,173,Paul Casey,51,27.19,118,434,-0.161
175,T176,177,Ryan Armour,66,27.13,185,682,-0.070
176,T176,176,Nick Watney,67,27.13,185,682,-0.022
177,178,162,Justin Thomas,49,27.08,130,480,-0.092
178,179,178,Jhonattan Vegas,60,26.44,174,658,+0.034
179,180,179,Byeong Hun An,54,26.37,144,546,-0.028
180,181,190,Alex Cejka,41,26.2,98,374,-0.010
181,182,182,Jim Furyk,53,26.14,149,570,-0.128
182,183,187,Johnson Wagner,45,26.12,117,448,-0.137
183,184,181,Sam Burns,66,26.06,196,752,+0.082
184,185,180,Martin Trainer,51,25.99,145,558,+0.076
185,186,184,Henrik Stenson,46,25.64,121,472,-0.149
186,187,192,Brian Gay,79,25.62,207,808,-0.053
187,188,185,Ollie Schniederjans,63,25.46,167,656,+0.078
188,189,174,Dustin Johnson,47,25.21,120,476,-0.067
189,190,183,J.B. Holmes,54,25.0,98,392,+0.010
190,191,188,Keith Mitchell,64,24.91,143,574,-0.007
191,192,197,Ben Crane,41,24.87,94,378,-0.064
192,193,189,Rickie Fowler,54,24.6,155,630,+0.026
193,194,191,Gary Woodland,63,24.34,147,604,-0.102
194,195,186,Peter Uihlein,65,24.25,145,598,+0.041
195,196,195,Kevin Tway,62,24.21,153,632,+0.059
196,197,193,Tony Finau,61,23.87,137,574,+0.015
197,198,194,Phil Mickelson,41,23.81,100,420,-0.040
198,199,196,Brooks Koepka,49,23.11,98,424,-0.122
199,200,198,Luke List,52,22.92,138,602,-0.043
200,201,199,Brian Stuard,76,21.8,167,766,-0.228
201,202,200,Seth Reeves,52,21.51,108,502,-0.019
202,203,202,Bubba Watson,47,21.43,108,504,-0.120
203,204,201,Trey Mullinax,67,21.0,155,738,+0.013
204,205,203,Rory McIlroy,50,19.54,102,522,-0.078
205,206,204,Wyndham Clark,61,19.42,127,654,+0.071
206,207,205,Scott Langley,60,18.81,126,670,-0.063
207,208,206,Grayson Murray,36,18.23,66,362,+0.197
208,209,207,Cameron Champ,58,17.6,119,676,+0.084
