,Smash_Factor_RANK THIS WEEK,Smash_Factor_RANK LAST WEEK,Smash_Factor_PLAYER NAME,Smash_Factor_ROUNDS,Smash_Factor_AVG.,Smash_Factor_TOTAL SMASH FACTOR,Smash_Factor_TOTAL ATTEMPTS,Smash_Factor_HIGHEST VALUE,Smash_Factor_LOWEST VALUE
168,T169,T169,Justin Harding,31,1.48,31.076999999999998,21,,1.263
169,T169,T169,Si Woo Kim,65,1.48,76.958,52,,1.4280000000000002
170,T169,T169,Chris Kirk,47,1.48,56.222,38,,1.3980000000000001
171,T169,T169,Satoshi Kodaira,51,1.48,35.522,24,,1.368
172,T173,T177,Sungjae Im,88,1.479,162.72799999999998,110,,1.4409999999999998
173,T173,999,Shane Lowry,30,1.479,31.064,21,,1.2309999999999999
174,T173,T169,Seamus Power,58,1.479,106.464,72,,1.374
175,T176,175,Bill Haas,58,1.4780000000000002,106.41,72,,1.432
176,T176,T154,Whee Kim,57,1.4780000000000002,62.09,42,,1.386
177,T176,176,Charl Schwartzel,34,1.4780000000000002,32.52,22,,1.439
178,T179,T177,Bryson DeChambeau,45,1.4769999999999999,41.348,28,,1.4269999999999998
179,T179,181,Tyler Duncan,66,1.4769999999999999,113.73299999999999,77,,1.393
180,T179,T169,Rory McIlroy,50,1.4769999999999999,66.443,45,,1.4280000000000002
181,T179,T177,Gary Woodland,63,1.4769999999999999,82.723,56,,1.39
182,T183,T182,James Hahn,34,1.474,14.742,10,,1.4580000000000002
183,T183,T185,Danny Lee,66,1.474,104.65700000000001,71,,1.3880000000000001
184,T183,T182,Phil Mickelson,41,1.474,17.688,12,,1.3619999999999999
185,186,T182,Adam Svensson,51,1.473,69.23,47,,1.41
186,T187,T187,Ryan Moore,54,1.472,98.62700000000001,67,,1.3559999999999999
187,T187,T187,Kevin Na,54,1.472,51.513000000000005,35,,1.38
188,T189,T189,Freddie Jacobson,37,1.4709999999999999,50.028999999999996,34,,1.4369999999999998
189,T189,T189,Hunter Mahan,45,1.4709999999999999,51.494,35,,1.4069999999999998
190,T189,T185,Sebastián Muñoz,58,1.4709999999999999,92.7,63,,1.421
191,T192,194,Scott Brown,66,1.47,133.745,91,,1.426
192,T192,T189,Scott Langley,60,1.47,88.18299999999999,60,,1.4280000000000002
193,T192,T192,Patrick Reed,53,1.47,63.207,43,,1.29
194,T195,T192,Sergio Garcia,39,1.469,64.624,44,,1.42
195,T195,T177,Chris Thompson,34,1.469,51.4,35,,1.383
196,197,T195,Brooks Koepka,49,1.466,70.363,48,,1.4040000000000001
197,T198,T195,Rod Pampling,40,1.465,79.126,54,,1.371
198,T198,197,John Senden,39,1.465,48.357,33,,1.3840000000000001
199,200,198,Talor Gooch,37,1.4609999999999999,64.27600000000001,44,,1.401
200,201,199,Cameron Tringale,52,1.46,93.432,64,,1.381
201,202,200,Jhonattan Vegas,60,1.459,70.039,48,,1.399
202,203,201,Adam Schenk,80,1.4569999999999999,119.45100000000001,82,,1.367
203,204,202,Martin Kaymer,38,1.456,82.969,57,,1.3769999999999998
204,205,203,Pat Perez,52,1.452,37.760999999999996,26,,1.4040000000000001
205,T206,T204,Haotong Li,32,1.4480000000000002,27.519000000000002,19,,1.4169999999999998
206,T206,T204,Tiger Woods,31,1.4480000000000002,18.823,13,,1.4069999999999998
207,208,206,Shawn Stefani,57,1.445,57.818999999999996,40,,1.3980000000000001
208,209,207,Andrew Putnam,57,1.442,53.353,37,,1.376
