,Total_Driving_Efficiency_RANK THIS WEEK,Total_Driving_Efficiency_RANK LAST WEEK,Total_Driving_Efficiency_PLAYER NAME,Total_Driving_Efficiency_ROUNDS,Total_Driving_Efficiency_COMBINED RANK,Total_Driving_Efficiency_CARRY EFFICIENCY RANK,Total_Driving_Efficiency_TOTAL DIST. EFFIC. RANK
124,T124,135,Peter Malnati,64,247,112,135
125,126,110,Tony Finau,61,248,116,132
126,127,152,Sungjae Im,88,249,133,116
127,128,T133,Scott Piercy,70,250,137,113
128,T129,109,Roberto Castro,54,253,133,120
129,T129,T133,Bill Haas,58,253,108,145
130,T129,117,Phil Mickelson,41,253,79,174
131,132,119,Jordan Spieth,57,257,95,162
132,133,T120,Abraham Ancer,69,258,170,88
133,134,130,Ian Poulter,49,259,198,61
134,135,T120,Billy Horschel,73,261,124,137
135,136,124,Jason Dufner,56,262,142,120
136,137,T125,Charles Howell III,64,267,154,113
137,T138,123,Emiliano Grillo,65,268,136,132
138,T138,146,Joaquin Niemann,68,268,162,106
139,T138,T131,Gary Woodland,63,268,145,123
140,141,T131,Max Homa,61,270,131,139
141,142,T125,Charley Hoffman,58,271,107,164
142,143,T125,Hudson Swafford,59,273,117,156
143,144,137,Sung Kang,67,275,128,147
144,T145,147,Russell Henley,56,286,186,100
145,T145,138,"Ted Potter, Jr.",56,286,157,129
146,147,T139,Jon Rahm,51,287,119,168
147,148,T139,Bryson DeChambeau,45,288,108,180
148,149,141,Louis Oosthuizen,43,291,120,171
149,150,T142,Si Woo Kim,65,294,138,156
150,151,144,Keith Mitchell,64,297,138,159
151,152,159,Jim Herman,37,301,175,126
152,153,153,Jason Kokrak,68,302,121,181
153,T154,155,Ryan Armour,66,303,177,126
154,T154,T148,Aaron Baddeley,51,303,159,144
155,T154,171,Tyler Duncan,66,303,151,152
156,T157,T148,Chris Kirk,47,304,157,147
157,T157,184,Justin Thomas,49,304,162,142
158,T159,145,Whee Kim,57,305,128,177
159,T159,151,Sam Ryder,52,305,179,126
160,T161,170,Scott Brown,66,306,161,145
161,T161,166,Ollie Schniederjans,63,306,142,164
162,163,T162,Jim Furyk,53,310,172,138
163,T164,T156,Patton Kizzire,58,312,124,188
164,T164,T156,Matt Wallace,31,312,121,191
165,166,T156,Kiradech Aphibarnrat,49,314,148,166
166,167,T160,Daniel Berger,48,316,165,151
167,168,173,Sergio Garcia,39,317,146,171
168,169,164,Xander Schauffele,55,322,151,171
169,170,T160,Seth Reeves,52,323,173,150
170,T171,T162,Matt Jones,67,329,168,161
171,T171,T180,Rod Pampling,40,329,188,141
172,173,167,Patrick Rodgers,44,333,166,167
173,T174,169,Kevin Kisner,65,336,168,168
174,T174,168,Seamus Power,58,336,182,154
175,T174,165,Chris Thompson,34,336,162,174
176,177,191,Bubba Watson,47,338,154,184
177,178,177,Brooks Koepka,49,348,151,197
178,179,172,Stewart Cink,33,349,191,158
179,180,174,Russell Knox,65,351,174,177
180,T181,188,Alex Noren,49,353,159,194
181,T181,T185,Shawn Stefani,57,353,171,182
182,T181,T180,Adam Svensson,51,353,183,170
183,184,T175,Jhonattan Vegas,60,359,197,162
184,185,T175,Branden Grace,62,360,184,176
185,186,T180,Ryan Moore,54,363,204,159
186,T187,T178,Sebastián Muñoz,58,364,179,185
187,T187,183,John Senden,39,364,185,179
188,T187,T178,Henrik Stenson,46,364,178,186
189,190,T193,Kevin Tway,62,372,179,193
190,T191,187,Marc Leishman,52,373,186,187
191,T191,T185,Cameron Tringale,52,373,175,198
192,193,189,Matthew Fitzpatrick,42,378,188,190
193,194,190,Justin Harding,31,381,192,189
194,195,200,Scott Langley,60,384,202,182
