,Driving_Pct._260-280_Measured_RANK THIS WEEK,Driving_Pct._260-280_Measured_RANK LAST WEEK,Driving_Pct._260-280_Measured_PLAYER NAME,Driving_Pct._260-280_Measured_ROUNDS,Driving_Pct._260-280_Measured_%,Driving_Pct._260-280_Measured_TOTAL DRIVES FOR 260-280,Driving_Pct._260-280_Measured_TOTAL DRVS - OVERALL,Driving_Pct._260-280_Measured_RELATIVE TO PAR
104,T105,T102,Corey Conners,62,20.37,22,108,-0.05
105,T105,T95,Mackenzie Hughes,58,20.37,22,108,E
106,107,110,Charley Hoffman,58,20.24,17,84,+0.47
107,108,105,Curtis Luck,51,20.21,19,94,+0.05
108,T109,T92,Sangmoon Bae,42,20.0,16,80,+0.06
109,T109,111,Hunter Mahan,45,20.0,18,90,+0.06
110,111,112,Si Woo Kim,65,19.79,19,96,+0.37
111,112,115,Bud Cauley,61,19.67,24,122,E
112,113,109,Chase Wright,53,19.61,20,102,E
113,114,114,Emiliano Grillo,65,19.57,18,92,E
114,115,116,J.T. Poston,76,19.44,28,144,-0.11
115,116,T117,Patton Kizzire,58,19.32,17,88,-0.24
116,117,T98,Chris Thompson,34,19.12,13,68,+0.08
117,118,113,Sungjae Im,88,18.75,30,160,-0.03
118,119,119,Seamus Power,58,18.52,20,108,+0.05
119,120,999,Tyrone Van Aswegen,30,18.33,11,60,E
120,121,T120,Tiger Woods,31,18.18,8,44,-0.13
121,122,125,Shawn Stefani,57,17.92,19,106,-0.32
122,T123,T117,Cody Gribble,52,17.71,17,96,E
123,T123,124,Chesson Hadley,58,17.71,17,96,+0.24
124,T123,T120,Cameron Tringale,52,17.71,17,96,+0.18
125,126,T120,Talor Gooch,37,17.57,13,74,E
126,127,127,Matt Jones,67,17.46,22,126,+0.14
127,128,128,Beau Hossler,66,17.24,20,116,+0.05
128,129,123,Roger Sloan,62,16.94,21,124,-0.05
129,T130,T130,Paul Casey,51,16.67,11,66,-0.18
130,T130,126,Nate Lashley,44,16.67,14,84,-0.14
131,132,129,Scott Stallings,63,16.36,18,110,-0.11
132,133,T130,Sam Saunders,53,16.04,17,106,+0.12
133,134,135,Branden Grace,62,15.79,12,76,-0.08
134,135,133,Dominic Bozzelli,53,15.69,16,102,+0.31
135,136,136,Lucas Glover,62,15.52,18,116,-0.17
136,T137,142,Stephan Jaeger,59,15.45,17,110,-0.12
137,T137,132,Nick Watney,67,15.45,17,110,+0.12
138,139,139,Hank Lebioda,55,14.71,15,102,-0.20
139,140,137,Carlos Ortiz,60,14.66,17,116,-0.24
140,141,134,Daniel Berger,48,14.58,14,96,-0.07
141,T142,T143,Tommy Fleetwood,43,14.29,8,56,-0.38
142,T142,141,Brandon Harkins,67,14.29,18,126,+0.11
143,144,T143,Sepp Straka,48,14.13,13,92,+0.15
144,145,T143,Martin Trainer,51,13.73,14,102,+0.29
145,146,T149,Keith Mitchell,64,13.27,13,98,+0.31
146,147,138,Alex Noren,49,13.24,9,68,-0.33
147,148,T149,Dylan Frittelli,55,13.21,14,106,-0.29
148,149,151,Bryson DeChambeau,45,13.16,10,76,+0.50
149,150,152,Sung Kang,67,13.11,16,122,-0.13
150,T151,153,Stewart Cink,33,13.04,6,46,E
151,T151,T143,Kevin Tway,62,13.04,12,92,E
152,153,148,Alex Prugh,54,13.0,13,100,+0.54
153,154,154,Adam Scott,41,12.96,7,54,+0.29
154,155,140,D.J. Trahan,33,12.9,8,62,-0.25
155,156,155,Byeong Hun An,54,12.82,10,78,+0.30
156,157,147,Jim Knous,55,12.75,13,102,+0.15
157,158,156,Max Homa,61,12.71,15,118,-0.13
158,T159,T157,Martin Laird,60,12.5,14,112,+0.14
159,T159,T157,Danny Lee,66,12.5,15,120,E
160,T159,T157,Marc Leishman,52,12.5,9,72,+0.11
161,T159,T157,Haotong Li,32,12.5,5,40,+0.60
162,T159,T157,Sebastián Muñoz,58,12.5,14,112,E
163,T159,T157,Patrick Reed,53,12.5,10,80,+0.30
164,T159,T157,Sam Ryder,52,12.5,12,96,+0.17
165,T159,T157,Brendan Steele,50,12.5,10,80,E
166,167,167,Jhonattan Vegas,60,12.07,14,116,-0.21
167,168,166,Adam Schenk,80,11.54,18,156,-0.33
168,169,172,Hudson Swafford,59,11.4,13,114,-0.46
169,170,175,Joaquin Niemann,68,11.29,14,124,-0.36
170,171,165,Jimmy Walker,61,11.22,11,98,E
171,172,171,Rickie Fowler,54,11.0,11,100,+0.09
172,173,T173,Harold Varner III,62,10.83,13,120,+0.38
173,174,170,Julián Etulain,55,10.78,11,102,+0.18
174,T175,T173,Jason Day,45,10.71,6,56,-0.17
175,T175,168,Sergio Garcia,39,10.71,6,56,-0.17
176,177,169,Ryan Palmer,56,10.23,9,88,E
177,178,176,Charles Howell III,64,10.2,10,98,+0.10
178,179,179,Peter Uihlein,65,10.0,11,110,E
179,180,T177,Cameron Davis,54,9.62,10,104,+0.30
180,181,180,Wyndham Clark,61,9.32,11,118,-0.18
181,T182,T177,Lucas Bjerregaard,37,9.09,4,44,+0.50
182,T182,T182,Hideki Matsuyama,59,9.09,8,88,+0.13
183,T182,T182,Patrick Rodgers,44,9.09,8,88,+0.50
184,185,T184,Harris English,72,8.57,12,140,-0.08
185,186,181,Dustin Johnson,47,8.33,6,72,E
186,T187,T187,Cameron Champ,58,8.04,9,112,E
187,T187,T187,Jason Kokrak,68,8.04,9,112,E
188,189,T184,Seth Reeves,52,8.0,8,100,-0.13
189,190,186,Trey Mullinax,67,7.94,10,126,E
190,191,190,Tony Finau,61,7.29,7,96,+0.43
191,192,192,Sam Burns,66,7.03,9,128,+0.22
192,T193,194,Xander Schauffele,55,6.94,5,72,E
193,T193,189,Bubba Watson,47,6.94,5,72,-0.20
194,195,193,Aaron Wise,52,6.67,6,90,-0.17
195,196,191,Keegan Bradley,65,6.52,6,92,E
196,197,196,Justin Rose,42,6.25,4,64,-0.25
197,198,195,Justin Thomas,49,5.88,4,68,E
198,199,197,J.B. Holmes,54,5.71,4,70,E
199,200,199,Patrick Cantlay,49,5.56,4,72,E
200,201,198,Brooks Koepka,49,5.0,3,60,E
201,202,200,Matt Wallace,31,4.55,2,44,+1.00
202,203,204,Ollie Schniederjans,63,4.39,5,114,E
203,T204,T202,Grayson Murray,36,4.17,3,72,+0.67
204,T204,T202,Gary Woodland,63,4.17,4,96,E
205,206,201,Rory McIlroy,50,3.95,3,76,E
206,207,205,Luke List,52,3.06,3,98,E
207,208,206,Jon Rahm,51,2.78,2,72,-0.50
208,209,207,Phil Mickelson,41,1.47,1,68,+1.00
