,Average_Putting_Distance_-_GIR_3_Putts_RANK THIS WEEK,Average_Putting_Distance_-_GIR_3_Putts_RANK LAST WEEK,Average_Putting_Distance_-_GIR_3_Putts_PLAYER NAME,Average_Putting_Distance_-_GIR_3_Putts_ROUNDS,Average_Putting_Distance_-_GIR_3_Putts_AVG,Average_Putting_Distance_-_GIR_3_Putts_DISTANCE (FEET),Average_Putting_Distance_-_GIR_3_Putts_TOTAL PUTTS
107,108,108,Ian Poulter,68,"41' 7""",7.486000000000001,15
108,T109,T109,John Huh,102,"41' 6""",19.908,40
109,T109,T109,Chris Kirk,76,"41' 6""",9.963,20
110,111,111,Cameron Percy,72,"41' 5""",11.92,24
111,112,112,D.A. Points,72,"41' 4""",16.849,34
112,T113,T113,Luke Guthrie,84,"41' 3""",15.845999999999998,32
113,T113,T113,Sean O'Hair,86,"41' 3""",13.868,28
114,115,115,Derek Fathauer,81,"41' 2""",8.898,18
115,T116,T116,Keegan Bradley,87,"41' 1""",16.761,34
116,T116,T116,Ryan Palmer,80,"41' 1""",10.356,21
117,118,118,Tyrone Van Aswegen,58,"41' 0""",5.903,12
118,T119,T119,Retief Goosen,81,"40' 11""",16.211,33
119,T119,T119,Matt Jones,89,"40' 11""",13.252,27
120,T119,T119,David Lingmerth,90,"40' 11""",14.725999999999999,30
121,122,122,Michael Thompson,83,"40' 10""",20.084,41
122,T123,T123,Tom Hoge,83,"40' 9""",14.684000000000001,30
123,T123,T123,Danny Lee,120,"40' 9""",17.586,36
124,T125,T125,Steven Bowditch,103,"40' 8""",18.537,38
125,T125,T125,Bill Lunde,50,"40' 8""",12.677999999999999,26
126,T125,T125,Adam Scott,51,"40' 8""",13.164000000000001,27
127,128,128,Sam Saunders,83,"40' 7""",14.133,29
128,T129,T129,Graham DeLaet,65,"40' 6""",9.729,20
129,T129,T129,Robert Streb,110,"40' 6""",16.52,34
130,T131,T131,Jon Curran,83,"40' 5""",13.103,27
131,T131,T131,Luke Donald,71,"40' 5""",8.721,18
132,133,133,Patrick Reed,103,"40' 4""",11.612,24
133,T134,T134,Brian Davis,86,"40' 3""",16.917,35
134,T134,T134,Brooks Koepka,84,"40' 3""",11.097999999999999,23
135,T134,T134,Hudson Swafford,97,"40' 3""",15.940999999999999,33
136,137,137,Jordan Spieth,91,"40' 1""",7.691,16
137,T138,T138,Jason Dufner,76,"40' 0""",18.245,38
138,T138,T138,Jason Gore,76,"40' 0""",14.873,31
139,T138,T138,Jim Herman,88,"40' 0""",20.631999999999998,43
140,T138,T138,Zach Johnson,90,"40' 0""",8.158999999999999,17
141,T138,T138,Greg Owen,58,"40' 0""",7.197,15
142,T138,T138,Byron Smith,59,"40' 0""",11.517000000000001,24
143,144,144,Andres Romero,69,"39' 11""",14.834000000000001,31
144,145,145,David Hearn,97,"39' 9""",13.844000000000001,29
145,T146,T146,Jason Bohn,95,"39' 8""",10.956,23
146,T146,T146,Chesson Hadley,101,"39' 8""",18.573,39
147,T148,T148,Roberto Castro,54,"39' 6""",6.6339999999999995,14
148,T148,T148,Brian Harman,90,"39' 6""",11.366,24
149,T148,T148,Justin Rose,69,"39' 6""",8.062000000000001,17
150,T151,T151,Sangmoon Bae,98,"39' 5""",20.826,44
151,T151,T151,Scott Piercy,90,"39' 5""",21.265,45
152,153,153,Nick Watney,91,"39' 4""",23.138,49
153,154,154,Colt Knost,90,"38' 10""",10.243,22
154,T155,T155,Charlie Beljan,76,"38' 9""",17.666,38
155,T155,T155,Gonzalo Fernandez-Castaño,81,"38' 9""",15.807,34
156,T155,T155,Jeff Overton,94,"38' 9""",13.492,29
157,158,158,Seung-Yul Noh,65,"38' 8""",11.140999999999998,24
158,159,159,Jerry Kelly,79,"38' 6""",12.484000000000002,27
159,160,160,Adam Hadwin,95,"38' 3""",13.765,30
160,161,161,Whee Kim,71,"38' 1""",9.594,21
161,T162,T162,Vijay Singh,78,"37' 11""",17.275,38
162,T162,T162,Nick Taylor,91,"37' 11""",16.835,37
163,T164,T164,Ryo Ishikawa,90,"37' 8""",18.067999999999998,40
164,T164,T164,Cameron Tringale,96,"37' 8""",18.062,40
165,T166,T166,Padraig Harrington,60,"37' 7""",13.073,29
166,T166,T166,Mark Hubbard,79,"37' 7""",15.784,35
167,T166,T166,Jason Kokrak,88,"37' 7""",18.042,40
168,169,169,Steven Alker,62,"37' 5""",7.635,17
169,170,170,Russell Henley,87,"37' 2""",8.92,20
170,171,171,Kevin Streelman,95,"37' 0""",11.993,27
171,172,172,Lucas Glover,79,"36' 7""",25.883000000000003,59
172,T173,T173,William McGirt,103,"36' 6""",18.814,43
173,T173,T173,Bo Van Pelt,81,"36' 6""",13.588,31
174,175,175,Louis Oosthuizen,68,"36' 2""",10.408,24
175,176,176,Morgan Hoffmann,85,"35' 5""",8.505,20
176,177,177,Nicholas Thompson,90,"35' 3""",17.777,42
177,178,178,Tim Wilkinson,73,"35' 2""",10.124,24
178,179,179,Greg Chalmers,58,"34' 10""",6.275,15
179,T180,T180,Marc Leishman,74,"33' 11""",9.779,24
180,T180,T180,Roger Sloan,56,"33' 11""",6.922999999999999,17
181,182,182,Rory Sabbatini,81,"33' 10""",15.817,39
182,183,183,Ben Crane,62,"30' 3""",9.437999999999999,26
