,Best_YTD_Streak_wo_a_3-Putt_RANK THIS WEEK,Best_YTD_Streak_wo_a_3-Putt_RANK LAST WEEK,Best_YTD_Streak_wo_a_3-Putt_PLAYER NAME,Best_YTD_Streak_wo_a_3-Putt_EVENTS,Best_YTD_Streak_wo_a_3-Putt_BEST STREAK,Best_YTD_Streak_wo_a_3-Putt_CURRENT STREAK
35,T35,T34,Mackenzie Hughes,19,164,144.0
36,T35,T34,Hunter Mahan,15,164,46.0
37,T38,T37,Stuart Appleby,3,163,163.0
38,T38,T37,Dustin Johnson,12,163,31.0
39,T38,T37,Seamus Power,21,163,82.0
40,T41,T40,Fabián Gómez,14,162,1.0
41,T41,T40,Robert Streb,21,162,14.0
42,T41,T40,Harold Varner III,20,162,42.0
43,T44,43,Rickie Fowler,14,161,125.0
44,T44,T116,Nicholas Lindheim,10,161,161.0
45,T46,T44,Matt Jones,19,158,16.0
46,T46,T44,Russell Knox,18,158,3.0
47,T48,T46,Patrick Cantlay,14,157,67.0
48,T48,T46,Ollie Schniederjans,22,157,5.0
49,T50,T48,Corey Conners,20,156,3.0
50,T50,T48,Brian Harman,22,156,17.0
51,52,50,Brandon Harkins,21,155,2.0
52,53,51,Adam Schenk,24,154,10.0
53,T54,T52,Keegan Bradley,18,153,
54,T54,T52,Billy Hurley III,8,153,76.0
55,T56,T54,Daniel Berger,14,151,3.0
56,T56,T54,Brandt Snedeker,18,151,20.0
57,T56,T54,Brendan Steele,17,151,2.0
58,T59,T57,Ryan Blaum,21,149,62.0
59,T59,T57,Tom Hoge,24,149,45.0
60,T59,T57,Patrick Reed,15,149,47.0
61,62,60,Brian Gay,22,146,64.0
62,T63,T61,Martin Trainer,19,145,53.0
63,T63,T61,Richy Werenski,20,145,7.0
64,T65,T63,Jon Rahm,14,144,34.0
65,T65,T63,Scott Stallings,20,144,9.0
66,67,66,Byeong Hun An,15,143,123.0
67,T68,T67,Matthew Fitzpatrick,11,142,3.0
68,T68,T67,David Lipsky,4,142,1.0
69,70,69,Martin Laird,18,140,4.0
70,T71,T70,Jonathan Byrd,13,139,48.0
71,T71,T70,Branden Grace,18,139,139.0
