,Current_Streak_without_a_3-Putt_RANK THIS WEEK,Current_Streak_without_a_3-Putt_RANK LAST WEEK,Current_Streak_without_a_3-Putt_PLAYER NAME,Current_Streak_without_a_3-Putt_EVENTS,Current_Streak_without_a_3-Putt_VALUE
46,47,40,Phil Mickelson,13,55
47,48,T115,Martin Trainer,19,53
48,T49,T45,Ryan Moore,16,50
49,T49,T45,Michael Thompson,17,50
50,T49,T130,D.J. Trahan,11,50
51,52,T182,Jonathan Byrd,13,48
52,T53,T78,Scott Langley,20,47
53,T53,48,Patrick Reed,15,47
54,T55,T49,Paul Casey,15,46
55,T55,T49,Hunter Mahan,15,46
56,57,T136,Tom Hoge,24,45
57,58,T90,Dylan Frittelli,16,44
58,59,T150,Roberto Díaz,16,43
59,T60,T57,Tommy Fleetwood,11,42
60,T60,T61,Harold Varner III,20,42
61,T62,T59,Chesson Hadley,20,41
62,T62,T197,Kelly Kraft,23,41
63,T62,4,Graeme McDowell,16,41
64,T65,T166,Alex Cejka,16,40
65,T65,T61,Charley Hoffman,18,40
66,67,64,Bryson DeChambeau,13,39
67,T68,65,Jason Dufner,19,38
68,T68,T122,J.J. Spaun,20,38
69,T70,128,Adam Hadwin,18,36
70,T70,,Trey Mullinax,20,36
71,T72,56,Brice Garnett,21,34
72,T72,T66,Luke List,16,34
73,T72,T66,Jon Rahm,14,34
74,T75,T68,Emiliano Grillo,17,33
75,T75,T68,Jordan Spieth,16,33
76,T77,70,Bronson Burgoon,14,32
77,T77,T22,Carlos Ortiz,21,32
78,T79,T143,Sangmoon Bae,16,31
79,T79,T57,Dustin Johnson,12,31
80,T79,T156,Henrik Stenson,12,31
81,T82,T71,Stewart Cink,12,30
82,T82,T71,Joel Dahmen,22,30
83,T82,T85,Jim Furyk,16,30
84,T82,T197,Zach Johnson,15,30
85,T86,T74,Si Woo Kim,20,29
86,T86,44,Danny Lee,20,29
87,T88,T99,Jonas Blixt,20,28
88,T88,T53,Scott Brown,21,28
89,T88,,Jim Knous,17,28
90,T88,T161,José de Jesús Rodríguez,17,28
91,T88,T134,Sam Saunders,18,28
92,T88,T182,Danny Willett,15,28
93,T94,T115,Sergio Garcia,11,27
94,T94,T78,Louis Oosthuizen,12,27
95,T94,T78,Adam Scott,12,27
96,T97,T85,Tony Finau,17,26
97,T97,T85,Xander Schauffele,15,26
98,T99,T95,Kramer Hickok,19,25
99,T99,T90,Marc Leishman,14,25
100,T99,T93,Sebastián Muñoz,18,25
101,T99,T156,Chris Thompson,12,25
102,103,T93,Ian Poulter,13,24
103,T104,T95,Patton Kizzire,18,23
104,T104,T95,Chez Reavie,19,23
105,T104,T143,Justin Thomas,13,23
106,T107,T156,Anders Albertson,18,21
107,T107,T161,Tyler Duncan,22,21
108,T107,T136,Wes Roach,14,21
109,T107,T85,Ben Silverman,17,21
110,T111,T166,Lucas Bjerregaard,10,20
111,T111,T166,Julián Etulain,17,20
112,T111,41,Cody Gribble,18,20
113,T111,T182,J.B. Holmes,18,20
114,T111,T143,Brandt Snedeker,18,20
115,T116,T104,Jason Day,14,19
116,T116,T104,Freddie Jacobson,14,19
117,T116,T104,Sung Kang,20,19
118,T116,T104,Kyoung-Hoon Lee,22,19
119,T120,T150,Joey Garber,15,18
120,T120,10,J.J. Henry,15,18
121,T120,T110,Jason Kokrak,17,18
122,T120,T110,John Senden,13,18
123,T120,T173,Jimmy Walker,17,18
124,T125,T101,Austin Cook,17,17
125,T125,T115,Lucas Glover,17,17
126,T125,T182,Brian Harman,22,17
127,T125,T115,Kevin Kisner,17,17
128,T125,T150,Cameron Tringale,15,17
129,T125,T173,Bubba Watson,13,17
130,T131,121,Matt Jones,19,16
131,T131,T161,Whee Kim,21,16
132,T131,T16,Scott Piercy,19,16
133,T131,999,Martin Piller,10,16
134,T131,T122,Chase Wright,19,16
135,T136,T122,Rafa Cabrera Bello,15,15
136,T136,T122,Charles Howell III,19,15
137,T136,T122,Satoshi Kodaira,16,15
138,T136,T122,Patrick Rodgers,14,15
139,T136,T101,Peter Uihlein,22,15
140,T136,T33,Nick Watney,20,15
141,T142,T173,Talor Gooch,12,14
142,T142,9,Bill Haas,18,14
143,T142,T78,Robert Streb,21,14
144,145,T115,Hank Lebioda,16,13
145,T146,T130,Abraham Ancer,20,12
146,T146,24,Russell Henley,18,12
147,T146,T110,Jim Herman,16,12
148,T146,T130,Adam Long,19,12
149,T146,T33,Alex Noren,14,12
150,T146,T130,"Ted Potter, Jr.",18,12
151,T146,T110,Chris Stroud,19,12
152,T153,T78,Ryan Armour,21,11
153,T153,T134,Andrew Landry,18,11
154,155,T59,Adam Schenk,24,10
155,T156,T42,Denny McCarthy,20,9
156,T156,T136,Sam Ryder,16,9
157,T156,T182,Scott Stallings,20,9
158,T156,T136,Kyle Stanley,18,9
159,T156,T143,Josh Teater,17,9
160,T156,T136,Gary Woodland,17,9
161,T162,T33,David Hearn,14,8
162,T162,T197,Brooks Koepka,13,8
163,T162,T143,Hideki Matsuyama,15,8
164,T165,T182,Bud Cauley,19,7
165,T165,T150,Michael Kim,21,7
166,T165,T197,Curtis Luck,17,7
167,T165,T143,Richy Werenski,20,7
168,T169,T182,Roberto Castro,16,6
169,T169,T71,John Chin,14,6
170,T169,T156,Max Homa,19,6
