,Front_9_Par_4_Scoring_Average_RANK THIS WEEK,Front_9_Par_4_Scoring_Average_RANK LAST WEEK,Front_9_Par_4_Scoring_Average_PLAYER NAME,Front_9_Par_4_Scoring_Average_ROUNDS,Front_9_Par_4_Scoring_Average_AVG,Front_9_Par_4_Scoring_Average_TOTAL STROKES,Front_9_Par_4_Scoring_Average_TOTAL HOLES
194,T193,T185,Chris Kirk,47,4.1,983,240
195,T193,T185,Kelly Kraft,67,4.1,1402,342
196,T193,T185,Adam Long,52,4.1,1152,281
197,T193,T195,Rod Pampling,40,4.1,844,206
198,T193,T185,Seamus Power,58,4.1,1193,291
199,T193,T185,Charl Schwartzel,34,4.1,684,167
200,T201,T195,John Chin,38,4.11,817,199
201,T201,T195,Ollie Schniederjans,63,4.11,1356,330
202,203,T200,John Huh,35,4.12,783,190
203,204,T202,Alex Noren,49,4.13,1023,248
204,205,T202,Michael Kim,51,4.14,1067,258
205,206,204,Martin Kaymer,38,4.15,855,206
206,207,207,Cody Gribble,52,4.16,1085,261
207,208,205,D.A. Points,33,4.17,717,172
208,209,206,Grayson Murray,36,4.18,803,192
