,Late_Par_3_Scoring_Average_RANK THIS WEEK,Late_Par_3_Scoring_Average_RANK LAST WEEK,Late_Par_3_Scoring_Average_PLAYER NAME,Late_Par_3_Scoring_Average_ROUNDS,Late_Par_3_Scoring_Average_AVG,Late_Par_3_Scoring_Average_TOTAL STROKES,Late_Par_3_Scoring_Average_TOTAL HOLES
101,T93,T81,Trey Mullinax,67,3.07,362,118
102,T93,T81,Joaquin Niemann,68,3.07,362,118
103,T93,T94,Chez Reavie,67,3.07,362,118
104,T105,T108,Patrick Cantlay,49,3.08,320,104
105,T105,T119,Joey Garber,44,3.08,274,89
106,T105,T108,Jim Herman,37,3.08,237,77
107,T105,T108,Sung Kang,67,3.08,376,122
108,T105,T108,Si Woo Kim,65,3.08,333,108
109,T105,T108,Russell Knox,65,3.08,330,107
110,T105,999,Shane Lowry,30,3.08,185,60
111,T105,T108,C.T. Pan,64,3.08,354,115
112,T105,T108,Patrick Reed,53,3.08,293,95
113,T105,T108,José de Jesús Rodríguez,51,3.08,323,105
114,T105,T119,Scott Stallings,63,3.08,320,104
115,T116,T131,Jonas Blixt,66,3.09,362,117
116,T116,T119,Bronson Burgoon,37,3.09,198,64
117,T116,T119,Tommy Fleetwood,43,3.09,272,88
118,T116,T119,Matt Jones,67,3.09,417,135
119,T116,T131,Kyle Jones,49,3.09,328,106
120,T116,T119,Kevin Kisner,65,3.09,328,106
121,T116,T119,Satoshi Kodaira,51,3.09,253,82
122,T116,T131,Scott Langley,60,3.09,328,106
123,T116,T131,Nate Lashley,44,3.09,272,88
124,T116,T108,Sam Saunders,53,3.09,315,102
125,T116,T131,J.J. Spaun,68,3.09,371,120
126,T116,T119,Henrik Stenson,46,3.09,253,82
127,T116,T131,Robert Streb,60,3.09,349,113
128,T116,T94,Chris Stroud,54,3.09,263,85
129,T116,T94,Nick Taylor,70,3.09,392,127
130,T116,T131,Harold Varner III,62,3.09,361,117
131,T116,T140,Jimmy Walker,61,3.09,371,120
132,T116,T94,Nick Watney,67,3.09,355,115
133,T134,T140,Jim Furyk,53,3.1,319,103
134,T134,T119,Russell Henley,56,3.1,319,103
135,T134,T131,Keith Mitchell,64,3.1,397,128
136,T134,T108,Brandt Snedeker,68,3.1,391,126
137,T134,T119,Adam Svensson,51,3.1,301,97
138,T134,T155,Bubba Watson,47,3.1,251,81
139,T140,T140,Keegan Bradley,65,3.11,323,104
140,T140,T140,Ben Crane,41,3.11,236,76
141,T140,T140,Roberto Díaz,51,3.11,305,98
142,T140,T119,Cameron Davis,54,3.11,292,94
143,T140,T140,Jason Dufner,56,3.11,327,105
144,T140,T155,Brian Gay,79,3.11,510,164
145,T140,T140,Branden Grace,62,3.11,277,89
146,T140,T119,Cody Gribble,52,3.11,264,85
147,T140,T140,Brian Harman,67,3.11,413,133
148,T140,T140,Charley Hoffman,58,3.11,355,114
149,T140,T140,John Huh,35,3.11,202,65
150,T140,T165,Martin Laird,60,3.11,336,108
151,T140,T140,Grayson Murray,36,3.11,193,62
152,T140,T155,Ryan Palmer,56,3.11,252,81
153,T140,T140,"Ted Potter, Jr.",56,3.11,252,81
154,T155,T155,Stewart Cink,33,3.12,203,65
155,T155,T173,Adam Hadwin,66,3.12,353,113
156,T155,T131,Brandon Harkins,67,3.12,315,101
157,T155,T140,J.J. Henry,42,3.12,212,68
158,T155,T165,Whee Kim,57,3.12,312,100
159,T155,T155,Anirban Lahiri,54,3.12,306,98
160,T155,T155,Louis Oosthuizen,43,3.12,231,74
161,T155,T155,Carlos Ortiz,60,3.12,340,109
162,T155,T155,Jhonattan Vegas,60,3.12,387,124
163,T155,T140,Richy Werenski,63,3.12,406,130
164,T155,T155,Danny Willett,47,3.12,306,98
165,T166,T140,Sergio Garcia,39,3.13,216,69
166,T166,T165,Michael Kim,51,3.13,291,93
167,T166,T165,Brooks Koepka,49,3.13,285,91
168,T166,T187,Graeme McDowell,61,3.13,319,102
169,T166,T173,Ben Silverman,54,3.13,332,106
170,T166,T155,Chris Thompson,34,3.13,213,68
171,T166,T173,Cameron Tringale,52,3.13,294,94
172,T173,T173,Matthew Fitzpatrick,42,3.14,176,56
173,T173,T165,Bill Haas,58,3.14,295,94
174,T173,T173,Tyrrell Hatton,46,3.14,242,77
175,T173,T173,Chris Kirk,47,3.14,267,85
176,T173,T173,Adam Long,52,3.14,317,101
177,T173,T165,Rod Pampling,40,3.14,232,74
178,T173,T173,Seamus Power,58,3.14,317,101
179,T173,T165,Alex Prugh,54,3.14,317,101
180,T181,T181,Chesson Hadley,58,3.15,356,113
181,T181,T181,Luke List,52,3.15,290,92
182,T181,999,Martin Piller,30,3.15,192,61
183,T181,T165,Brady Schnell,38,3.15,227,72
184,T181,T181,Brendan Steele,50,3.15,255,81
185,T181,T181,Kevin Streelman,63,3.15,359,114
186,T181,999,Tyrone Van Aswegen,30,3.15,164,52
187,T188,T181,Harris English,72,3.16,386,122
188,T188,T181,David Hearn,41,3.16,243,77
189,T188,T190,Curtis Luck,51,3.16,316,100
190,T191,T187,Scott Brown,66,3.17,345,109
191,T191,T187,Fabián Gómez,44,3.17,206,65
192,T191,T190,Charl Schwartzel,34,3.17,206,65
193,T194,T190,Jonathan Byrd,43,3.18,254,80
194,T194,T193,Paul Casey,51,3.18,362,114
195,T194,T193,Haotong Li,32,3.18,140,44
196,T197,T197,Kiradech Aphibarnrat,49,3.19,306,96
197,T197,T201,Sangmoon Bae,42,3.19,246,77
198,T197,T197,Rafa Cabrera Bello,57,3.19,335,105
199,T197,T197,Kramer Hickok,59,3.19,354,111
200,T197,T201,Seth Reeves,52,3.19,361,113
201,T197,T193,Roger Sloan,62,3.19,443,139
202,T197,T197,Sepp Straka,48,3.19,367,115
203,T197,T193,Martin Trainer,51,3.19,348,109
204,T205,T205,John Chin,38,3.22,209,65
205,T205,T203,Hunter Mahan,45,3.22,235,73
206,T205,T203,John Senden,39,3.22,264,82
207,208,T205,Matt Wallace,31,3.23,168,52
208,209,207,Lucas Bjerregaard,37,3.28,249,76
