,First_Tee_Late_Par_4_Scoring_Average_RANK THIS WEEK,First_Tee_Late_Par_4_Scoring_Average_RANK LAST WEEK,First_Tee_Late_Par_4_Scoring_Average_PLAYER NAME,First_Tee_Late_Par_4_Scoring_Average_ROUNDS,First_Tee_Late_Par_4_Scoring_Average_AVG,First_Tee_Late_Par_4_Scoring_Average_TOTAL STROKES,First_Tee_Late_Par_4_Scoring_Average_TOTAL HOLES
76,T73,T69,Jason Kokrak,68,4.02,791,197
77,T73,T69,Nate Lashley,44,4.02,474,118
78,T73,T69,Kyoung-Hoon Lee,72,4.02,756,188
79,T73,T69,Adam Long,52,4.02,563,140
80,T73,T69,C.T. Pan,64,4.02,684,170
81,T73,T69,Scott Piercy,70,4.02,841,209
82,T73,T69,"Ted Potter, Jr.",56,4.02,378,94
83,T73,T87,Henrik Stenson,46,4.02,727,181
84,T73,T97,Cameron Tringale,52,4.02,607,151
85,T73,T69,Jhonattan Vegas,60,4.02,857,213
86,T73,T69,Tiger Woods,31,4.02,462,115
87,T88,T87,Kiradech Aphibarnrat,49,4.03,810,201
88,T88,T97,Sergio Garcia,39,4.03,620,154
89,T88,T69,Bill Haas,58,4.03,738,183
90,T88,T34,David Hearn,41,4.03,391,97
91,T88,T87,Sung Kang,67,4.03,697,173
92,T88,T87,Anirban Lahiri,54,4.03,528,131
93,T88,T97,Peter Malnati,64,4.03,1088,270
94,T88,T87,Keith Mitchell,64,4.03,1003,249
95,T88,T69,Sebastián Muñoz,58,4.03,827,205
96,T88,T87,Trey Mullinax,67,4.03,568,141
97,T88,T87,Cameron Smith,55,4.03,560,139
98,T88,T87,Chris Stroud,54,4.03,451,112
99,T88,T97,Adam Svensson,51,4.03,737,183
100,T88,T97,Harold Varner III,62,4.03,919,228
