,Tenth_Tee_Late_Round_3_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Late_Round_3_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Late_Round_3_Scoring_Average_PLAYER NAME,Tenth_Tee_Late_Round_3_Scoring_Average_AVG,Tenth_Tee_Late_Round_3_Scoring_Average_TOTAL STROKES,Tenth_Tee_Late_Round_3_Scoring_Average_TOTAL ROUNDS
101,T102,T100,Jason Dufner,71.5,143,2
102,T102,T100,Ernie Els,71.5,143,2
103,T102,T100,Chez Reavie,71.5,143,2
104,T102,T100,Roger Sloan,71.5,286,4
105,T102,T100,Shawn Stefani,71.5,143,2
106,T102,T100,Martin Trainer,71.5,143,2
107,T108,T106,Joey Garber,71.67,215,3
108,T108,T106,Kyle Jones,71.67,215,3
109,T108,T106,Satoshi Kodaira,71.67,215,3
110,T111,T109,Tom Hoge,71.75,287,4
111,T111,T109,John Senden,71.75,287,4
112,T113,T111,Bud Cauley,72.0,72,1
113,T113,T111,Cameron Champ,72.0,72,1
114,T113,T111,Corey Conners,72.0,72,1
115,T113,T111,Cameron Davis,72.0,144,2
116,T113,T111,Brian Gay,72.0,360,5
117,T113,T111,Branden Grace,72.0,144,2
118,T113,T111,Chesson Hadley,72.0,72,1
119,T113,999,Shane Lowry,72.0,72,1
120,T113,T111,Ryan Moore,72.0,72,1
121,T113,T111,Ollie Schniederjans,72.0,216,3
122,T113,T111,Brian Stuard,72.0,144,2
123,T113,T111,Adam Svensson,72.0,72,1
124,T113,T111,D.J. Trahan,72.0,72,1
125,T113,T111,Kevin Tway,72.0,72,1
126,T127,T124,Ryan Armour,72.33,217,3
127,T127,T124,Kevin Na,72.33,217,3
128,T129,T126,Curtis Luck,72.5,145,2
129,T129,T126,Sam Saunders,72.5,145,2
130,T129,T126,Adam Schenk,72.5,145,2
131,T132,T129,Anders Albertson,73.0,146,2
132,T132,T129,Scott Brown,73.0,73,1
133,T132,T129,Jonathan Byrd,73.0,73,1
134,T132,T129,Austin Cook,73.0,73,1
135,T132,T129,Bryson DeChambeau,73.0,73,1
136,T132,T129,Cody Gribble,73.0,73,1
137,T132,T129,Jim Herman,73.0,73,1
138,T132,T129,Mackenzie Hughes,73.0,73,1
139,T132,T129,Sungjae Im,73.0,73,1
140,T132,T129,Keith Mitchell,73.0,146,2
141,T132,T129,Ryan Palmer,73.0,73,1
142,T132,T129,Vaughn Taylor,73.0,73,1
143,144,141,Chase Wright,73.67,221,3
144,T145,T142,Ryan Blaum,74.0,222,3
145,T145,T142,Joaquin Niemann,74.0,148,2
146,T145,T142,Brady Schnell,74.0,74,1
147,T148,T146,Fabián Gómez,75.0,75,1
148,T148,T146,David Hearn,75.0,225,3
149,T148,T146,Scott Langley,75.0,75,1
150,T148,T146,Rory McIlroy,75.0,75,1
151,T148,T146,Francesco Molinari,75.0,75,1
152,T148,T146,Seamus Power,75.0,75,1
153,154,152,Lucas Bjerregaard,75.5,151,2
154,T155,T153,Jonas Blixt,76.0,76,1
155,T155,T153,Russell Knox,76.0,76,1
156,T157,T155,Kramer Hickok,77.0,77,1
157,T157,T155,"Ted Potter, Jr.",77.0,77,1
158,159,157,Talor Gooch,78.0,78,1
