,Par_5_Birdie_or_Better_Leaders_RANK THIS WEEK,Par_5_Birdie_or_Better_Leaders_RANK LAST WEEK,Par_5_Birdie_or_Better_Leaders_PLAYER NAME,Par_5_Birdie_or_Better_Leaders_ROUNDS,Par_5_Birdie_or_Better_Leaders_%,Par_5_Birdie_or_Better_Leaders_PAR 5 BIRDIES OR BETTER,Par_5_Birdie_or_Better_Leaders_PAR 5 HOLES
62,63,T72,Danny Willett,47,47.5,76,160
63,64,64,Harris English,72,47.35,107,226
64,65,77,Webb Simpson,53,47.33,71,150
65,66,999,Martin Piller,30,47.17,50,106
66,67,65,Jordan Spieth,57,47.13,82,174
67,68,66,Patrick Reed,53,47.02,79,168
68,69,69,Ryan Palmer,56,46.95,77,164
69,70,67,Roberto Díaz,51,46.91,76,162
70,71,70,Joel Dahmen,78,46.75,115,246
71,72,71,Michael Thompson,56,46.74,86,184
72,73,T72,Chris Kirk,47,46.71,71,152
73,74,83,J.J. Spaun,68,46.7,99,212
74,75,75,Sam Burns,66,46.63,97,208
75,T76,87,Daniel Berger,48,46.58,68,146
76,T76,76,Patrick Rodgers,44,46.58,68,146
77,78,78,Chez Reavie,67,46.46,92,198
78,79,79,Charles Howell III,64,46.38,96,207
79,80,68,Martin Trainer,51,46.33,82,177
80,81,81,Kevin Tway,62,46.28,87,188
81,82,90,John Chin,38,46.27,62,134
82,83,117,Wes Roach,45,46.15,66,143
83,84,82,Charl Schwartzel,34,46.09,53,115
84,85,84,Cameron Davis,54,46.02,81,176
85,86,T97,Henrik Stenson,46,45.97,57,124
86,87,85,Ryan Moore,54,45.83,88,192
87,88,80,Ollie Schniederjans,63,45.77,92,201
88,89,93,Scott Piercy,70,45.75,97,212
89,90,74,Lucas Bjerregaard,37,45.74,43,94
90,91,89,Roger Sloan,62,45.73,91,199
91,92,88,Scott Stallings,63,45.71,96,210
92,93,91,Austin Cook,50,45.39,69,152
93,94,92,Ryan Blaum,67,45.24,95,210
94,95,T94,Johnson Wagner,45,45.14,65,144
95,96,T94,Haotong Li,32,45.0,45,100
96,97,114,Nick Taylor,70,44.95,98,218
97,98,107,Brian Gay,79,44.92,106,236
98,99,T103,Keegan Bradley,65,44.85,87,194
99,100,T97,D.A. Points,33,44.83,52,116
100,101,99,Rafa Cabrera Bello,57,44.79,86,192
101,102,105,Jim Knous,55,44.77,77,172
102,103,100,C.T. Pan,64,44.76,94,210
103,104,999,Shane Lowry,30,44.74,34,76
104,105,102,Abraham Ancer,69,44.71,93,208
105,106,86,Adam Schenk,80,44.66,117,262
106,107,T103,Branden Grace,62,44.62,83,186
107,108,125,Adam Svensson,51,44.58,74,166
108,109,106,Lucas Glover,62,44.44,88,198
109,110,T118,Kramer Hickok,59,44.33,86,194
110,111,108,Beau Hossler,66,44.2,99,224
111,112,109,Bronson Burgoon,37,44.17,53,120
112,113,T112,Martin Laird,60,44.09,82,186
113,114,111,Seamus Power,58,44.07,78,177
114,115,116,Peter Malnati,64,43.98,84,191
115,116,121,Alex Noren,49,43.92,65,148
116,117,T112,Andrew Putnam,57,43.82,78,178
117,T118,101,Sepp Straka,48,43.75,70,160
118,T118,115,Kevin Streelman,63,43.75,91,208
119,T120,T118,Russell Knox,65,43.68,83,190
120,T120,T118,Brendan Steele,50,43.68,76,174
121,122,96,Nate Lashley,44,43.66,62,142
122,123,122,Tommy Fleetwood,43,43.55,54,124
123,124,128,Richy Werenski,63,43.5,87,200
124,125,110,Carlos Ortiz,60,43.23,83,192
125,126,124,J.T. Poston,76,43.22,102,236
126,127,123,Mackenzie Hughes,58,43.02,74,172
127,128,127,Pat Perez,52,42.94,73,170
128,129,130,Kyle Stanley,53,42.68,70,164
129,130,131,Kevin Na,54,42.59,69,162
130,131,151,Sangmoon Bae,42,42.42,56,132
131,132,136,Sam Saunders,53,42.37,75,177
132,133,133,Kyoung-Hoon Lee,72,42.36,97,229
133,T134,143,Danny Lee,66,42.35,83,196
134,T134,T146,José de Jesús Rodríguez,51,42.35,72,170
135,136,126,Jimmy Walker,61,42.27,82,194
136,137,T148,Cameron Tringale,52,42.26,71,168
137,138,T134,Tyrrell Hatton,46,42.25,60,142
138,139,137,Cameron Smith,55,42.17,70,166
139,140,129,Kelly Kraft,67,42.08,85,202
140,T141,T134,Jim Furyk,53,42.0,63,150
141,T141,142,Zach Johnson,50,42.0,63,150
142,143,138,Vaughn Taylor,69,41.89,93,222
143,144,140,Matthew Fitzpatrick,42,41.67,55,132
144,145,139,Brice Garnett,63,41.5,83,200
145,146,144,Justin Harding,31,41.46,34,82
146,147,132,Alex Prugh,54,41.42,70,169
147,148,T146,Jason Kokrak,68,41.36,91,220
148,149,141,Ben Crane,41,41.35,55,133
149,150,154,Scott Brown,66,41.33,81,196
150,151,T148,Hunter Mahan,45,41.25,66,160
151,T152,150,Aaron Baddeley,51,41.21,75,182
152,T152,145,Graeme McDowell,61,41.21,75,182
153,T154,T152,Kevin Kisner,65,41.11,74,180
154,T154,T152,Matt Wallace,31,41.11,37,90
155,156,164,Tyler Duncan,66,40.95,86,210
156,157,157,Jason Dufner,56,40.8,71,174
157,158,155,Jonas Blixt,66,40.78,84,206
158,159,156,Peter Uihlein,65,40.76,86,211
159,T160,165,Corey Conners,62,40.63,78,192
160,T160,158,Harold Varner III,62,40.63,78,192
161,T162,T160,Ernie Els,43,40.44,55,136
162,T162,T160,John Senden,39,40.44,55,136
163,164,166,Robert Streb,60,40.43,76,188
164,165,162,Patton Kizzire,58,40.22,74,184
165,166,168,Ben Silverman,54,39.66,69,174
166,167,177,Jonathan Byrd,43,39.44,56,142
167,168,159,Josh Teater,47,39.19,58,148
168,169,178,Jim Herman,37,39.17,47,120
169,170,163,Chase Wright,53,39.13,63,161
170,171,169,Stewart Cink,33,39.09,43,110
171,172,167,Anders Albertson,48,38.96,60,154
172,T173,184,Brian Harman,67,38.83,80,206
173,T173,170,Charley Hoffman,58,38.83,73,188
174,175,171,Freddie Jacobson,37,38.6,44,114
175,176,172,Louis Oosthuizen,43,38.46,50,130
176,177,173,Chesson Hadley,58,38.42,73,190
177,178,174,Billy Horschel,73,38.39,86,224
178,179,T175,Tom Hoge,70,38.07,83,218
179,180,T175,Chris Stroud,54,38.01,65,171
180,181,179,Phil Mickelson,41,37.88,50,132
181,182,180,Francesco Molinari,41,37.72,43,114
182,183,181,Anirban Lahiri,54,37.65,61,162
183,184,182,Andrew Landry,56,37.64,67,178
184,185,185,"Ted Potter, Jr.",56,37.36,68,182
185,186,190,Curtis Luck,51,37.35,62,166
186,187,T186,Fabián Gómez,44,37.33,56,150
187,188,T186,Whee Kim,57,37.29,66,177
188,189,183,Russell Henley,56,37.2,61,164
189,190,193,Scott Langley,60,37.1,69,186
190,191,189,Shawn Stefani,57,37.08,66,178
191,192,188,Ryan Armour,66,37.04,80,216
192,193,191,Roberto Castro,54,36.75,61,166
193,194,T197,Alex Cejka,41,36.15,47,130
194,195,192,Adam Long,52,36.05,62,172
195,196,194,Brian Stuard,76,35.95,87,242
196,197,196,J.B. Holmes,54,35.93,60,167
197,198,195,Satoshi Kodaira,51,35.8,58,162
198,199,200,Joaquin Niemann,68,35.38,75,212
199,T200,199,Kyle Jones,49,34.62,54,156
200,T200,T197,Brady Schnell,38,34.62,45,130
201,202,201,Michael Kim,51,34.3,59,172
202,203,202,John Huh,35,33.62,39,116
203,204,204,Joey Garber,44,33.58,45,134
204,205,205,Chris Thompson,34,33.05,39,118
205,206,203,David Hearn,41,32.54,41,126
206,207,999,Tyrone Van Aswegen,30,32.35,33,102
207,208,207,Rod Pampling,40,30.65,38,124
208,209,206,J.J. Henry,42,29.84,37,124
