,First_Tee_Early_Round_3_Scoring_Average_RANK THIS WEEK,First_Tee_Early_Round_3_Scoring_Average_RANK LAST WEEK,First_Tee_Early_Round_3_Scoring_Average_PLAYER NAME,First_Tee_Early_Round_3_Scoring_Average_AVG,First_Tee_Early_Round_3_Scoring_Average_TOTAL STROKES,First_Tee_Early_Round_3_Scoring_Average_TOTAL ROUNDS
182,T175,T174,Martin Trainer,73.0,146,2
183,T175,999,Tyrone Van Aswegen,73.0,292,4
184,185,184,"Ted Potter, Jr.",73.2,366,5
185,186,185,Andrew Landry,73.25,293,4
186,T187,T114,Kelly Kraft,73.5,147,2
187,T187,186,Sam Saunders,73.5,147,2
188,189,187,Max Homa,73.6,368,5
189,190,188,Brendan Steele,73.75,295,4
190,T191,T189,Austin Cook,74.0,74,1
191,T191,T189,Justin Rose,74.0,74,1
192,193,191,John Chin,74.67,224,3
193,T194,T192,Wyndham Clark,75.0,150,2
194,T194,T192,Anirban Lahiri,75.0,375,5
195,T194,T192,Andrew Putnam,75.0,75,1
196,197,195,Jim Herman,76.0,76,1
197,198,196,Curtis Luck,77.0,154,2
