,Lowest_Round_RANK THIS WEEK,Lowest_Round_RANK LAST WEEK,Lowest_Round_PLAYER NAME,Lowest_Round_ROUNDS,Lowest_Round_VALUE,Lowest_Round_TOURN/COURSE,Lowest_Round_ROUND
91,T57,T53,Dru Love,13,64,The RSM Classic,3
92,T57,T53,Davis Love III,29,64,Sony Open/Waial,3
93,T57,T120,Shane Lowry,30,64,RBC Canadian/Ha,1
94,T57,T53,Curtis Luck,51,64,Desert Classic/,1
95,T57,T53,Joost Luiten,16,64,WGC-Mexico/Club,4
96,T57,T53,Hunter Mahan,45,64,The RSM Classic,4
97,T57,T53,Steve Marino,12,64,Mayakoba/El Cam,2
98,T57,T53,Hideki Matsuyama,59,64,the Memorial/Mu,3
99,T57,T53,Graeme McDowell,61,64,Puntacana/Coral,3
100,T57,T53,Troy Merritt,42,64,The RSM Classic,4
101,T57,T53,Francesco Molinari,41,64,Arnold Palmer/B,4
102,T57,T53,Ryan Moore,54,64,Texas Open/TPC,4
103,T57,T120,Sebastián Muñoz,58,64,RBC Canadian/Ha,4
104,T57,T53,Trey Mullinax,67,64,Phoenix Open/TP,2
105,T57,T53,C.T. Pan,64,64,Farmers/Torrey,1
106,T57,T53,Pat Perez,52,64,Byron Nelson/Tr,4
107,T57,T53,Thomas Pieters,16,64,WGC-HSBC Champ/,2
108,T57,T53,J.T. Poston,76,64,Desert Classic/,3
109,T57,T53,Chez Reavie,67,64,Phoenix Open/TP,3
110,T57,T53,Patrick Reed,53,64,WGC-Mexico/Club,3
111,T57,T53,Seth Reeves,52,64,Shriners/TPC Su,1
112,T57,T53,José de Jesús Rodríguez,51,64,Mayakoba/El Cam,2
113,T57,T53,Brady Schnell,38,64,Byron Nelson/Tr,3
114,T57,T53,Shubhankar Sharma,24,64,THE CJ CUP/Nine,3
115,T57,T53,Roger Sloan,62,64,Mayakoba/El Cam,2
116,T57,T53,Jordan Spieth,57,64,Genesis Open/Ri,1
117,T57,T53,Kyle Stanley,53,64,Sony Open/Waial,2
118,T57,T53,Shawn Stefani,57,64,Byron Nelson/Tr,3
119,T57,T53,Kevin Streelman,63,64,Texas Open/TPC,4
120,T57,T53,Chris Stroud,54,64,Puntacana/Coral,3
121,T57,T53,Brian Stuard,76,64,Sony Open/Waial,3
122,T57,T53,Hudson Swafford,59,64,Sony Open/Waial,4
123,T57,T120,Nick Taylor,70,64,RBC Canadian/Ha,1
124,T57,T53,Michael Thompson,56,64,Genesis Open/Ri,2
125,T57,T279,Erik van Rooyen,16,64,RBC Canadian/Ha,1
126,T57,T53,Harold Varner III,62,64,Phoenix Open/TP,1
127,T57,T53,Jhonattan Vegas,60,64,Honda Classic/P,1
128,T57,T53,Nick Watney,67,64,The RSM Classic,2
129,T57,T53,Chase Wright,53,64,The RSM Classic,4
130,T131,T120,Anders Albertson,48,65,Shriners/TPC Su,3
131,T131,T120,Abraham Ancer,69,65,Mayakoba/El Cam,1
132,T131,T120,Stuart Appleby,12,65,The RSM Classic,3
133,T131,T120,Aaron Baddeley,51,65,Desert Classic/,4
134,T131,T120,Sangmoon Bae,42,65,Sony Open/Waial,2
135,T131,T120,Garrett Barber,4,65,The RSM Classic,2
136,T131,T120,Gaganjeet Bhullar,8,65,CIMB Classic/TP,4
137,T131,T120,Ryan Blaum,67,65,The RSM Classic,3
138,T131,T120,Jason Bohn,8,65,Puntacana/Coral,2
139,T131,T120,Rafa Cabrera Bello,57,65,Arnold Palmer/B,1
140,T131,T120,Chad Campbell,24,65,Byron Nelson/Tr,1
141,T131,T120,John Catlin,19,65,CIMB Classic/TP,2
142,T131,T120,Kevin Chappell,12,65,Mayakoba/El Cam,1
143,T131,T120,Wyndham Clark,61,65,Desert Classic/,1
144,T131,T120,Chad Collins,25,65,Safeway Open/Si,2
145,T131,T120,Fred Couples,8,65,Safeway Open/Si,2
146,T131,T240,Ben Crane,41,65,RBC Canadian/Ha,2
147,T131,T120,Jason Day,45,65,Pebble Beach/Mo,1
148,T131,T120,Luke Donald,22,65,the Memorial/Mu,3
149,T131,T120,Harris English,72,65,Shriners/TPC Su,2
150,T131,T120,Matt Every,38,65,Byron Nelson/Tr,2
151,T131,T120,Matthew Fitzpatrick,42,65,PGA Champ/Bethp,2
152,T131,T120,Tommy Fleetwood,43,65,THE PLAYERS/TPC,1
153,T131,T120,Sergio Garcia,39,65,Wells Fargo/Qua,3
154,T131,T120,Chesson Hadley,58,65,Phoenix Open/TP,2
155,T131,T120,Padraig Harrington,17,65,Byron Nelson/Tr,4
156,T131,T194,Russell Henley,56,65,RBC Canadian/Ha,1
157,T131,T120,Morgan Hoffmann,24,65,Byron Nelson/Tr,3
158,T131,T120,Billy Horschel,73,65,Mayakoba/El Cam,4
159,T131,T120,Beau Hossler,66,65,CIMB Classic/TP,2
160,T131,T120,Mackenzie Hughes,58,65,Charles Schwab/,3
161,T131,T120,Shugo Imahira,12,65,Sony Open/Waial,1
162,T131,T120,Matt Jones,67,65,Byron Nelson/Tr,3
163,T131,T120,Kyle Jones,49,65,The RSM Classic,3
164,T131,T120,Martin Kaymer,38,65,Charles Schwab/,2
165,T131,T120,Si Woo Kim,65,65,CIMB Classic/TP,4
