,Par_5_Scoring_Average_RANK THIS WEEK,Par_5_Scoring_Average_RANK LAST WEEK,Par_5_Scoring_Average_PLAYER NAME,Par_5_Scoring_Average_ROUNDS,Par_5_Scoring_Average_AVG,Par_5_Scoring_Average_TOTAL STROKES,Par_5_Scoring_Average_TOTAL HOLES
194,T195,T198,J.B. Holmes,54,4.76,795,167
195,T195,T185,Kyle Jones,49,4.76,742,156
196,T195,T193,Anirban Lahiri,54,4.76,771,162
197,T195,T193,"Ted Potter, Jr.",56,4.76,866,182
198,T199,T198,Patton Kizzire,58,4.77,878,184
199,T199,T193,Shawn Stefani,57,4.77,849,178
200,T199,T201,Chris Thompson,34,4.77,563,118
201,T202,T198,Joey Garber,44,4.78,640,134
202,T202,205,J.J. Henry,42,4.78,593,124
203,T202,999,Tyrone Van Aswegen,30,4.78,488,102
204,T205,T201,Stewart Cink,33,4.79,527,110
205,T205,T201,John Huh,35,4.79,556,116
206,T205,T201,Francesco Molinari,41,4.79,546,114
207,208,206,Rod Pampling,40,4.81,597,124
208,209,207,Michael Kim,51,4.91,844,172
