,Early_Par_4_Scoring_Average_RANK THIS WEEK,Early_Par_4_Scoring_Average_RANK LAST WEEK,Early_Par_4_Scoring_Average_PLAYER NAME,Early_Par_4_Scoring_Average_ROUNDS,Early_Par_4_Scoring_Average_AVG,Early_Par_4_Scoring_Average_TOTAL STROKES,Early_Par_4_Scoring_Average_TOTAL HOLES
50,T43,T59,Dylan Frittelli,55,3.99,1145,287
51,T43,T59,David Hearn,41,3.99,743,186
52,T43,T59,J.B. Holmes,54,3.99,906,227
53,T43,T34,Martin Laird,60,3.99,1229,308
54,T43,T43,Jon Rahm,51,3.99,675,169
55,T43,T34,J.J. Spaun,68,3.99,1456,365
56,T43,T43,Jordan Spieth,57,3.99,1014,254
57,T43,T59,Nick Taylor,70,3.99,1463,367
58,T43,T59,Peter Uihlein,65,3.99,1377,345
59,T43,T43,Jhonattan Vegas,60,3.99,1153,289
60,T43,T43,Tiger Woods,31,3.99,582,146
61,T62,T70,Scott Brown,66,4.0,1525,381
62,T62,T43,Talor Gooch,37,4.0,823,206
63,T62,T59,Jason Kokrak,68,4.0,1351,338
64,T62,T59,Rory Sabbatini,71,4.0,1389,347
65,T62,T59,Harold Varner III,62,4.0,1320,330
66,T62,T43,Johnson Wagner,45,4.0,936,234
67,T68,T59,Cameron Davis,54,4.01,1243,310
68,T68,T70,Tommy Fleetwood,43,4.01,589,147
69,T68,T70,Brice Garnett,63,4.01,1407,351
70,T68,T70,Chesson Hadley,58,4.01,1170,292
71,T68,T70,James Hahn,34,4.01,883,220
72,T68,T70,Kramer Hickok,59,4.01,1372,342
73,T68,T83,Tom Hoge,70,4.01,1357,338
74,T68,T70,Russell Knox,65,4.01,1379,344
75,T68,T70,Hideki Matsuyama,59,4.01,1323,330
76,T68,T70,Denny McCarthy,63,4.01,1362,340
77,T68,T70,Patrick Rodgers,44,4.01,1003,250
78,T68,T83,Roger Sloan,62,4.01,1199,299
79,T68,T59,Shawn Stefani,57,4.01,970,242
80,T68,T100,Sepp Straka,48,4.01,754,188
81,T68,T70,Michael Thompson,56,4.01,1194,298
82,T68,T43,D.J. Trahan,33,4.01,633,158
83,T68,T100,Danny Willett,47,4.01,955,238
84,T85,T83,Kiradech Aphibarnrat,49,4.02,948,236
85,T85,T83,Joel Dahmen,78,4.02,1587,395
86,T85,T83,Emiliano Grillo,65,4.02,1203,299
87,T85,T70,Russell Henley,56,4.02,1173,292
88,T85,T83,Billy Horschel,73,4.02,1306,325
89,T85,T83,Kevin Kisner,65,4.02,1177,293
90,T85,T83,Kyoung-Hoon Lee,72,4.02,1448,360
91,T85,T83,Marc Leishman,52,4.02,972,242
92,T85,999,Shane Lowry,30,4.02,430,107
93,T85,T100,Rory McIlroy,50,4.02,639,159
94,T85,T115,Sebastián Muñoz,58,4.02,1218,303
95,T85,T83,Louis Oosthuizen,43,4.02,732,182
96,T85,999,Martin Piller,30,4.02,635,158
97,T85,T83,J.T. Poston,76,4.02,1721,428
98,T85,T83,Andrew Putnam,57,4.02,1056,263
99,T85,T100,Adam Schenk,80,4.02,1623,404
100,T85,T115,Ben Silverman,54,4.02,1211,301
101,T85,T83,Robert Streb,60,4.02,1186,295
102,T103,T100,Abraham Ancer,69,4.03,1551,385
103,T103,T100,Fabián Gómez,44,4.03,1194,296
104,T103,T100,Patton Kizzire,58,4.03,1420,352
105,T103,T100,Jim Knous,55,4.03,1123,279
106,T103,T100,Hank Lebioda,55,4.03,1241,308
107,T103,T83,Curtis Luck,51,4.03,975,242
108,T103,T100,Hunter Mahan,45,4.03,1136,282
109,T103,T100,Ryan Moore,54,4.03,1221,303
110,T103,T100,Scott Stallings,63,4.03,1420,352
111,T103,T100,Matt Wallace,31,4.03,645,160
112,T103,T43,Bubba Watson,47,4.03,870,216
113,T103,T83,Aaron Wise,52,4.03,1212,301
114,T103,T83,Chase Wright,53,4.03,1101,273
115,T116,T136,Sangmoon Bae,42,4.04,916,227
116,T116,T100,Roberto Castro,54,4.04,1150,285
117,T116,T100,Wyndham Clark,61,4.04,1235,306
118,T116,T115,Jason Dufner,56,4.04,1209,299
119,T116,T83,Julián Etulain,55,4.04,1219,302
120,T116,T115,Charley Hoffman,58,4.04,1095,271
121,T116,T115,Max Homa,61,4.04,1558,386
122,T116,T115,Beau Hossler,66,4.04,1627,403
123,T116,T115,John Huh,35,4.04,816,202
124,T116,T136,Zach Johnson,50,4.04,1223,303
125,T116,T115,Chris Kirk,47,4.04,1023,253
126,T116,T115,Scott Langley,60,4.04,1402,347
127,T116,T136,Peter Malnati,64,4.04,1298,321
128,T116,T136,Graeme McDowell,61,4.04,1380,342
129,T116,T115,Phil Mickelson,41,4.04,892,221
130,T116,T115,Kevin Na,54,4.04,1080,267
131,T116,T115,Carlos Ortiz,60,4.04,1329,329
132,T116,T115,Ian Poulter,49,4.04,752,186
133,T116,T115,Ollie Schniederjans,63,4.04,1407,348
134,T116,T115,Cameron Smith,55,4.04,1243,308
135,T116,T115,Adam Svensson,51,4.04,1066,264
136,T116,T115,Vaughn Taylor,69,4.04,1417,351
137,T116,T136,Josh Teater,47,4.04,1031,255
138,T116,T115,Nick Watney,67,4.04,1498,371
139,T140,T115,Anders Albertson,48,4.05,952,235
140,T140,T151,Lucas Bjerregaard,37,4.05,486,120
141,T140,T136,Ryan Blaum,67,4.05,1289,318
142,T140,T136,Matt Every,38,4.05,567,140
143,T140,T172,Joey Garber,44,4.05,781,193
144,T140,T115,Brian Gay,79,4.05,1553,383
145,T140,T151,Brandon Harkins,67,4.05,1630,402
146,T140,T136,Brian Harman,67,4.05,1396,345
147,T140,T151,Mackenzie Hughes,58,4.05,1190,294
148,T140,T136,Andrew Landry,56,4.05,1358,335
149,T140,T136,Francesco Molinari,41,4.05,708,175
150,T140,T136,José de Jesús Rodríguez,51,4.05,1077,266
151,T140,T136,John Senden,39,4.05,704,174
152,T140,T161,Henrik Stenson,46,4.05,770,190
153,T140,T136,Chris Stroud,54,4.05,1228,303
154,T140,T151,Hudson Swafford,59,4.05,1122,277
155,T140,T115,Jimmy Walker,61,4.05,1347,333
156,T140,T136,Richy Werenski,63,4.05,1264,312
157,T158,T183,Stephan Jaeger,59,4.06,1166,287
158,T158,T151,Whee Kim,57,4.06,1194,294
159,T158,T151,Anirban Lahiri,54,4.06,1113,274
160,T158,T151,Danny Lee,66,4.06,1489,367
161,T158,T151,Haotong Li,32,4.06,718,177
162,T158,T151,Seamus Power,58,4.06,1243,306
163,T158,T151,Kyle Stanley,53,4.06,1203,296
164,T165,T161,Cameron Champ,58,4.07,1196,294
165,T165,T136,John Chin,38,4.07,935,230
166,T165,T161,Corey Conners,62,4.07,1397,343
167,T165,T161,Matthew Fitzpatrick,42,4.07,1074,264
168,T165,T172,Bill Haas,58,4.07,1346,331
169,T165,T161,Sung Kang,67,4.07,1502,369
170,T165,T161,Trey Mullinax,67,4.07,1473,362
171,T165,T161,Pat Perez,52,4.07,1022,251
172,T165,T161,Sam Ryder,52,4.07,1348,331
173,T165,T172,Sam Saunders,53,4.07,1224,301
174,T165,T161,Brendan Steele,50,4.07,1177,289
175,T165,T161,Kevin Tway,62,4.07,1323,325
176,T177,T172,Sam Burns,66,4.08,1494,366
177,T177,T172,Branden Grace,62,4.08,1370,336
178,T177,T172,J.J. Henry,42,4.08,918,225
179,T177,T172,Adam Long,52,4.08,1164,285
180,T177,T172,Justin Rose,42,4.08,567,139
181,T177,T172,Brady Schnell,38,4.08,861,211
182,T177,T161,Martin Trainer,51,4.08,1031,253
183,T184,T183,Bronson Burgoon,37,4.09,920,225
184,T184,T183,Alex Cejka,41,4.09,887,217
185,T184,T189,Tyler Duncan,66,4.09,1478,361
186,T184,T172,Sergio Garcia,39,4.09,560,137
187,T184,T189,Adam Hadwin,66,4.09,1463,358
188,T184,T183,Kyle Jones,49,4.09,924,226
189,T184,T195,Alex Noren,49,4.09,1158,283
190,T184,T183,"Ted Potter, Jr.",56,4.09,1485,363
191,T184,T172,Seth Reeves,52,4.09,948,232
192,T184,T195,Wes Roach,45,4.09,1134,277
193,T194,T189,Bryson DeChambeau,45,4.1,836,204
194,T194,T189,Martin Kaymer,38,4.1,709,173
195,T194,T189,Satoshi Kodaira,51,4.1,1215,296
196,T194,T189,Rod Pampling,40,4.1,877,214
197,T194,T201,Chris Thompson,34,4.1,734,179
198,T194,999,Tyrone Van Aswegen,30,4.1,742,181
199,200,T195,Justin Harding,31,4.11,658,160
200,T201,T199,Roberto Díaz,51,4.12,992,241
201,T201,T201,Jim Herman,37,4.12,791,192
202,T201,T199,Michael Kim,51,4.12,1124,273
203,T201,T195,Kelly Kraft,67,4.12,1373,333
204,205,T201,Grayson Murray,36,4.13,900,218
205,206,204,Charl Schwartzel,34,4.14,688,166
206,207,T205,Cody Gribble,52,4.15,1208,291
207,208,T205,Freddie Jacobson,37,4.16,886,213
208,209,207,D.A. Points,33,4.21,820,195
