,Tenth_Tee_Early_Round_2_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Early_Round_2_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Early_Round_2_Scoring_Average_PLAYER NAME,Tenth_Tee_Early_Round_2_Scoring_Average_AVG,Tenth_Tee_Early_Round_2_Scoring_Average_TOTAL STROKES,Tenth_Tee_Early_Round_2_Scoring_Average_TOTAL ROUNDS
96,T94,T90,Nick Watney,70.25,281,4
97,T98,T93,Dylan Frittelli,70.33,211,3
98,T98,T93,Chris Kirk,70.33,211,3
99,T100,T96,Byeong Hun An,70.4,352,5
100,T100,T96,Hunter Mahan,70.4,352,5
101,T100,T96,Rory Sabbatini,70.4,352,5
102,T100,T96,Xander Schauffele,70.4,352,5
103,T100,T96,Robert Streb,70.4,352,5
104,T100,T96,Vaughn Taylor,70.4,352,5
105,T106,T102,Patrick Cantlay,70.5,141,2
106,T106,T102,John Chin,70.5,423,6
107,T106,T102,Andrew Landry,70.5,282,4
108,T106,T102,Denny McCarthy,70.5,141,2
109,T106,T102,Sebastián Muñoz,70.5,423,6
110,T106,T102,Kevin Na,70.5,141,2
111,T106,T102,J.T. Poston,70.5,423,6
112,T106,T102,Seamus Power,70.5,282,4
113,T106,T102,Adam Schenk,70.5,423,6
114,T106,T102,Ollie Schniederjans,70.5,282,4
115,116,113,Rafa Cabrera Bello,70.57,494,7
116,117,T114,Hudson Swafford,70.6,353,5
117,T118,T116,Scott Brown,70.67,424,6
118,T118,T116,Brian Gay,70.67,424,6
119,T118,T116,Kyle Jones,70.67,212,3
120,T118,T114,Carlos Ortiz,70.67,424,6
121,T118,T116,Nick Taylor,70.67,212,3
122,T118,T116,Chris Thompson,70.67,212,3
123,T118,T116,Aaron Wise,70.67,212,3
124,125,T127,Harold Varner III,70.71,495,7
125,T126,T122,Fabián Gómez,70.75,283,4
126,T126,T122,Si Woo Kim,70.75,283,4
127,T126,T122,Chez Reavie,70.75,283,4
128,T129,T125,Andrew Putnam,70.8,354,5
129,T129,T125,Wes Roach,70.8,354,5
130,T131,T127,Abraham Ancer,70.83,425,6
131,T131,T127,Pat Perez,70.83,425,6
132,T133,T130,Bronson Burgoon,71.0,213,3
133,T133,T130,Harris English,71.0,213,3
134,T133,T130,James Hahn,71.0,142,2
135,T133,T148,Brandon Harkins,71.0,426,6
136,T133,T130,Sung Kang,71.0,426,6
137,T133,T130,Nate Lashley,71.0,213,3
138,T133,T130,Haotong Li,71.0,142,2
139,T133,T130,Patrick Rodgers,71.0,284,4
140,T133,T130,Shawn Stefani,71.0,426,6
141,T133,T130,Brian Stuard,71.0,213,3
142,143,T168,Stephan Jaeger,71.14,498,7
143,144,140,Cameron Tringale,71.17,427,6
144,145,141,Adam Long,71.2,356,5
145,146,142,Ryan Blaum,71.22,641,9
146,T147,T143,Jason Day,71.25,285,4
147,T147,T143,Louis Oosthuizen,71.25,285,4
148,T147,T143,Sam Saunders,71.25,570,8
149,150,146,Bill Haas,71.29,499,7
150,T151,T160,Joey Garber,71.33,214,3
151,T151,147,Hank Lebioda,71.33,214,3
152,T153,T150,Cameron Davis,71.5,143,2
153,T153,T150,Matt Every,71.5,286,4
154,T153,T150,Sergio Garcia,71.5,143,2
155,T153,T150,Kramer Hickok,71.5,286,4
156,T153,T150,Tom Hoge,71.5,286,4
157,T153,T148,Danny Lee,71.5,429,6
158,T153,T150,Jon Rahm,71.5,286,4
159,T160,T157,Russell Henley,71.75,287,4
160,T160,T157,John Huh,71.75,287,4
161,T160,T168,Kelly Kraft,71.75,287,4
162,T160,T157,Peter Uihlein,71.75,287,4
163,T164,T160,Sam Burns,72.0,144,2
164,T164,T187,Wyndham Clark,72.0,216,3
165,T164,T160,Roberto Díaz,72.0,216,3
166,T164,T160,Brian Harman,72.0,432,6
167,T164,T160,Trey Mullinax,72.0,144,2
168,T164,T160,Alex Prugh,72.0,288,4
169,T164,999,Tyrone Van Aswegen,72.0,144,2
170,171,167,Jason Dufner,72.25,289,4
171,172,T168,Michael Kim,72.33,217,3
172,173,171,Scott Langley,72.43,507,7
173,T174,T172,Bryson DeChambeau,72.5,290,4
174,T174,T172,J.B. Holmes,72.5,435,6
175,T174,T172,Billy Horschel,72.5,290,4
176,T174,999,Martin Piller,72.5,290,4
177,T174,T172,"Ted Potter, Jr.",72.5,145,2
178,179,176,Phil Mickelson,72.57,508,7
179,T180,T177,Aaron Baddeley,72.67,218,3
180,T180,T177,Satoshi Kodaira,72.67,218,3
181,182,179,Corey Conners,72.75,291,4
182,T183,T187,Whee Kim,72.8,364,5
183,T183,180,Brady Schnell,72.8,364,5
184,T185,T181,Ernie Els,73.0,146,2
185,T185,T181,Freddie Jacobson,73.0,219,3
186,T185,T181,Troy Merritt,73.0,73,1
187,T185,T181,Rod Pampling,73.0,73,1
188,T185,T181,Brendan Steele,73.0,219,3
189,190,186,Matt Wallace,73.33,220,3
190,191,T187,Jim Herman,73.5,147,2
191,T192,T191,Anders Albertson,73.67,221,3
192,T192,T191,Ryan Armour,73.67,221,3
193,194,193,Kevin Tway,73.75,295,4
194,195,194,Tyler Duncan,73.88,591,8
195,T196,T195,J.J. Henry,74.0,148,2
196,T196,T195,Charl Schwartzel,74.0,74,1
197,T196,T187,Scott Stallings,74.0,222,3
198,T196,T195,Chris Stroud,74.0,296,4
199,T200,T198,David Hearn,74.67,224,3
200,T200,T198,Seth Reeves,74.67,224,3
201,202,200,Jonas Blixt,75.0,75,1
202,203,201,Kyle Stanley,76.0,76,1
